observer,trial,x,y,dur,onset,offset,n
1,1,956.7,576.2,1427,-1023,1012348,1
1,1,811.8,459.5,197,435,1012576,2
1,2,961.4,554.4,1211,-1014,1042377,1
1,2,730.9,438.5,80,239,1042499,2
1,2,837.6,503.3,72,344,1042596,3
1,2,714.9,390.8,120,449,1042749,4
1,3,965.7,553.7,1216,-1015,1051115,1
1,3,923.6,371.6,26,236,1051176,2
1,3,762.7,713.7,122,311,1051347,3
1,4,964.1,551.9,1217,-1014,1057634,1
1,4,1036.5,331.4,84,246,1057761,2
1,4,732.4,424.1,660,373,1058464,3
1,5,962.5,558.2,1219,-1014,1063487,1
1,6,968.2,553.5,1199,-1014,1070284,1
1,6,677.7,563.6,143,226,1070468,2
1,7,962.6,541.8,1223,-1014,1076075,1
1,8,958.7,547.9,1201,-1013,1081988,1
1,9,962.8,548.1,1205,-1014,1087475,1
1,9,880.7,305.2,130,231,1087645,2
1,10,980.3,545.9,1215,-1015,1092968,1
1,10,775.4,394.1,139,237,1093144,2
1,10,752.8,402.7,630,385,1093783,3
1,11,975.7,551,1221,-1014,1098243,1
1,11,1184.9,430.1,735,243,1099014,2
1,12,979,545.8,1211,-1013,1103950,1
1,12,769.1,618.9,110,235,1104097,2
1,12,755.8,669.2,647,368,1104767,3
1,13,972.2,549.3,1213,-1014,1109919,1
1,13,983.1,801.5,739,236,1110695,2
1,14,977,546.3,1192,-1011,1115101,1
1,14,980.5,798.8,746,220,1115886,2
1,15,978.8,543.7,1198,-1006,1121112,1
1,15,1187.9,435.5,733,230,1121883,2
1,16,957.6,546,1196,-1014,1126287,1
1,16,1179.1,422.9,755,220,1127080,2
1,17,963,557.7,329,-329,1130713,1
1,17,963.5,547.2,875,10,1131598,2
1,17,894.9,300.9,130,925,1131768,3
1,17,968.9,308.8,596,1081,1132390,4
1,18,969.9,557.6,84,-84,1136628,1
1,18,973.8,549.2,1105,10,1137743,2
1,18,1191.7,422,753,1155,1138536,3
1,19,979,547.6,1196,-1013,1143739,1
1,19,902.9,792.8,96,223,1143875,2
1,19,986,792.5,633,343,1144532,3
1,20,966,556.3,1210,-1013,1149403,1
1,20,1059.6,316.7,163,236,1149605,2
1,20,1086,332.3,566,410,1150182,3
1,21,958.9,557.7,1242,-1013,1155103,1
1,21,753.8,405.8,128,271,1155273,2
1,21,733.5,423.4,619,410,1155903,3
1,22,969.3,555.8,1222,-1006,1161040,1
1,22,1100.1,746.7,86,267,1161177,2
1,22,1182.3,381.3,158,401,1161383,3
1,22,1179.8,421.1,449,570,1161843,4
1,23,970,561.5,1188,-1006,1166374,1
1,23,746.7,417.1,730,220,1167142,2
1,24,983.2,550.6,554,-554,1171715,1
1,24,974.4,542.2,661,9,1172385,2
1,24,967.4,302.1,720,711,1173146,3
1,24,822.3,365.6,12,1474,1173201,4
1,25,971.3,554,338,-338,1176700,1
1,25,978.9,476.3,132,24,1176856,2
1,25,975,527,702,170,1177572,3
1,25,727.3,664.5,133,915,1177748,4
1,25,747.4,663.6,560,1067,1178327,5
1,26,977.4,549.9,1205,-1016,1182566,1
1,26,1195.4,672.3,736,226,1183339,2
1,27,975.5,560.8,313,-313,1186519,1
1,27,987.8,551,218,9,1186746,2
1,27,981.9,540.3,663,236,1187418,3
1,27,752.6,658.1,720,941,1188180,4
1,28,961.5,555.4,37,-37,1192851,1
1,28,961.6,554.3,1166,10,1194027,2
1,28,1198.1,674.8,707,1214,1194772,3
1,29,974.1,556.7,1216,-1013,1198948,1
1,29,728.9,427.8,136,243,1199124,2
1,29,747.8,428.3,567,389,1199701,3
1,30,974.1,546.3,1223,-1021,1203948,1
1,30,986.1,779.6,709,241,1204696,2
1,31,967.3,540.7,1200,-1015,1209065,1
1,31,752.3,429.2,735,229,1209844,2
1,32,959.1,545.2,1200,-1014,1215066,1
1,32,743.3,425.4,743,225,1215848,2
1,33,959.3,548,1218,-1013,1220352,1
1,33,1174.8,422,713,244,1221104,2
1,34,966.2,563.6,1214,-1014,1225498,1
1,34,776.4,452.4,64,239,1225601,2
1,34,744.5,416.3,626,325,1226249,3
1,35,982.7,546.3,1189,-1014,1231524,1
1,35,760.2,379.2,115,220,1231684,2
1,35,753.4,419.7,657,348,1232354,3
1,36,969.8,553.9,35,-35,1236599,1
1,36,974.6,556,1176,14,1237789,2
1,36,1131.3,578,67,1220,1237886,3
1,36,1183.4,392,115,1321,1238035,4
1,36,1193.5,427.2,493,1448,1238540,5
1,37,979.9,549.2,1202,-1014,1257906,1
1,37,987.5,804.8,750,230,1258698,2
1,38,982.9,550.8,1211,-1013,1263266,1
1,38,1200.1,659.8,719,237,1264024,2
1,39,972.2,554.7,1198,-1014,1268553,1
1,39,743.7,664.8,765,224,1269358,2
1,40,979,543.1,1204,-1013,1274560,1
1,40,1189.2,673.5,717,229,1275315,2
1,41,981.9,556.1,1213,-1014,1279786,1
1,41,757.7,419.2,726,234,1280547,2
1,42,971.7,550.5,1204,-1022,1284686,1
1,42,716.3,544.6,114,222,1284840,2
1,42,753.6,670.7,617,363,1285484,3
1,43,977.4,542.9,1231,-1014,1290455,1
1,43,980.3,783.9,724,258,1291220,2
1,44,967.8,546.1,1207,-1013,1295532,1
1,44,1177.3,426.2,141,230,1295709,2
1,44,1193.7,434.4,596,379,1296313,3
1,45,979.4,550.6,214,-214,1299757,1
1,45,976.6,545.4,964,11,1300732,2
1,45,985.9,795.1,734,1014,1301505,3
1,46,965.9,549.5,1227,-1014,1305969,1
1,46,984.9,786.9,685,248,1306689,2
1,47,964,542.7,1191,-1017,1310664,1
1,47,987,769.8,45,213,1310748,2
1,47,1184.7,643.5,145,302,1310937,3
1,47,1191.9,668.4,505,457,1311452,4
1,48,973.5,543.5,1221,-1013,1315981,1
