observer,trial,targLoc,distLoc,targDiscrim,thoughtNoAttCap,distracter,distLocRel
19,1,4,1,NA,FALSE,1,4
19,2,4,3,1,TRUE,1,0
19,3,5,0,1,TRUE,0,0
19,4,4,5,1,TRUE,1,2
19,5,6,0,1,TRUE,0,0
19,6,5,6,1,TRUE,1,2
19,7,2,0,1,TRUE,0,0
19,8,4,0,1,TRUE,0,0
19,9,3,1,1,TRUE,1,5
19,10,4,0,1,TRUE,0,0
19,11,2,0,1,TRUE,0,0
19,12,5,3,1,TRUE,1,5
19,13,6,0,1,TRUE,0,0
19,14,6,4,1,TRUE,1,3
19,15,2,0,1,TRUE,0,0
19,16,2,4,1,TRUE,1,3
19,17,3,1,1,TRUE,1,5
19,18,2,0,1,TRUE,0,0
19,19,6,6,1,TRUE,1,1
19,20,1,2,NA,FALSE,1,2
19,21,4,0,1,TRUE,0,0
19,22,2,5,1,TRUE,1,2
19,23,4,0,1,TRUE,0,0
19,24,3,0,1,TRUE,0,0
19,25,5,0,1,TRUE,0,0
19,26,1,0,1,TRUE,0,0
19,27,5,0,1,TRUE,0,0
19,28,1,0,1,TRUE,0,0
19,29,4,0,1,TRUE,0,0
19,30,6,0,1,TRUE,0,0
19,31,4,0,1,TRUE,0,0
19,32,4,2,1,TRUE,1,5
19,33,2,0,1,TRUE,0,0
19,34,4,3,1,TRUE,1,0
19,35,4,6,1,TRUE,1,3
19,36,2,5,1,TRUE,1,2
19,37,6,0,1,TRUE,0,0
19,38,1,0,1,TRUE,0,0
19,39,5,0,1,TRUE,0,0
19,40,1,0,1,TRUE,0,0
19,41,4,2,1,TRUE,1,5
19,42,5,6,1,TRUE,1,2
19,43,6,0,1,TRUE,0,0
19,44,2,0,1,TRUE,0,0
19,45,6,0,1,TRUE,0,0
19,46,6,0,1,TRUE,0,0
19,47,1,0,1,TRUE,0,0
19,48,6,3,1,TRUE,1,4
19,49,3,6,1,TRUE,1,4
19,50,4,4,1,TRUE,1,3
19,51,1,0,1,TRUE,0,0
19,52,6,0,1,TRUE,0,0
19,53,2,0,1,TRUE,0,0
19,54,4,0,1,TRUE,0,0
19,55,6,0,1,TRUE,0,0
19,56,5,1,1,TRUE,1,3
19,57,2,6,1,TRUE,1,5
19,58,1,5,NA,FALSE,1,2
19,59,5,0,1,TRUE,0,0
19,60,1,5,1,TRUE,1,2
19,61,5,4,NA,FALSE,1,3
19,62,6,2,NA,FALSE,1,3
19,63,2,6,1,TRUE,1,5
19,64,2,0,1,TRUE,0,0
19,65,3,0,1,TRUE,0,0
19,66,1,0,1,TRUE,0,0
19,67,2,0,1,TRUE,0,0
19,68,1,0,1,TRUE,0,0
19,69,3,0,1,TRUE,0,0
19,70,5,2,NA,FALSE,1,4
19,71,3,0,1,TRUE,0,0
19,72,1,0,1,TRUE,0,0
19,73,3,0,1,TRUE,0,0
19,74,3,0,1,TRUE,0,0
19,75,3,0,1,TRUE,0,0
19,76,5,5,1,TRUE,1,2
19,77,1,0,1,TRUE,0,0
19,78,6,1,1,TRUE,1,2
19,79,5,0,1,TRUE,0,0
19,80,5,5,1,TRUE,1,2
19,81,5,6,1,TRUE,1,2
19,82,1,0,1,TRUE,0,0
19,83,3,1,1,TRUE,1,5
19,84,5,3,1,TRUE,1,5
19,85,3,5,1,TRUE,1,2
19,86,3,5,NA,FALSE,1,2
19,87,4,0,1,TRUE,0,0
19,88,6,3,NA,FALSE,1,4
19,89,4,0,1,TRUE,0,0
19,90,2,0,1,TRUE,0,0
19,91,6,4,1,TRUE,1,3
19,92,2,0,1,TRUE,0,0
19,93,6,2,1,TRUE,1,3
19,94,4,5,1,TRUE,1,2
19,95,4,0,1,TRUE,0,0
19,96,2,3,1,TRUE,1,2
19,97,1,6,1,TRUE,1,0
19,98,3,0,1,TRUE,0,0
19,99,2,1,1,TRUE,1,0
19,100,1,4,NA,FALSE,1,3
19,101,1,2,1,TRUE,1,2
19,102,1,5,1,TRUE,1,2
19,103,5,0,1,TRUE,0,0
19,104,2,3,NA,FALSE,1,2
19,105,4,4,1,TRUE,1,3
19,106,6,4,NA,FALSE,1,3
19,107,6,6,1,TRUE,1,1
19,108,5,2,NA,FALSE,1,4
19,109,5,5,NA,FALSE,1,2
19,110,5,0,1,TRUE,0,0
19,111,5,0,1,TRUE,0,0
19,112,5,0,1,TRUE,0,0
19,113,3,3,1,TRUE,1,1
19,114,6,6,1,TRUE,1,1
19,115,2,0,1,TRUE,0,0
19,116,6,5,1,TRUE,1,2
19,117,2,0,1,TRUE,0,0
19,118,2,0,1,TRUE,0,0
19,119,2,4,1,TRUE,1,3
19,120,3,2,1,TRUE,1,0
19,121,5,4,NA,FALSE,1,3
19,122,1,0,1,TRUE,0,0
19,123,6,0,1,TRUE,0,0
19,124,2,0,1,TRUE,0,0
19,125,4,0,1,TRUE,0,0
19,126,2,0,1,TRUE,0,0
19,127,1,6,1,TRUE,1,0
19,128,3,3,NA,FALSE,1,1
19,129,3,4,NA,FALSE,1,3
19,130,1,0,1,TRUE,0,0
19,131,1,3,1,TRUE,1,3
19,132,6,2,NA,FALSE,1,3
19,133,5,1,1,TRUE,1,3
19,134,6,1,1,TRUE,1,2
19,135,2,1,1,TRUE,1,0
19,136,1,0,1,TRUE,0,0
19,137,1,0,1,TRUE,0,0
19,138,4,3,NA,FALSE,1,0
19,139,1,1,1,TRUE,1,1
19,140,2,6,1,TRUE,1,5
19,141,6,5,1,TRUE,1,2
19,142,3,0,1,TRUE,0,0
19,143,2,1,1,TRUE,1,0
19,144,4,0,1,TRUE,0,0
19,145,1,4,1,TRUE,1,3
19,146,5,0,1,TRUE,0,0
19,147,6,0,1,TRUE,0,0
19,148,3,0,1,TRUE,0,0
19,149,1,3,1,TRUE,1,3
19,150,6,1,1,TRUE,1,2
19,151,2,0,1,TRUE,0,0
19,152,3,5,1,TRUE,1,2
19,153,1,1,1,TRUE,1,1
19,154,5,2,1,TRUE,1,4
19,155,3,2,NA,FALSE,1,0
19,156,2,2,1,TRUE,1,1
19,157,3,2,NA,FALSE,1,0
19,158,3,0,1,TRUE,0,0
19,159,1,4,1,TRUE,1,3
19,160,4,0,1,TRUE,0,0
19,161,4,5,1,TRUE,1,2
19,162,5,0,1,TRUE,0,0
19,163,6,0,1,TRUE,0,0
19,164,2,0,1,TRUE,0,0
19,165,2,2,1,TRUE,1,1
19,166,6,3,NA,FALSE,1,4
19,167,3,0,1,TRUE,0,0
19,168,4,0,1,TRUE,0,0
19,169,5,0,1,TRUE,0,0
19,170,3,0,1,TRUE,0,0
19,171,6,5,1,TRUE,1,2
19,172,1,0,1,TRUE,0,0
19,173,2,5,1,TRUE,1,2
19,174,4,0,1,TRUE,0,0
19,175,5,0,1,TRUE,0,0
19,176,1,2,1,TRUE,1,2
19,177,3,0,1,TRUE,0,0
19,178,3,0,1,TRUE,0,0
19,179,4,0,1,TRUE,0,0
19,180,4,1,1,TRUE,1,4
19,181,3,0,1,TRUE,0,0
19,182,6,0,1,TRUE,0,0
19,183,3,0,1,TRUE,0,0
19,184,2,3,1,TRUE,1,2
