observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap
2, 1, 5, 6, 1, 1
2, 2, 4, 3, -1, -1
2, 3, 5, 1, 1, 1
2, 4, 1, 0, 1, 1
2, 5, 4, 4, 1, 1
2, 6, 1, 4, 1, 1
2, 7, 1, 0, 1, 1
2, 8, 5, 2, -1, -1
2, 9, 1, 2, 1, 1
2, 10, 1, 0, 1, 1
2, 11, 2, 2, -1, -1
2, 12, 3, 0, 1, 1
2, 13, 2, 0, 1, 1
2, 14, 6, 2, 1, 1
2, 15, 6, 1, -1, -1
2, 16, 1, 5, 1, 1
2, 17, 2, 4, 1, 1
2, 18, 1, 6, 1, 1
2, 19, 5, 4, 1, 1
2, 20, 2, 2, 1, 1
2, 21, 5, 0, 1, 1
2, 22, 1, 1, 1, 1
2, 23, 5, 5, 1, 1
2, 24, 2, 6, 1, 1
2, 25, 4, 6, 1, 1
2, 26, 3, 0, 1, 1
2, 27, 5, 0, 1, 1
2, 28, 2, 0, 1, 1
2, 29, 3, 0, 1, 1
2, 30, 6, 3, 1, 1
2, 31, 3, 0, 1, 1
2, 32, 2, 0, 1, 1
2, 33, 6, 4, 1, 1
2, 34, 4, 0, 1, 1
2, 35, 3, 0, 1, 1
2, 36, 6, 0, 1, 1
2, 37, 3, 0, 1, 1
2, 38, 4, 4, 1, 1
2, 39, 2, 0, 1, 1
2, 40, 5, 0, 1, 1
2, 41, 5, 4, 1, 1
2, 42, 2, 0, 1, 1
2, 43, 5, 0, 1, 1
2, 44, 3, 2, 1, 1
2, 45, 1, 1, -1, -1
2, 46, 2, 6, -1, -1
2, 47, 6, 5, 1, 1
2, 48, 2, 5, -1, -1
2, 49, 6, 0, 1, 1
2, 50, 6, 6, 1, 1
2, 51, 5, 5, 1, 1
2, 52, 3, 0, 1, 1
2, 53, 3, 5, 1, 1
2, 54, 3, 0, 1, 1
2, 55, 1, 0, 1, 1
2, 56, 6, 2, 1, 1
2, 57, 5, 0, 1, 1
2, 58, 5, 3, 1, 1
2, 59, 1, 0, 1, 1
2, 60, 4, 0, 1, 1
2, 61, 1, 4, 1, 1
2, 62, 1, 2, 1, 1
2, 63, 5, 0, 1, 1
2, 64, 5, 0, 1, 1
2, 65, 5, 6, 1, 1
2, 66, 6, 0, 1, 1
2, 67, 2, 2, 1, 1
2, 68, 6, 0, 1, 1
2, 69, 5, 3, 1, 1
2, 70, 1, 3, 1, 1
2, 71, 2, 1, 1, 1
2, 72, 6, 6, 1, 1
2, 73, 1, 0, 1, 1
2, 74, 4, 0, 1, 1
2, 75, 4, 2, 1, 1
2, 76, 4, 0, 1, 1
2, 77, 6, 4, 1, 1
2, 78, 3, 0, 1, 1
2, 79, 2, 0, 1, 1
2, 80, 6, 1, 1, 1
2, 81, 1, 3, 1, 1
