observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap
22, 1, 6, 6, 0, 1
22, 2, 6, 4, -1, -1
22, 3, 5, 0, 1, 1
22, 4, 2, 0, 1, 1
22, 5, 5, 0, 1, 1
22, 6, 1, 5, -1, -1
22, 7, 1, 0, 1, 1
22, 8, 1, 0, 0, 1
22, 9, 3, 6, 1, 1
22, 10, 3, 3, -1, -1
22, 11, 2, 0, 1, 1
22, 12, 5, 0, 1, 1
22, 13, 1, 2, 1, 1
22, 14, 6, 0, 1, 1
22, 15, 3, 0, 0, 1
22, 16, 4, 3, -1, -1
22, 17, 4, 0, 1, 1
22, 18, 5, 1, 1, 1
22, 19, 5, 1, 1, 1
22, 20, 2, 0, 1, 1
22, 21, 3, 0, 1, 1
22, 22, 3, 4, -1, -1
22, 23, 1, 4, 0, 1
22, 24, 3, 6, 1, 1
22, 25, 6, 1, -1, -1
22, 26, 6, 0, 1, 1
22, 27, 4, 2, 1, 1
22, 28, 6, 0, 1, 1
22, 29, 3, 0, 1, 1
22, 30, 6, 0, 1, 1
22, 31, 4, 6, 1, 1
22, 32, 4, 0, 1, 1
22, 33, 5, 0, 1, 1
22, 34, 1, 0, 1, 1
22, 35, 1, 1, 1, 1
22, 36, 1, 0, 1, 1
22, 37, 5, 4, 1, 1
22, 38, 4, 0, 1, 1
22, 39, 1, 0, 1, 1
22, 40, 6, 2, -1, -1
22, 41, 3, 4, 1, 1
22, 42, 2, 2, -1, -1
22, 43, 6, 5, 1, 1
22, 44, 4, 5, -1, -1
22, 45, 3, 0, -1, -1
22, 46, 2, 0, 1, 1
22, 47, 6, 0, 1, 1
22, 48, 4, 0, 1, 1
22, 49, 5, 0, 1, 1
22, 50, 2, 6, 1, 1
22, 51, 3, 2, -1, -1
22, 52, 1, 0, 1, 1
22, 53, 5, 3, 1, 1
22, 54, 5, 3, 1, 1
22, 55, 6, 0, 0, 1
22, 56, 1, 3, -1, -1
22, 57, 5, 0, 1, 1
22, 58, 1, 0, 1, 1
22, 59, 1, 0, 1, 1
22, 60, 2, 0, 1, 1
22, 61, 4, 0, 1, 1
22, 62, 3, 1, 1, 1
22, 63, 4, 3, -1, -1
22, 64, 1, 1, 1, 1
22, 65, 2, 1, 1, 1
22, 66, 2, 2, 1, 1
22, 67, 4, 0, 1, 1
22, 68, 5, 6, 1, 1
22, 69, 6, 0, 1, 1
22, 70, 3, 5, 1, 1
22, 71, 1, 6, 1, 1
22, 72, 1, 0, 1, 1
22, 73, 2, 6, 1, 1
22, 74, 5, 0, 1, 1
22, 75, 4, 0, 1, 1
22, 76, 6, 5, -1, -1
22, 77, 3, 1, 1, 1
22, 78, 2, 0, 1, 1
22, 79, 2, 5, 1, 1
22, 80, 4, 3, 1, 1
22, 81, 6, 0, 1, 1
22, 82, 4, 0, 1, 1
22, 83, 5, 5, 1, 1
22, 84, 4, 1, 1, 1
22, 85, 3, 0, 1, 1
22, 86, 1, 0, 1, 1
22, 87, 3, 0, 1, 1
22, 88, 2, 0, 1, 1
22, 89, 4, 5, -1, -1
22, 90, 4, 1, 1, 1
22, 91, 2, 5, 1, 1
22, 92, 5, 0, 1, 1
22, 93, 6, 0, 1, 1
22, 94, 3, 0, 1, 1
22, 95, 6, 1, 1, 1
22, 96, 6, 4, 1, 1
22, 97, 1, 0, 1, 1
22, 98, 5, 0, 1, 1
22, 99, 1, 4, 1, 1
22, 100, 1, 3, 0, 1
22, 101, 5, 0, 1, 1
22, 102, 1, 0, 1, 1
22, 103, 3, 0, 1, 1
22, 104, 4, 0, 1, 1
22, 105, 6, 4, 1, 1
22, 106, 1, 2, 1, 1
22, 107, 2, 3, -1, -1
22, 108, 4, 0, 1, 1
22, 109, 1, 5, -1, -1
22, 110, 2, 5, 1, 1
22, 111, 5, 0, 1, 1
22, 112, 1, 0, 1, 1
22, 113, 2, 3, 1, 1
22, 114, 4, 6, 1, 1
22, 115, 4, 0, 1, 1
22, 116, 5, 5, 1, 1
22, 117, 5, 0, 1, 1
22, 118, 1, 5, 1, 1
22, 119, 5, 0, 1, 1
22, 120, 3, 0, 1, 1
22, 121, 1, 6, 1, 1
22, 122, 5, 0, 1, 1
22, 123, 1, 0, 1, 1
22, 124, 5, 2, 1, 1
22, 125, 1, 3, 1, 1
22, 126, 2, 0, 1, 1
22, 127, 3, 0, 1, 1
22, 128, 5, 5, 1, 1
22, 129, 3, 4, -1, -1
22, 130, 6, 2, 1, 1
22, 131, 5, 0, 1, 1
22, 132, 6, 0, 1, 1
22, 133, 2, 6, 1, 1
22, 134, 6, 0, 1, 1
22, 135, 2, 0, 1, 1
22, 136, 6, 6, 1, 1
22, 137, 6, 0, 1, 1
22, 138, 4, 0, 1, 1
22, 139, 2, 1, 1, 1
22, 140, 4, 4, -1, -1
22, 141, 4, 4, 1, 1
22, 142, 1, 0, 1, 1
22, 143, 3, 1, 1, 1
22, 144, 4, 4, 1, 1
22, 145, 2, 4, 1, 1
22, 146, 1, 2, -1, -1
22, 147, 1, 6, 0, 1
22, 148, 2, 0, 1, 1
22, 149, 2, 1, 1, 1
22, 150, 3, 0, 1, 1
22, 151, 4, 0, 1, 1
22, 152, 5, 2, 1, 1
22, 153, 4, 0, 1, 1
22, 154, 5, 4, 1, 1
22, 155, 4, 1, 1, 1
22, 156, 5, 6, 1, 1
22, 157, 6, 0, 1, 1
22, 158, 6, 1, 1, 1
22, 159, 3, 6, 1, 1
22, 160, 2, 0, 1, 1
22, 161, 4, 0, 1, 1
22, 162, 6, 0, 1, 1
22, 163, 4, 0, 1, 1
22, 164, 2, 3, 1, 1
22, 165, 2, 0, 1, 1
22, 166, 4, 2, -1, -1
22, 167, 6, 0, 1, 1
22, 168, 5, 0, 1, 1
22, 169, 5, 6, 1, 1
22, 170, 3, 0, 1, 1
22, 171, 3, 2, 1, 1
22, 172, 3, 3, 1, 1
22, 173, 3, 0, 1, 1
22, 174, 6, 3, 1, 1
22, 175, 5, 4, 1, 1
22, 176, 3, 0, 1, 1
22, 177, 1, 4, -1, -1
22, 178, 2, 0, 1, 1
22, 179, 6, 5, 1, 1
22, 180, 6, 0, 1, 1
22, 181, 3, 5, 1, 1
22, 182, 5, 0, 1, 1
22, 183, 4, 0, 1, 1
22, 184, 1, 0, 1, 1
22, 185, 4, 6, 1, 1
22, 186, 4, 5, 1, 1
22, 187, 3, 0, 1, 1
22, 188, 6, 3, 1, 1
22, 189, 1, 0, 1, 1
22, 190, 3, 0, 1, 1
22, 191, 2, 0, 1, 1
22, 192, 6, 3, 1, 1
22, 193, 3, 3, 1, 1
