observer,trial,targLoc,distLoc,targDiscrim,thoughtNoAttCap,distracter,distLocRel
1,1,1,0,1,TRUE,0,0
1,2,3,0,1,TRUE,0,0
1,3,1,0,0,TRUE,0,0
1,4,5,0,NA,FALSE,0,0
1,5,3,5,NA,FALSE,1,2
1,6,4,0,1,TRUE,0,0
1,7,2,4,NA,FALSE,1,3
1,8,6,0,1,TRUE,0,0
1,9,5,0,1,TRUE,0,0
1,10,5,0,1,TRUE,0,0
1,11,5,0,1,TRUE,0,0
1,12,2,0,1,TRUE,0,0
1,13,5,0,1,TRUE,0,0
1,14,3,0,1,TRUE,0,0
1,15,1,0,1,TRUE,0,0
1,16,6,0,NA,FALSE,0,0
1,17,5,2,NA,FALSE,1,4
1,18,6,5,NA,FALSE,1,2
1,19,4,6,NA,FALSE,1,3
1,20,4,1,NA,FALSE,1,4
1,21,3,5,NA,FALSE,1,2
1,22,4,0,1,TRUE,0,0
1,23,2,5,NA,FALSE,1,2
1,24,1,1,1,TRUE,1,1
1,25,3,0,1,TRUE,0,0
1,26,1,0,0,TRUE,0,0
1,27,3,1,NA,FALSE,1,5
1,28,6,0,1,TRUE,0,0
1,29,4,3,NA,FALSE,1,0
1,30,1,0,1,TRUE,0,0
1,31,2,1,0,TRUE,1,0
1,32,6,6,1,TRUE,1,1
1,33,5,3,1,TRUE,1,5
1,34,4,6,1,TRUE,1,3
1,35,6,4,0,TRUE,1,3
1,36,5,0,1,TRUE,0,0
1,37,6,5,1,TRUE,1,2
1,38,6,4,NA,FALSE,1,3
1,39,4,0,NA,FALSE,0,0
1,40,6,6,1,TRUE,1,1
1,41,1,0,1,TRUE,0,0
1,42,2,1,1,TRUE,1,0
1,43,5,4,NA,FALSE,1,3
1,44,1,0,NA,FALSE,0,0
1,45,2,3,1,TRUE,1,2
1,46,1,0,0,TRUE,0,0
1,47,3,0,0,TRUE,0,0
1,48,4,0,1,TRUE,0,0
1,49,6,3,NA,FALSE,1,4
1,50,1,1,NA,FALSE,1,1
1,51,4,1,NA,FALSE,1,4
1,52,2,0,NA,FALSE,0,0
1,53,2,2,NA,FALSE,1,1
1,54,1,4,1,TRUE,1,3
1,55,2,0,0,TRUE,0,0
1,56,4,0,1,TRUE,0,0
1,57,5,0,1,TRUE,0,0
1,58,1,0,1,TRUE,0,0
1,59,6,0,1,TRUE,0,0
1,60,5,0,1,TRUE,0,0
1,61,2,6,NA,FALSE,1,5
1,62,2,0,1,TRUE,0,0
1,63,5,0,0,TRUE,0,0
1,64,1,5,NA,FALSE,1,2
1,65,4,0,0,TRUE,0,0
1,66,4,5,1,TRUE,1,2
1,67,3,4,NA,FALSE,1,3
1,68,5,0,1,TRUE,0,0
1,69,2,0,1,TRUE,0,0
1,70,5,4,NA,FALSE,1,3
1,71,4,1,NA,FALSE,1,4
1,72,5,0,0,TRUE,0,0
1,73,4,6,NA,FALSE,1,3
1,74,1,0,1,TRUE,0,0
1,75,2,5,NA,FALSE,1,2
1,76,3,6,NA,FALSE,1,4
1,77,3,0,1,TRUE,0,0
1,78,3,0,1,TRUE,0,0
1,79,1,2,0,TRUE,1,2
1,80,1,0,1,TRUE,0,0
1,81,1,6,NA,FALSE,1,0
