"observer","congruent captured","congruent direct","incongruent captured","incongruent direct"
1,NA,0.520147,NA,0.607972
2,0.94217,0.587896,0.894715,0.664928
3,0.526395,0.7021255,NA,0.669916
5,0.622967,0.709482,0.777388,0.76835
6,0.7316655,0.519092,0.880906,0.6696055
7,0.866201,0.787044,0.855032,0.819656
8,NA,0.7940895,NA,0.8091575
9,0.425912,0.3942145,NA,0.459635
10,1.0006035,0.676378,0.846987,0.8598815
12,NA,0.796588,0.876826,0.834411
13,0.680428,0.4029215,0.773092,0.4369235
14,0.572975,0.504876,0.801546,0.6046235
15,0.715271,0.652807,0.751936,0.6911195
16,NA,0.515307,NA,0.567009
17,0.796119,0.605312,0.856123,0.606936
18,0.913765,0.832837,0.831716,0.7898705
19,0.4799595,0.432399,0.477353,0.444599
20,0.804078,0.571983,0.849666,0.6679555
21,0.9518095,0.553189,1.097699,0.5241155
