observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
8, 2, 5, 4, 1, 1, -1, 1, 0.671787, 2.180445
8, 3, 4, 0, 1, 3, 1, 0, 0.733070, 0.000000
8, 4, 6, 0, 1, 1, 1, 0, 0.764735, 0.932777
8, 5, 3, 3, 1, 1, -1, -1, 1.121146, 9.135357
8, 6, 2, 0, 1, 1, -1, 0, 0.871589, 0.800964
8, 7, 6, 0, 1, 1, -1, 0, 0.704410, 1.109364
8, 8, 1, 4, 1, 1, -1, 1, 0.629647, 1.168496
8, 9, 1, 3, 1, 3, 1, -1, 0.911716, 0.000000
8, 10, 3, 0, 1, 1, -1, 0, 1.151531, 0.925637
8, 11, 6, 0, 1, 1, -1, 0, 0.672078, 0.717122
8, 12, 6, 0, 1, 3, 1, 0, 0.800157, 0.000000
8, 13, 1, 0, 1, 1, 1, 0, 0.691200, 0.405657
8, 14, 5, 6, 1, 1, 1, -1, 0.899718, 0.851640
8, 15, 5, 1, 1, 1, 1, -1, 1.021709, 0.630425
8, 16, 3, 6, 1, 1, 1, -1, 0.934037, 0.584625
8, 17, 3, 0, 1, 1, 1, 0, 0.894253, 0.884540
8, 18, 5, 0, 1, 3, -1, 0, 0.878627, 0.000000
8, 19, 5, 0, 1, 1, 1, 0, 0.905604, 0.530406
8, 20, 4, 3, 1, 1, 1, -1, 0.951495, 0.819361
8, 21, 6, 0, 1, 1, 1, 0, 0.772116, 0.573391
8, 22, 2, 3, 1, 1, 1, -1, 0.910203, 0.486644
8, 23, 3, 1, 1, 1, 1, 1, 1.248972, 0.946768
8, 24, 2, 0, 1, 1, 1, 0, 0.932345, 0.518683
8, 25, 1, 1, 1, 1, 1, -1, 1.076998, 0.591609
8, 26, 1, 6, 1, 3, 1, -1, 1.107862, 0.000000
8, 27, 4, 1, 1, 1, 1, -1, 1.253377, 0.676894
8, 28, 4, 2, 1, 1, 1, 1, 1.322802, 0.685166
8, 29, 5, 5, 1, 1, -1, 1, 1.265945, 0.823542
8, 31, 4, 5, 0, -1, 1, -1, 0.632331, 1.312839
8, 32, 4, 1, 1, 1, -1, -1, 1.146507, 1.045353
8, 33, 5, 0, 1, 1, 1, 0, 0.818571, 0.668155
8, 34, 3, 2, 1, 1, 1, 1, 0.970035, 0.568389
8, 35, 2, 3, 1, 1, -1, -1, 1.182879, 0.599476
8, 36, 6, 0, 1, 1, -1, 0, 0.895461, 0.721175
8, 37, 2, 0, 1, 1, 1, 0, 1.304145, 0.656957
8, 38, 3, 2, 1, 3, -1, -1, 1.323160, 0.000000
8, 39, 5, 5, 1, 1, 1, 1, 1.229015, 0.400764
8, 40, 4, 0, 1, 1, -1, 0, 1.123345, 0.558902
8, 41, 2, 0, 1, 1, -1, 0, 0.724537, 0.414340
8, 42, 4, 0, 1, 1, -1, 0, 0.579444, 0.918636
8, 43, 4, 0, 1, 1, 1, 0, 0.856206, 0.614267
8, 44, 6, 0, 1, 1, -1, 0, 1.002061, 0.994296
8, 45, 5, 0, 1, 1, -1, 0, 0.926969, 0.725612
8, 46, 3, 0, 1, 1, -1, 0, 1.118681, 0.770439
8, 47, 2, 3, 1, 1, 1, 1, 0.918022, 0.981206
8, 48, 3, 4, 1, 3, 1, -1, 1.268810, 0.000000
8, 49, 6, 0, 1, 1, 1, 0, 0.922606, 0.498136
8, 50, 4, 0, 1, 1, 1, 0, 0.902134, 1.089093
8, 51, 6, 6, 1, 1, -1, 1, 0.955013, 0.451307
8, 52, 3, 0, 1, 1, 1, 0, 0.844345, 0.705942
8, 53, 2, 0, 1, 1, -1, 0, 0.583922, 0.372280
8, 54, 4, 0, 1, 1, -1, 0, 0.783189, 0.365379
8, 55, 2, 0, 1, 1, 1, 0, 0.573987, 0.319504
8, 56, 6, 5, 1, 1, 1, 1, 0.852594, 0.281178
8, 57, 3, 1, 1, 1, -1, 1, 0.870292, 0.400670
8, 58, 4, 3, 1, 1, -1, -1, 1.366097, 0.571284
8, 59, 1, 0, 1, 1, -1, 0, 0.877468, 0.847678
8, 60, 4, 0, 1, 1, -1, 0, 0.606078, 0.100878
8, 61, 5, 2, 1, 1, 1, 1, 0.963410, 0.636462
8, 62, 1, 5, 1, 1, 1, -1, 0.786354, 0.688658
8, 63, 2, 1, 1, 1, -1, -1, 1.120053, 0.608115
8, 64, 3, 0, 1, 1, -1, 0, 1.071639, 0.586565
8, 65, 1, 0, 1, 3, 1, 0, 1.287750, 0.000000
8, 66, 3, 0, 1, 1, 1, 0, 1.071084, 0.954120
8, 67, 1, 0, 1, 1, -1, 0, 1.224255, 0.885124
8, 69, 2, 0, 1, 1, -1, 0, 0.616476, 0.629833
8, 70, 1, 6, 1, 1, -1, -1, 0.559807, 0.154621
8, 71, 2, 5, 1, 3, 1, 1, 0.758488, 0.000000
8, 72, 1, 6, 1, 1, 1, 1, 0.617772, 0.252997
8, 73, 3, 5, 1, 1, -1, -1, 1.035191, 0.577154
8, 74, 1, 0, 1, 1, -1, 0, 0.872006, 0.353640
8, 75, 3, 0, 1, 1, -1, 0, 0.872853, 0.333810
8, 76, 5, 0, 1, 1, 1, 0, 0.857176, 0.467483
8, 77, 2, 0, 1, 1, 1, 0, 0.809700, 0.385017
8, 78, 4, 0, 1, 1, -1, 0, 0.718572, 0.287449
8, 79, 2, 0, 1, 1, -1, 0, 0.897561, 0.443234
8, 80, 5, 2, 1, 1, -1, 1, 0.914387, 0.178885
8, 81, 6, 1, 1, 1, -1, -1, 0.949829, 0.642981
8, 82, 5, 2, 1, 1, -1, 1, 1.140311, 0.779286
8, 83, 4, 0, 1, 1, 1, 0, 0.983087, 0.410525
8, 84, 5, 0, 1, 1, 1, 0, 0.935138, 0.376668
8, 85, 5, 3, 1, 1, 1, -1, 1.207458, 0.312463
8, 86, 5, 0, 1, 1, -1, 0, 0.857989, 0.326954
8, 87, 5, 1, 1, 1, -1, 1, 1.312535, 0.146465
8, 88, 4, 0, 0, -1, 1, 0, 0.107064, 2.621358
8, 89, 5, 6, 1, 1, -1, -1, 0.991877, 0.590658
8, 90, 3, 1, 1, 1, 1, -1, 1.076820, 0.521899
8, 91, 4, 5, 1, 1, -1, -1, 1.022059, 0.545435
8, 92, 4, 2, 1, 1, 1, -1, 1.367651, 0.446642
8, 93, 3, 3, 1, 3, 1, -1, 0.738743, 0.000000
8, 94, 6, 0, 1, 1, -1, 0, 0.876058, 0.390998
8, 95, 2, 6, 1, 1, 1, -1, 0.864586, 0.633204
8, 96, 1, 0, 1, 3, 1, 0, 1.088273, 0.000000
8, 97, 1, 2, 1, 1, -1, 1, 0.876213, 0.511214
8, 98, 2, 1, 1, 1, -1, 1, 1.084655, 0.468231
8, 99, 1, 0, 1, 1, -1, 0, 1.035431, 0.585085
8, 100, 5, 0, 1, 1, 1, 0, 0.989601, 0.493367
8, 101, 5, 0, 1, 1, 1, 0, 0.931126, 0.425331
8, 102, 2, 0, 1, 1, 1, 0, 0.918460, 0.560152
8, 103, 6, 3, 1, 1, 1, 1, 1.134628, 0.714098
8, 104, 1, 5, 1, 1, -1, -1, 1.068964, 0.491520
8, 105, 4, 0, 1, 3, 1, 0, 1.015404, 0.000000
8, 106, 2, 2, 1, 1, 1, -1, 1.235991, 0.618331
8, 107, 5, 4, 1, 1, 1, 1, 1.001862, 0.404940
8, 108, 5, 0, 1, 1, 1, 0, 1.309179, 0.443898
8, 109, 3, 0, 1, 1, -1, 0, 0.751052, 0.445297
8, 110, 4, 5, 1, 1, 1, 1, 0.924281, 0.300131
8, 111, 1, 0, 1, 1, -1, 0, 1.071372, 0.512869
8, 112, 4, 2, 1, 1, -1, 1, 1.108744, 0.520173
8, 113, 6, 4, 1, 1, -1, -1, 0.988133, 0.458530
8, 114, 5, 0, 1, 1, -1, 0, 1.035321, 0.650564
8, 115, 1, 3, 1, 1, 1, -1, 1.256369, 0.452609
8, 116, 5, 0, 1, 1, -1, 0, 1.168711, 0.458342
8, 117, 6, 0, 1, 1, 1, 0, 0.926430, 0.610351
8, 118, 1, 4, 1, 3, -1, 1, 1.073388, 0.000000
8, 119, 2, 4, 1, 1, 1, -1, 0.770985, 0.510079
8, 120, 5, 0, 1, 1, 1, 0, 1.118614, 0.592053
8, 121, 4, 3, 1, 1, -1, 1, 1.209781, 0.537294
8, 122, 2, 2, 1, 1, 1, 1, 1.196712, 0.731441
8, 123, 6, 0, 1, 1, 1, 0, 1.336571, 0.564558
8, 124, 6, 0, 1, 1, -1, 0, 1.160341, 0.569941
8, 125, 6, 6, 1, 1, -1, -1, 0.934581, 0.734714
8, 126, 1, 4, 1, 3, 1, 1, 1.321350, 0.000000
8, 127, 3, 0, 1, 1, 1, 0, 1.202184, 0.564696
8, 128, 3, 2, 1, 1, -1, 1, 1.176159, 0.513648
8, 129, 2, 6, 1, 1, -1, -1, 0.814397, 0.635933
8, 130, 1, 0, 1, 1, 1, 0, 1.197272, 0.466763
8, 131, 5, 6, 1, 1, -1, 1, 0.814892, 0.584359
8, 132, 6, 0, 1, 1, 1, 0, 1.138200, 0.787776
8, 133, 3, 5, 1, 1, -1, 1, 1.230563, 0.539972
8, 134, 1, 1, 1, 1, 1, -1, 1.412777, 0.464609
8, 135, 6, 0, 1, 1, -1, 0, 0.759997, 0.393166
8, 136, 2, 5, 1, 3, 1, -1, 0.872730, 0.799306
8, 137, 6, 0, 1, 1, -1, 0, 0.869902, 0.458882
8, 138, 5, 4, 1, 1, -1, -1, 0.757481, 0.554166
8, 139, 5, 2, 1, 1, 1, -1, 1.011717, 0.419833
8, 140, 3, 5, 1, 1, -1, 1, 1.138043, 1.044866
8, 141, 1, 4, 1, 1, -1, -1, 1.206212, 0.510390
8, 142, 1, 4, 1, 3, -1, -1, 0.998729, 0.000000
8, 143, 1, 0, 1, 1, 1, 0, 1.202557, 0.440699
8, 144, 6, 0, 1, 1, -1, 0, 0.963085, 0.393432
8, 145, 6, 0, 1, 1, 1, 0, 0.941983, 0.532723
8, 146, 5, 0, 1, 1, 1, 0, 0.995580, 0.385581
8, 147, 4, 0, 1, 1, -1, 0, 0.776169, 0.868311
8, 148, 4, 0, 1, 1, 1, 0, 0.756059, 0.306904
8, 149, 2, 0, 1, 1, 1, 0, 0.901578, 0.361082
8, 150, 1, 0, 1, 1, 1, 0, 0.742316, 0.238994
8, 151, 6, 0, 1, 1, 1, 0, 0.712870, 0.280611
8, 152, 6, 0, 1, 1, 1, 0, 0.691863, 0.126977
8, 153, 2, 0, 1, 1, 1, 0, 0.662280, 0.105248
8, 154, 4, 0, 1, 1, 1, 0, 0.904717, 0.120721
8, 155, 2, 4, 1, 1, 1, 1, 0.761927, 0.226811
8, 156, 5, 5, 1, 1, -1, -1, 1.160603, 0.265505
8, 157, 1, 4, 1, 1, 1, -1, 1.092649, 0.160183
8, 158, 4, 0, 1, 1, -1, 0, 0.657349, 0.126231
8, 159, 5, 5, 1, 1, -1, -1, 0.906494, 0.219613
8, 160, 2, 0, 1, 1, 1, 0, 0.805473, 0.187466
8, 161, 5, 0, 1, 1, 1, 0, 0.868638, 0.544329
8, 162, 5, 0, 1, 1, 1, 0, 0.697475, 0.073883
8, 163, 1, 5, 1, 1, -1, 1, 0.869011, 0.226440
8, 164, 2, 6, 1, 1, -1, 1, 0.737749, 0.179773
8, 165, 2, 0, 1, 1, 1, 0, 0.996012, 0.120137
8, 166, 6, 4, 1, 1, -1, 1, 0.771470, 0.221087
8, 167, 3, 0, 1, 1, 1, 0, 0.876040, 0.280079
8, 168, 5, 5, 1, 1, 1, -1, 1.123726, 0.148176
8, 169, 1, 0, 1, 1, -1, 0, 0.543378, 0.046650
8, 170, 3, 4, 1, 1, -1, -1, 1.096189, 0.133354
8, 171, 1, 0, 1, 1, 1, 0, 0.744519, 0.087195
8, 172, 4, 1, 1, 1, 1, -1, 1.058619, 0.127827
8, 173, 4, 0, 1, 1, 1, 0, 0.711356, 0.093801
8, 174, 5, 3, 1, 1, -1, 1, 0.744317, 0.066709
8, 175, 2, 2, 1, 1, -1, -1, 0.822456, 0.273268
8, 176, 6, 4, 1, 1, -1, -1, 0.764780, 0.167517
8, 177, 3, 6, 1, 1, 1, 1, 1.073388, 0.087328
8, 178, 2, 6, 1, 1, 1, 1, 0.792037, 0.206087
8, 179, 2, 0, 1, 1, -1, 0, 0.880655, 0.186268
8, 180, 1, 0, 1, 1, -1, 0, 0.677214, 0.199722
8, 181, 3, 0, 1, 1, 1, 0, 0.877293, 0.140345
8, 182, 1, 1, 1, 3, -1, 1, 1.000255, 0.000000
8, 184, 2, 5, 1, 1, 1, -1, 0.543799, 0.074123
8, 185, 4, 0, 1, 1, -1, 0, 0.829752, 0.099865
8, 186, 2, 2, 1, 1, 1, 1, 0.749522, 0.167013
8, 187, 6, 1, 1, 3, 1, 1, 1.031208, 0.000000
8, 188, 4, 2, 1, 1, 1, 1, 0.975577, 0.134519
8, 189, 2, 1, 1, 1, 1, 1, 0.925874, 0.147187
8, 190, 2, 2, 1, 3, -1, 1, 0.969255, 0.000000
8, 191, 3, 0, 1, 1, 1, 0, 0.692505, 0.279973
8, 192, 3, 1, 1, 1, -1, -1, 0.823765, 0.802379
8, 193, 4, 0, 1, 1, -1, 0, 1.116439, 0.586362
8, 194, 4, 5, 1, 1, -1, -1, 0.902745, 0.414081
8, 195, 1, 0, 1, 3, 1, 0, 0.889807, 0.000000
8, 196, 3, 0, 1, 3, 1, 0, 0.810593, 0.571170
8, 197, 6, 0, 1, 1, -1, 0, 0.755144, 0.272770
8, 198, 1, 5, 1, 1, 1, 1, 0.790164, 0.319658
8, 199, 1, 2, 1, 1, 1, -1, 1.042896, 0.292529
8, 200, 3, 0, 1, 1, -1, 0, 0.831926, 0.301430
8, 201, 6, 5, 1, 1, -1, -1, 0.797162, 0.227271
8, 202, 2, 0, 0, 1, -1, 0, 0.935235, 0.812473
8, 203, 3, 2, 1, 1, 1, 1, 0.891821, 0.313187
