"observer","trial","x","y","dur","n","aoi","aoi2"
"1",1,0.299999999999955,-3.89999999999998,1420,1,"c","centre"
"1",2,-1.5,-4.29999999999995,1378,1,"c","centre"
"1",2,245.4,-32.1,142,2,"d1","distracter"
"1",2,1.20000000000005,202.2,120,3,"3","target"
"1",3,3.10000000000002,5.60000000000002,1403,1,"c","centre"
"1",3,4.10000000000002,211.2,157,2,"3","target"
"1",4,3.60000000000002,-3,1251,1,"c","centre"
"1",4,65.5,-41.1,190,2,"c","centre"
"1",4,117.2,-168.9,193,3,"d6","distracter"
"1",4,231.8,-135,3188,4,"1","target"
"1",5,4.60000000000002,-8.20000000000005,1888,1,"c","centre"
"1",6,4.5,-0.700000000000045,1327,1,"c","centre"
"1",7,-11.7,2.10000000000002,1221,1,"c","centre"
"1",7,-238.8,-15.5,165,2,"d4","distracter"
"1",7,-263.6,-10.9,453,3,"d4","distracter"
"1",7,205.2,-165.8,153,4,"1","target"
"1",8,-3.29999999999995,-2.79999999999995,1233,1,"c","centre"
"1",8,-108.6,30.3,131,2,"0","blank"
"1",9,-8.5,8.79999999999995,1236,1,"c","centre"
"1",9,128.6,-58.9,142,2,"0","blank"
"1",9,238.5,-149.5,541,3,"1","target"
"1",10,-9.10000000000002,-5.89999999999998,1313,1,"c","centre"
"1",11,-11.9,-2.20000000000005,1587,1,"c","centre"
"1",11,4.20000000000005,236.2,2190,2,"3","target"
"1",12,-14.4,-6.79999999999995,1200,1,"c","centre"
"1",13,-3.10000000000002,10.3,328,1,"c","centre"
"1",13,-66.7,0.299999999999955,197,2,"c","centre"
"1",13,-13.7,-5.79999999999995,230,3,"c","centre"
"1",13,-2.60000000000002,-1.39999999999998,572,4,"c","centre"
"1",14,-13.1,-18.2,1393,1,"c","centre"
"1",14,-196.6,-22.2,152,2,"d4","distracter"
"1",14,-272.5,-13.4,182,3,"d4","distracter"
"1",14,196.3,120.8,254,4,"2","target"
"1",15,-13.5,5.89999999999998,1360,1,"c","centre"
"1",15,216.1,-3.60000000000002,290,2,"d1","distracter"
"1",16,-14.6,0.399999999999977,268,1,"c","centre"
