observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
25, 1, 5, 0, 1, 1, 1, 0, 3.755878, 3.757387
25, 2, 5, 0, 1, 1, 1, 0, 1.880475, 2.195385
25, 3, 4, 4, 1, -1, -1, 1, 3.843100, 1.396972
25, 4, 2, 1, 1, -1, -1, -1, 3.474145, 1.419533
25, 5, 6, 0, 1, 1, 1, 0, 3.484978, 1.508948
25, 6, 5, 0, 1, 1, -1, 0, 3.560873, 4.299277
25, 7, 3, 0, 1, 1, 1, 0, 4.213466, 2.244863
25, 8, 3, 0, 1, 1, -1, 0, 2.662125, 1.486870
25, 9, 2, 0, 1, 1, 1, 0, 2.676346, 1.257225
25, 10, 2, 0, 1, 1, -1, 0, 3.085316, 1.212322
25, 11, 6, 1, 1, -1, -1, -1, 3.785327, 2.184657
25, 12, 5, 0, 1, 1, -1, 0, 3.696785, 1.643266
25, 13, 5, 0, 1, 1, 1, 0, 2.110036, 1.305800
25, 14, 6, 5, 1, -1, 1, 1, 3.952587, 1.197338
25, 15, 1, 4, 1, 1, -1, -1, 3.367085, 0.705013
25, 16, 6, 0, 1, 1, 1, 0, 2.228023, 0.678027
25, 17, 4, 0, 1, 1, -1, 0, 2.031563, 1.208935
25, 18, 4, 0, 1, 1, -1, 0, 1.605085, 0.859972
25, 19, 6, 3, 1, 1, 1, -1, 2.830197, 0.747876
25, 20, 2, 3, 1, 1, -1, 1, 1.885975, 2.833478
25, 21, 3, 0, 1, 1, 1, 0, 2.438392, 0.970731
25, 22, 6, 0, 1, 1, 1, 0, 4.697303, 0.744917
25, 23, 2, 0, 1, 1, 1, 0, 2.891925, 0.643752
25, 24, 4, 0, 1, 1, 1, 0, 3.217382, 1.868451
25, 25, 5, 0, 1, 1, -1, 0, 3.432310, 0.860907
25, 26, 2, 0, 1, 1, 1, 0, 3.158697, 0.549152
25, 27, 6, 1, 1, 1, 1, -1, 4.320395, 0.453483
