observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
13, 1, 4, 0, 1, 1, 1, 0, 3.696631, 4.653495
13, 2, 6, 5, 1, -1, -1, -1, 3.023115, 1.705468
13, 3, 3, 1, 1, -1, -1, -1, 2.353105, 1.851779
13, 4, 1, 0, 1, 1, -1, 0, 2.193819, 1.603455
13, 5, 6, 5, 1, -1, -1, -1, 2.224220, 1.317004
13, 6, 3, 3, 1, -1, 1, -1, 5.030941, 1.397544
13, 7, 3, 0, 1, 1, 1, 0, 4.181078, 1.780600
13, 8, 2, 1, 1, -1, 1, 1, 2.802401, 5.744043
13, 9, 3, 0, 1, 1, 1, 0, 2.314364, 1.445341
13, 10, 5, 0, 1, 1, -1, 0, 1.954539, 1.529935
13, 11, 2, 1, 1, -1, 1, -1, 2.394187, 1.641836
13, 12, 1, 5, 1, 1, -1, -1, 4.085294, 1.750030
13, 13, 3, 3, 1, -1, -1, -1, 2.648703, 1.509598
13, 14, 6, 0, 1, 1, -1, 0, 1.865684, 1.144690
13, 15, 1, 0, 1, 1, -1, 0, 1.501541, 1.075158
13, 16, 5, 0, 1, 1, 1, 0, 1.953016, 1.237064
13, 17, 5, 6, 1, -1, -1, 1, 2.152723, 1.341778
13, 18, 4, 3, 1, -1, 1, 1, 4.043407, 2.052362
13, 19, 1, 5, 1, 1, 1, -1, 2.293956, 1.058489
13, 20, 3, 0, 1, 1, -1, 0, 2.045693, 1.470080
13, 21, 2, 3, 1, -1, 1, 1, 2.602572, 1.088702
13, 22, 3, 0, 1, 1, 1, 0, 1.858581, 1.738638
13, 23, 4, 2, 1, 1, -1, 1, 1.756321, 1.430847
13, 24, 1, 5, 1, -1, 1, 1, 2.270242, 1.341406
13, 25, 6, 0, 1, 1, -1, 0, 1.752182, 1.500113
13, 26, 1, 2, 1, -1, -1, -1, 3.143564, 2.516376
13, 27, 6, 6, 1, -1, -1, 1, 2.203619, 1.275377
13, 28, 5, 0, 1, 1, -1, 0, 1.410524, 1.487104
13, 29, 6, 0, 1, 1, -1, 0, 1.378773, 1.115805
13, 30, 3, 0, 1, 1, -1, 0, 1.907587, 1.133180
13, 31, 2, 0, 1, 1, -1, 0, 1.960420, 1.230041
13, 32, 1, 2, 1, -1, 1, -1, 2.747936, 1.468034
13, 33, 1, 0, 1, 1, 1, 0, 1.981036, 1.052570
13, 34, 1, 6, 1, -1, -1, -1, 2.603361, 1.202728
13, 35, 4, 1, 1, -1, -1, -1, 2.002609, 1.215596
13, 36, 2, 0, 1, 1, 1, 0, 1.601000, 1.087052
13, 37, 5, 0, 1, 1, 1, 0, 2.086518, 0.983967
13, 38, 1, 0, 1, 1, -1, 0, 1.624043, 1.177912
13, 39, 1, 4, 1, -1, -1, -1, 2.626540, 0.856565
13, 40, 4, 2, 1, -1, -1, -1, 3.238575, 0.658438
13, 41, 3, 0, 1, 1, 1, 0, 2.033770, 1.016379
13, 42, 4, 0, 1, 1, -1, 0, 1.374828, 0.001046
13, 43, 5, 0, 1, 1, 1, 0, 1.741871, 0.979762
13, 44, 6, 0, 1, 1, 1, 0, 1.491178, 1.057588
13, 45, 1, 2, 1, 1, -1, 1, 2.100322, 0.878497
13, 46, 6, 3, 1, -1, -1, 1, 1.805995, 0.678005
13, 47, 5, 4, 1, -1, 1, -1, 1.890222, 1.027170
13, 48, 6, 0, 1, 1, 1, 0, 1.704452, 1.211548
13, 49, 1, 1, 1, -1, 1, 1, 2.363121, 1.431221
13, 50, 3, 2, 1, -1, 1, 1, 2.593254, 1.100030
13, 51, 5, 2, 1, -1, -1, 1, 2.547457, 1.282827
13, 52, 4, 0, 1, 1, -1, 0, 1.857947, 0.773009
13, 53, 3, 0, 1, 1, -1, 0, 1.737276, 2.374464
13, 54, 6, 5, 1, -1, 1, -1, 1.888654, 1.209948
13, 55, 2, 4, 1, 1, -1, 1, 1.619934, 1.064493
13, 56, 3, 0, 1, 1, 1, 0, 1.509879, 0.711334
13, 57, 5, 0, 1, 1, 1, 0, 1.314169, 0.618794
13, 58, 5, 3, 1, -1, 1, 1, 2.019735, 0.519573
13, 59, 6, 0, 1, 1, -1, 0, 1.767129, 2.238322
13, 60, 5, 0, 1, 1, 1, 0, 1.302152, 0.833306
13, 61, 2, 6, 1, -1, 1, -1, 2.129923, 0.001036
13, 62, 5, 5, 1, -1, 1, -1, 1.843733, 1.109396
13, 63, 5, 0, 1, 1, -1, 0, 1.537931, 0.843450
13, 64, 2, 0, 1, 1, -1, 0, 1.509624, 1.496792
13, 65, 4, 4, 1, -1, 1, 1, 2.876980, 0.001052
13, 66, 6, 6, 1, -1, 1, 1, 1.878497, 0.473524
13, 67, 2, 3, 1, -1, -1, 1, 3.330119, 1.243433
13, 68, 2, 2, 1, -1, 1, -1, 2.007668, 0.779851
13, 69, 6, 0, 1, 1, 1, 0, 2.330174, 0.608973
13, 70, 4, 0, 1, 1, 1, 0, 1.256701, 0.646453
13, 71, 2, 0, 1, 1, -1, 0, 1.580771, 0.685728
13, 72, 2, 0, 1, 1, 1, 0, 1.308367, 0.452979
13, 73, 4, 0, 1, 1, -1, 0, 1.273321, 0.657606
13, 74, 4, 0, 1, 1, -1, 0, 1.315760, 0.505235
13, 75, 1, 4, 1, -1, -1, 1, 1.622795, 0.848251
13, 76, 5, 0, 1, 1, 1, 0, 1.581202, 0.917614
