"observer","trial","x","y","dur","onset","offset","n","aoi2","aoi"
"1",1,-13.5,-7.5,1234,0,1946440,1,"centre","c"
"1",1,-220.6,-95.6,123,1270,1946599,2,"target","5"
"1",2,-12.7,-18.3,1259,0,1954958,1,"centre","c"
"1",2,-201.7,-7.70000000000005,92,1291,1955082,2,"distracter","d4"
"1",2,-256.5,-16.3,134,1402,1955235,3,"distracter","d4"
"1",3,4.70000000000005,-14.7,1268,0,1965152,1,"centre","c"
"1",3,9.89999999999998,-205.8,101,1301,1965286,2,"target","6"
"1",3,-3.5,-265.1,256,1423,1965563,3,"target","6"
"1",4,-5.10000000000002,-8.20000000000005,1278,0,1973779,1,"centre","c"
"1",4,-235.8,76,143,1316,1973960,2,"target","4"
"1",5,-19.8,-12.6,1213,0,1981249,1,"centre","c"
"1",5,-257,7.39999999999998,104,1248,1981388,2,"distracter","d4"
"1",5,-229.7,104.2,946,1378,1982360,3,"target","4"
"1",6,-4.20000000000005,-15.4,352,0,1987510,1,"centre","c"
"1",6,2.70000000000005,-20.6,315,466,1987939,2,"centre","c"
"1",6,1.79999999999995,-4.5,462,790,1988410,3,"centre","c"
"1",6,24.4,-182.5,111,1284,1988553,4,"target","6"
"1",7,-8.60000000000002,-8.20000000000005,1465,0,1998235,1,"centre","c"
"1",7,-33,207.6,146,1500,1998416,2,"target","3"
"1",8,-4.79999999999995,-4.5,1241,0,2006429,1,"centre","c"
"1",8,-192.1,-8.60000000000002,120,1276,2006584,2,"distracter","d4"
"1",8,-260.8,-21.4,86,1415,2006689,3,"distracter","d4"
"1",9,5.60000000000002,-3.70000000000005,1290,0,2014247,1,"centre","c"
"1",9,210.1,-116.2,389,1338,2014684,2,"target","1"
"1",10,-13.7,-16.7,295,0,2031069,1,"centre","c"
"1",10,-5.29999999999995,-4.89999999999998,958,311,2032043,2,"centre","c"
"1",10,-219.2,-12.7,157,1299,2032230,3,"distracter","d4"
"1",10,-231.8,-170,124,1485,2032383,4,"target","5"
"1",10,-230.6,-151.2,221,1618,2032613,5,"target","5"
"1",10,-238.9,-138.6,541,1849,2033164,6,"target","5"
"1",11,5.79999999999995,-3.60000000000002,1232,0,2038472,1,"centre","c"
"1",11,-119.9,-231.5,166,1279,2038685,2,"distracter","d5"
"1",11,0.600000000000023,-251.2,636,1471,2039347,3,"target","6"
"1",12,-10.6,-10.9,1225,0,2044300,1,"centre","c"
"1",12,-226.2,112.4,585,1259,2044919,2,"target","4"
"1",13,-9.5,-18.6,497,0,2051305,1,"centre","c"
"1",13,7,-17.7,207,578,2051593,2,"centre","c"
"1",13,-8.20000000000005,-13.7,437,794,2052039,3,"centre","c"
"1",13,-7.60000000000002,152.3,92,1265,2052165,4,"blank","0"
"1",13,-2.5,229.2,1041,1380,2053229,5,"target","3"
"1",14,-2.5,-17.9,469,0,2057962,1,"centre","c"
"1",14,39.8,-0.799999999999955,100,489,2058082,2,"centre","c"
"1",14,10.8,-9.10000000000002,648,600,2058741,3,"centre","c"
"1",14,-12.8,86.7,98,1273,2058864,4,"centre","c"
"1",14,-1.70000000000005,221.5,630,1401,2059524,5,"target","3"
"1",15,-4,-16.3,1368,0,2065261,1,"centre","c"
"1",15,156.3,-78.9,123,1415,2065431,2,"target","1"
"1",16,0.399999999999977,-27.3,211,0,2070070,1,"centre","c"
"1",16,-8.39999999999998,-19.6,254,297,2070410,2,"centre","c"
"1",16,16.2,-9.5,37,561,2070457,3,"centre","c"
"1",16,-20.1,-9.5,84,612,2070555,4,"centre","c"
"1",16,3.60000000000002,-7.5,718,706,2071283,5,"centre","c"
"1",16,-13.8,160,296,1456,2071611,6,"target","3"
"1",16,-10.4,233.6,463,1773,2072095,7,"target","3"
"1",18,0.899999999999977,-12.5,436,0,2086463,1,"centre","c"
"1",19,2.89999999999998,-10.1,1275,0,2095438,1,"centre","c"
"1",19,50.3,-69.9,190,1296,2095649,2,"centre","c"
"1",20,3,-9.29999999999995,1251,0,2102349,1,"centre","c"
"1",20,69.4000000000001,-59.5,203,1272,2102573,2,"centre","c"
"1",20,244.7,-133.2,598,1519,2103215,3,"target","1"
"1",21,15,-11.5,187,0,2107018,1,"centre","c"
"1",21,2.5,-13.9,1072,195,2108098,2,"centre","c"
"1",21,-164.4,47.2,181,1302,2108314,3,"target","4"
"1",21,-128.7,55.8,402,1502,2108735,4,"blank","0"
"1",22,6,-2.89999999999998,1262,0,2114047,1,"centre","c"
"1",22,-104.2,-37.6,176,1284,2114245,2,"blank","0"
"1",23,12,-17.9,1240,0,2122323,1,"centre","c"
"1",23,52.8,59.8,137,1268,2122488,2,"centre","c"
"1",23,0.5,-258.4,989,1460,2123532,3,"target","6"
"1",24,9.60000000000002,-9.39999999999998,1230,0,2129396,1,"centre","c"
"1",24,-211.9,-31,132,1268,2129566,2,"distracter","d4"
"1",24,-6.60000000000002,-281.7,727,1452,2130345,3,"target","6"
"1",25,5.60000000000002,-20.5,447,0,2134731,1,"centre","c"
"1",26,-0.799999999999955,-5.89999999999998,1243,0,2141611,1,"centre","c"
"1",26,183.3,100.4,128,1280,2141776,2,"target","2"
"1",26,221,116.3,398,1422,2142188,3,"target","2"
"1",27,18.6,-12.3,310,0,2146561,1,"centre","c"
"1",27,-2.70000000000005,-11.7,51,318,2146620,2,"centre","c"
"1",28,12.6,-18.2,26,0,2153030,1,"centre","c"
"1",29,-0.600000000000023,-12.3,499,0,2159419,1,"centre","c"
"1",30,15.5,-5.20000000000005,318,0,2165670,1,"centre","c"
"1",30,21.8,-3.39999999999998,755,460,2166567,2,"centre","c"
"1",30,10.9,161.6,118,1246,2166716,3,"target","3"
"1",30,15.1,235,335,1387,2167074,4,"target","3"
"1",30,53.8,-162.1,173,1786,2167311,5,"blank","d6"
"1",31,18.5,-7.20000000000005,1194,0,2174232,1,"centre","c"
"1",31,-62.3,-215.8,152,1229,2174419,2,"distracter","d5"
"1",32,13.3,-19,297,0,2181967,1,"centre","c"
"1",32,19,-7,775,464,2182909,2,"centre","c"
"1",32,13.4,32.5,158,1256,2183084,3,"centre","c"
"1",32,13.1,113.6,87,1441,2183198,4,"blank","0"
"1",32,10.9,221.7,373,1553,2183596,5,"target","3"
"1",33,19.5,-6,376,0,2190549,1,"centre","c"
"1",33,19.9,-11.1,738,490,2191401,2,"centre","c"
"1",33,-176.4,-21.2,93,1255,2191521,3,"distracter","d4"
"1",33,219.7,116.2,237,1393,2191803,4,"target","2"
"1",33,246.4,113.3,463,1650,2192286,5,"target","2"
