"observer","congruent no","congruent yes","incongruent no","incongruent yes"
"1_1",NA,NA,NA,NA
"1_2",0.4925975,0.475854,0.446314,0.590105
"1_3",0.6005735,NA,0.6863265,0.573301
"1_4",0.483614,0.487035,0.582126,0.502188
"1_5",0.302011,0.376445,0.402696,NA
"2_1",0.55935,0.475016,0.905301,0.5077865
"2_2",0.649221,NA,0.6346405,0.560469
"2_3",0.507173,0.429198,0.5956,0.4783835
"2_4",0.7614255,0.480495,0.712911,0.516254
"2_5",0.514914,0.490558,0.580976,0.5519445
"3_1",0.6446595,0.583765,0.741919,0.636979
"3_2",0.5727315,0.553775,0.651562,0.506544
"3_3",0.522716,0.44582,0.5575035,0.48807
"3_4",NA,NA,NA,NA
"3_5",0.503557,0.4461535,0.538721,0.494192
"4_1",0.549502,0.501275,0.5413215,0.529118
"4_2",0.4332115,NA,0.508818,NA
"4_3",0.39346,0.341116,0.589971,0.421798
"4_4",0.504495,0.5102375,0.563753,0.551856
"4_5",0.635438,0.599255,0.7060205,0.506891
"5_1",0.479163,0.482404,0.519783,0.510164
"5_2",0.688206,0.4800075,0.7444655,0.504611
"5_3",NA,0.342752,NA,NA
"5_4",NA,0.396298,0.576334,0.484153
"5_5",NA,NA,NA,NA
"6_1",0.6035665,0.504849,0.699607,NA
"6_2",0.576289,NA,0.606697,NA
"6_3",0.65883,0.437355,0.590001,0.3984465
"6_4",0.58075,0.442569,0.603185,0.51372
"6_5",0.56506,0.564859,0.7319345,0.5925245
