"observer","no","yes"
"1_1",NA,120
"1_2",179,128.5
"1_3",174,171
"1_4",161,160
"1_5",397.5,290
"2_1",188,145
"2_2",122,106
"2_3",180,135
"2_4",155,119
"2_5",241,181
"3_1",137,116.5
"3_2",147,133
"3_3",168,141.5
"3_4",138,187
"3_5",170,161
"4_1",113,119
"4_2",131,124.5
"4_3",148,152
"4_4",122,108
"4_5",116,112
"5_1",131.5,113
"5_2",122,100.5
"5_3",276,227
"5_4",119,112
"5_5",121,80
"6_1",131,110
"6_2",144,146
"6_3",126,116
"6_4",120,117
"6_5",111,103
"99_1",138,120.5
"99_2",123,108
"99_3",134,105
"99_4",118,123
"99_5",317.5,184
"99_6",146,96
