observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
3, 1, 5, 3, 1, 1, 1, -1, 1.296824, 2.963181
3, 2, 3, 0, 1, -1, 1, 0, 0.997226, 1.975623
3, 3, 2, 2, 1, -1, 1, -1, 0.778383, 1.168654
3, 4, 2, 0, 1, 1, 1, 0, 0.491907, 0.513144
3, 5, 3, 3, 1, 1, -1, -1, 0.543409, 0.479474
3, 7, 6, 0, 1, -1, -1, 0, 0.758386, 1.918355
3, 8, 1, 4, 1, -1, -1, -1, 0.626485, 1.361757
3, 9, 2, 6, 1, 1, -1, -1, 0.699146, 1.027085
3, 10, 1, 3, 1, 3, 1, 1, 0.667473, 0.000000
3, 11, 1, 5, 1, -1, 1, 1, 1.444909, 1.221221
3, 12, 3, 4, 0, 1, -1, -1, 0.790857, 2.158994
3, 13, 4, 3, 1, 1, -1, -1, 0.764799, 1.076008
3, 14, 4, 3, 1, 1, 1, -1, 0.740339, 1.066425
3, 15, 3, 0, 1, 1, -1, 0, 0.699930, 0.719479
3, 16, 3, 0, 1, 1, 1, 0, 0.846790, 0.393130
3, 17, 2, 0, 1, 1, -1, 0, 0.650146, 0.246567
3, 18, 6, 6, 1, -1, -1, 1, 0.690733, 0.685083
3, 19, 5, 0, 1, 1, -1, 0, 0.677066, 0.549192
3, 20, 1, 2, 1, -1, 1, -1, 1.297796, 0.708225
3, 21, 4, 0, 1, 1, 1, 0, 0.660727, 0.738453
3, 1, 2, 0, 1, -1, 1, 0, 0.719286, 0.845123
3, 2, 1, 0, 1, 1, 1, 0, 0.533449, 0.234625
3, 3, 5, 1, 1, 1, -1, -1, 0.553378, 0.220430
3, 4, 2, 3, 1, 3, 1, -1, 0.632869, 0.601982
3, 5, 2, 6, 1, 1, 1, 1, 1.260518, 0.514549
3, 6, 4, 6, 1, -1, -1, -1, 0.620489, 0.765532
3, 7, 4, 3, 1, 1, 1, 1, 0.725881, 0.344815
3, 8, 4, 1, 1, 1, 1, -1, 0.742248, 0.339881
3, 9, 2, 3, 1, -1, -1, -1, 0.783941, 0.744802
3, 10, 4, 3, 1, 1, 1, 1, 0.762397, 0.278954
3, 11, 2, 3, 1, -1, 1, 1, 0.518999, 0.634680
3, 12, 3, 4, 0, 1, 1, 1, 0.477811, 0.777840
3, 13, 6, 5, 1, -1, -1, 1, 1.262882, 0.529726
3, 14, 3, 3, 1, 1, -1, -1, 0.672801, 0.750158
3, 15, 2, 5, 1, -1, -1, 1, 0.639333, 0.638543
3, 16, 4, 0, 1, 1, 1, 0, 0.567833, 0.181111
3, 17, 5, 0, 1, 1, -1, 0, 0.498188, 0.220145
3, 18, 5, 2, 1, 1, -1, -1, 0.499355, 0.359133
3, 19, 4, 0, 1, 1, -1, 0, 0.394954, 0.361119
3, 20, 2, 4, 0, -1, -1, 1, 0.513963, 0.880883
3, 21, 6, 4, 0, -1, -1, -1, 1.027391, 1.087163
3, 22, 5, 5, 1, -1, 1, 1, 0.984761, 0.293672
3, 23, 1, 3, 1, -1, 1, -1, 0.871409, 0.433493
3, 24, 4, 3, 1, 1, -1, -1, 0.664925, 0.213840
3, 25, 1, 0, 1, 1, 1, 0, 0.501368, 0.300823
3, 26, 3, 0, 0, 1, 1, 0, 0.466038, 0.617859
3, 27, 5, 0, 1, 1, -1, 0, 0.447073, 0.298778
3, 28, 3, 0, 0, 1, 1, 0, 0.505320, 0.546865
3, 29, 4, 2, 1, 1, 1, -1, 0.673518, 0.260580
3, 30, 2, 0, 1, 1, -1, 0, 0.545119, 0.220509
3, 31, 5, 0, 1, 1, 1, 0, 0.433022, 0.240705
3, 32, 5, 6, 1, 1, 1, 1, 0.625348, 0.260998
3, 33, 6, 0, 1, 1, 1, 0, 0.700699, 0.239747
3, 34, 2, 4, 1, 1, -1, -1, 0.527755, 0.240335
3, 35, 3, 3, 1, 1, 1, 1, 0.544574, 0.300135
3, 36, 1, 0, 1, 1, -1, 0, 0.567135, 0.240530
3, 37, 1, 2, 1, 1, -1, -1, 0.514246, 0.266969
3, 38, 3, 2, 1, -1, -1, 1, 0.604760, 0.540297
3, 39, 3, 3, 1, -1, -1, 1, 0.532830, 0.472534
3, 40, 4, 2, 1, -1, 1, -1, 0.487299, 0.700520
3, 41, 2, 5, 1, 1, 1, 1, 0.584184, 0.233906
3, 42, 5, 2, 1, 1, -1, 1, 0.499923, 0.779092
3, 43, 1, 3, 0, 3, -1, -1, 0.480091, 0.000000
3, 44, 5, 3, 1, -1, -1, 1, 0.577704, 0.399712
3, 45, 3, 5, 1, 1, 1, 1, 0.718788, 1.182843
3, 46, 5, 0, 1, 1, 1, 0, 0.870354, 0.505871
3, 47, 1, 0, 1, 1, 1, 0, 0.454277, 0.280726
3, 48, 3, 2, 1, 1, -1, -1, 0.486089, 0.286734
3, 49, 6, 3, 1, 1, -1, -1, 0.612150, 0.466485
3, 50, 3, 0, 1, 1, -1, 0, 0.596796, 0.477732
3, 51, 3, 0, 1, 1, 1, 0, 0.527097, 0.280428
3, 52, 4, 4, 1, -1, -1, 1, 0.599539, 0.246438
3, 53, 2, 5, 1, 1, 1, 1, 0.358766, 0.697887
3, 54, 3, 0, 1, 1, -1, 0, 0.913318, 0.273493
3, 55, 3, 1, 1, -1, -1, -1, 1.407211, 0.372819
3, 56, 5, 0, 1, 1, -1, 0, 0.926059, 1.131505
3, 57, 1, 0, 0, -1, -1, 0, 0.441393, 0.708741
3, 58, 4, 0, 1, 1, -1, 0, 0.613284, 0.233901
3, 59, 5, 1, 1, -1, 1, 1, 0.611774, 0.644519
3, 60, 2, 0, 1, 1, -1, 0, 0.627707, 0.895481
3, 61, 1, 0, 1, 1, 1, 0, 0.612068, 0.173843
3, 62, 1, 4, 1, -1, -1, -1, 1.459297, 0.446828
3, 63, 1, 0, 1, 1, -1, 0, 0.602655, 0.705073
3, 64, 4, 3, 1, 1, 1, -1, 1.092154, 1.397109
3, 65, 1, 3, 1, 1, 1, 1, 0.419624, 0.233478
3, 66, 5, 3, 1, 1, 1, -1, 0.692814, 0.887513
