observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
5, 1, 3, 0, 0, 1, 1, 0, 0.576549, 6.172809
5, 2, 6, 0, 0, 1, 1, 0, 1.056244, 1.679646
5, 3, 6, 2, 0, -1, -1, 1, 0.808585, 5.381520
5, 4, 6, 4, 1, -1, -1, 1, 1.270616, 1.696519
5, 5, 3, 0, 0, -1, -1, 0, 0.763001, 2.074641
5, 6, 1, 6, 1, 1, -1, 1, 0.619171, 1.329144
5, 7, 6, 5, 0, -1, 1, -1, 0.758015, 1.663291
5, 8, 5, 3, 0, 3, 1, -1, 1.225296, 1.765413
5, 9, 5, 6, 0, 1, 1, -1, 0.759708, 2.262049
5, 10, 5, 0, 1, 1, -1, 0, 0.512863, 1.110440
5, 11, 5, 0, 1, -1, 1, 0, 0.797336, 1.868280
5, 12, 5, 4, 1, -1, 1, 1, 0.863829, 1.653672
5, 13, 5, 1, 1, -1, 1, -1, 0.823763, 1.437701
5, 14, 2, 4, 0, -1, 1, 1, 0.525408, 0.887070
5, 15, 4, 2, 1, 1, -1, -1, 0.836478, 1.223565
5, 16, 4, 6, 1, -1, -1, 1, 0.781012, 1.714376
5, 17, 2, 3, 0, 1, 1, -1, 0.656874, 1.524560
5, 18, 6, 4, 0, -1, 1, -1, 0.948908, 1.161494
5, 19, 4, 6, 1, 1, -1, -1, 0.598156, 0.935919
5, 20, 6, 3, 0, -1, -1, 1, 0.784044, 1.256053
5, 2, 5, 0, 1, -1, 1, 0, 0.598924, 1.040864
5, 3, 3, 6, 1, -1, 1, -1, 1.244377, 0.596901
5, 4, 1, 4, 1, -1, 1, 1, 0.724981, 1.793992
5, 5, 1, 3, 0, 3, 1, 1, 0.586386, 1.469092
5, 6, 1, 4, 0, 3, 1, -1, 0.663813, 1.176108
5, 7, 3, 2, 0, 3, -1, 1, 1.012166, 0.000000
5, 8, 5, 2, 1, -1, -1, -1, 1.257412, 1.375893
5, 9, 4, 4, 1, -1, 1, 1, 0.737120, 0.398816
5, 10, 4, 0, 1, -1, -1, 0, 1.385494, 2.673678
5, 11, 2, 2, 1, 1, 1, 1, 0.823735, 1.202831
5, 12, 1, 2, 1, -1, 1, 1, 0.725964, 0.651650
5, 13, 2, 2, 0, 3, 1, -1, 0.710416, 0.552999
5, 14, 5, 5, 1, 3, -1, 1, 0.591932, 0.658188
5, 15, 5, 6, 1, 3, -1, -1, 0.419794, 0.500343
5, 16, 5, 4, 1, 1, -1, 1, 0.512194, 0.841086
5, 17, 3, 6, 1, 1, 1, 1, 0.776578, 0.987697
5, 18, 5, 3, 0, 1, 1, -1, 1.148513, 1.148345
5, 19, 4, 5, 1, 1, 1, 1, 0.883319, 0.709656
5, 20, 6, 5, 1, 3, -1, -1, 0.731531, 0.751072
5, 21, 6, 2, 1, 1, 1, 1, 0.946291, 0.478528
5, 22, 5, 6, 0, 1, -1, 1, 0.668753, 0.676984
5, 23, 1, 4, 1, -1, -1, 1, 0.623074, 1.746344
5, 24, 1, 3, 1, 3, 1, 1, 0.891682, 0.000000
5, 25, 6, 6, 1, -1, -1, -1, 0.657537, 1.233873
5, 26, 6, 3, 1, 1, 1, 1, 1.020771, 1.146141
5, 27, 5, 0, 1, -1, -1, 0, 0.671402, 0.961442
5, 29, 3, 1, 1, 1, -1, -1, 0.671071, 0.931331
5, 30, 1, 5, 0, 1, -1, 1, 1.166590, 1.209262
5, 31, 6, 0, 0, 3, -1, 0, 1.029594, 2.132751
5, 32, 4, 0, 1, 1, -1, 0, 0.498907, 0.883038
5, 33, 2, 6, 1, 1, 1, 1, 0.677322, 0.798621
5, 34, 6, 6, 1, 1, 1, 1, 0.576273, 0.512569
5, 35, 5, 0, 1, 1, -1, 0, 0.545551, 1.105805
5, 37, 1, 5, 0, 3, 1, -1, 0.626437, 1.018543
5, 38, 1, 1, 1, 1, -1, -1, 0.859155, 0.551291
5, 39, 3, 3, 1, 1, -1, -1, 0.673605, 0.803507
5, 40, 1, 0, 1, 1, -1, 0, 1.207474, 1.142349
5, 41, 1, 4, 0, 1, 1, -1, 0.570557, 1.024798
5, 42, 2, 0, 1, 1, 1, 0, 0.949360, 1.271463
5, 43, 6, 3, 1, 1, -1, -1, 0.879360, 1.036488
5, 44, 5, 0, 0, 1, 1, 0, 0.928771, 2.468661
5, 45, 4, 1, 1, -1, 1, -1, 0.715659, 1.300113
5, 46, 3, 4, 1, 1, 1, -1, 0.717367, 2.009933
5, 47, 1, 5, 1, 1, 1, 1, 0.658945, 0.676359
5, 48, 3, 6, 0, 1, 1, -1, 1.163579, 1.027195
5, 49, 2, 5, 1, 1, -1, -1, 0.672578, 0.890891
5, 50, 6, 0, 1, 1, -1, 0, 0.684012, 0.839131
