observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
15, 1, 2, 0, 1, -1, 1, 0, 1.451605, 6.042235
15, 3, 2, 1, 1, -1, -1, 1, 1.142303, 1.947303
15, 4, 6, 4, 1, 1, -1, 1, 1.397322, 1.257356
15, 7, 6, 0, 0, -1, -1, 0, 0.802517, 0.000000
15, 8, 4, 0, 1, 1, -1, 0, 1.211246, 2.678123
15, 9, 4, 5, 1, -1, -1, -1, 1.145056, 1.355312
15, 10, 5, 4, 1, 1, -1, -1, 1.135870, 1.166273
15, 11, 1, 0, 0, -1, -1, 0, 0.939129, 2.169465
15, 12, 6, 0, 1, 1, -1, 0, 0.746764, 0.570172
15, 13, 3, 0, 0, 3, -1, 0, 0.795299, 0.766922
15, 14, 2, 0, 1, 1, -1, 0, 0.589049, 0.987596
15, 15, 5, 2, 1, 1, -1, 1, 1.356213, 1.005052
15, 16, 2, 0, 1, 1, -1, 0, 0.796350, 1.332783
15, 17, 1, 4, 0, -1, -1, -1, 0.995549, 1.113473
15, 18, 6, 6, 0, 1, -1, 1, 0.727438, 1.399129
15, 19, 3, 0, 1, 1, 1, 0, 0.633830, 0.786113
15, 20, 5, 6, 0, -1, 1, 1, 1.093996, 1.077422
15, 21, 1, 1, 1, 1, -1, -1, 0.904483, 1.488850
15, 22, 4, 4, 1, 1, -1, 1, 0.867436, 0.667199
15, 23, 4, 3, 0, -1, 1, 1, 0.795368, 0.721769
15, 24, 4, 6, 0, 1, 1, 1, 0.463630, 0.484223
15, 25, 4, 0, 1, 1, 1, 0, 0.623485, 0.562238
15, 26, 2, 0, 1, 1, -1, 0, 0.562610, 0.570617
15, 27, 2, 0, 1, 1, 1, 0, 0.570020, 0.445014
15, 28, 2, 1, 1, 1, 1, 1, 0.616209, 0.932857
15, 29, 1, 1, 0, -1, 1, 1, 0.569685, 1.191483
15, 30, 6, 4, 1, -1, -1, -1, 1.012599, 0.683309
15, 31, 2, 0, 1, 1, 1, 0, 0.734701, 1.378157
15, 32, 3, 4, 1, 3, 1, -1, 1.224631, 0.000000
15, 33, 5, 0, 1, 1, -1, 0, 0.741170, 0.959144
15, 34, 4, 6, 1, 1, -1, 1, 0.820591, 0.479195
15, 35, 4, 2, 1, 1, 1, 1, 0.848524, 0.609834
15, 36, 4, 0, 1, 1, 1, 0, 0.609695, 0.405491
15, 37, 4, 0, 1, 1, -1, 0, 0.511358, 0.521334
15, 38, 1, 0, 1, 1, 1, 0, 0.561679, 0.674163
15, 39, 4, 0, 1, 1, 1, 0, 0.580732, 0.469047
15, 40, 1, 0, 1, 1, -1, 0, 0.536427, 0.423553
15, 41, 5, 6, 0, -1, -1, -1, 0.905030, 0.788297
15, 42, 6, 0, 1, 1, 1, 0, 0.697467, 0.822727
15, 43, 4, 3, 1, 1, -1, -1, 0.696118, 0.868931
15, 44, 3, 0, 1, 1, 1, 0, 1.190230, 1.339544
15, 45, 1, 0, 1, 1, 1, 0, 0.595795, 0.450523
15, 46, 6, 5, 1, 1, -1, 1, 0.732725, 1.077284
15, 47, 6, 5, 0, 1, -1, -1, 0.676212, 1.026318
15, 48, 3, 0, 0, 3, -1, 0, 0.732101, 0.000000
15, 49, 2, 1, 1, 1, 1, 1, 0.780981, 0.830860
15, 50, 2, 2, 1, 1, -1, 1, 0.997761, 1.314714
15, 51, 1, 4, 1, 1, 1, -1, 1.245207, 0.762176
15, 52, 2, 2, 1, 1, -1, 1, 0.751170, 0.800902
15, 53, 1, 0, 1, 1, 1, 0, 0.551294, 0.338946
15, 54, 2, 0, 1, 1, -1, 0, 0.514884, 0.357759
15, 55, 4, 1, 1, 1, 1, 1, 0.557978, 0.297387
15, 56, 3, 3, 1, 3, 1, -1, 0.595074, 0.409075
15, 57, 2, 2, 1, 1, 1, -1, 0.956952, 0.409896
15, 58, 4, 0, 1, 1, 1, 0, 0.822432, 0.343348
15, 59, 3, 1, 1, 3, -1, -1, 0.654398, 0.000000
15, 60, 2, 0, 1, 1, -1, 0, 0.609282, 0.952890
15, 61, 4, 0, 1, 1, -1, 0, 0.581566, 1.059667
15, 62, 5, 6, 1, 1, 1, 1, 0.850457, 0.416215
15, 63, 6, 4, 1, 1, 1, -1, 0.741970, 0.378410
15, 64, 5, 0, 1, 1, 1, 0, 0.681525, 0.570182
15, 65, 5, 0, 1, 3, -1, 0, 0.763751, 0.000000
15, 66, 2, 5, 1, -1, -1, 1, 0.689284, 1.001207
15, 67, 5, 0, 1, 1, -1, 0, 0.633648, 0.553412
15, 68, 6, 0, 0, 3, 1, 0, 0.780184, 1.785463
15, 69, 2, 0, 0, -1, 1, 0, 0.746772, 0.790647
15, 70, 3, 0, 1, 1, 1, 0, 0.556812, 0.709503
15, 71, 4, 6, 1, 1, -1, -1, 0.728031, 1.084048
15, 72, 1, 0, 1, 1, -1, 0, 0.560464, 0.567987
15, 73, 1, 0, 1, 1, -1, 0, 0.551543, 0.443871
