observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
5, 1, 2, 0, 1, 1, -1, 0, 1.152072, 7.924323
5, 2, 4, 0, 1, 1, 1, 0, 1.032781, 1.587758
5, 3, 5, 0, 1, 1, -1, 0, 1.291711, 1.540350
5, 5, 4, 3, 1, 1, 1, 1, 0.952400, 1.620993
5, 6, 4, 1, 0, 3, 1, -1, 0.596331, 0.391941
5, 7, 5, 0, 1, 1, 1, 0, 0.868422, 1.030826
5, 8, 2, 0, 1, 3, 1, 0, 0.753858, 2.437320
5, 9, 4, 1, 1, 1, -1, -1, 0.946536, 1.447482
5, 10, 2, 0, 1, 1, -1, 0, 0.906439, 0.965650
5, 11, 5, 4, 0, 3, 1, -1, 1.072840, 0.153497
5, 12, 1, 4, 1, 3, 1, -1, 1.026263, 0.924557
5, 13, 2, 0, 1, 1, 1, 0, 0.927530, 0.680676
5, 14, 6, 5, 1, 1, -1, -1, 1.394020, 0.762967
5, 15, 3, 0, 1, 1, 1, 0, 0.993475, 0.828946
5, 16, 3, 0, 1, 1, -1, 0, 1.072540, 0.714498
5, 17, 6, 4, 1, 1, -1, 1, 1.462909, 0.619591
5, 19, 3, 1, 1, 1, 1, 1, 0.681991, 0.604564
5, 20, 2, 4, 1, 1, 1, 1, 0.994171, 0.318332
5, 21, 1, 0, 1, 1, 1, 0, 1.079519, 0.324761
5, 22, 5, 0, 1, 1, 1, 0, 0.875361, 0.356943
5, 23, 2, 0, 1, 1, 1, 0, 0.755015, 0.606599
5, 24, 2, 1, 1, 1, -1, -1, 0.926339, 0.060696
5, 25, 6, 2, 1, 1, 1, 1, 0.955192, 0.325051
5, 26, 3, 0, 1, 1, 1, 0, 0.754849, 0.345322
5, 27, 3, 0, 1, 1, 1, 0, 0.906172, 0.132850
5, 28, 3, 1, 1, 1, -1, 1, 0.992489, 0.818525
5, 29, 5, 0, 1, 1, -1, 0, 0.846222, 0.774054
5, 30, 1, 0, 1, 1, 1, 0, 0.600406, 0.503325
5, 31, 6, 5, 1, 1, 1, 1, 0.892399, 0.332291
5, 32, 3, 0, 1, 1, 1, 0, 0.735413, 0.457554
5, 33, 3, 1, 1, -1, -1, 1, 0.872812, 1.568693
5, 34, 4, 4, 1, 1, -1, 1, 0.860210, 0.464165
5, 35, 1, 0, 1, 1, 1, 0, 0.767280, 0.574367
5, 36, 5, 5, 1, 1, -1, 1, 0.823049, 0.430258
5, 37, 5, 6, 1, 1, 1, -1, 0.827920, 1.814997
5, 38, 1, 0, 1, 1, -1, 0, 1.064120, 0.867749
5, 39, 6, 0, 1, -1, -1, 0, 0.754049, 1.339909
5, 40, 3, 0, 1, 1, 1, 0, 0.913962, 0.787421
