"observer","thought","captured","congC","distracter","medianRT","nTrials"
1,"captured","direct","congruent",1,0.794783,3
1,"captured","direct","incongruent",1,1.015025,1
1,"captured","fixated distracter","congruent",1,0.9350505,20
1,"captured","fixated distracter","incongruent",1,1.0061305,28
1,"captured","too long","congruent",1,1.1480605,2
1,"captured","too long","incongruent",1,0.8061805,2
1,"direct","direct","congruent",1,0.7858695,36
1,"direct","direct","incongruent",1,0.8021,32
1,"direct","fixated distracter","congruent",1,0.7860975,58
1,"direct","fixated distracter","incongruent",1,0.756592,59
1,"direct","none","congruent",1,0.749805,1
1,"direct","too long","congruent",1,0.8255725,20
1,"direct","too long","incongruent",1,0.883363,19
2,"captured","direct","congruent",1,0.590939,3
2,"captured","direct","incongruent",1,0.650947,5
2,"captured","fixated distracter","congruent",1,0.798951,20
2,"captured","fixated distracter","incongruent",1,1.030485,13
2,"captured","too long","congruent",1,0.739277,5
2,"captured","too long","incongruent",1,0.8267295,4
2,"direct","direct","congruent",1,0.653169,41
2,"direct","direct","incongruent",1,0.654257,42
2,"direct","fixated distracter","congruent",1,0.6938285,44
2,"direct","fixated distracter","incongruent",1,0.7718725,44
2,"direct","none","congruent",1,0.744773,1
2,"direct","none","incongruent",1,0.506293,1
2,"direct","too long","congruent",1,0.698952,22
2,"direct","too long","incongruent",1,0.784297,29
3,"captured","direct","congruent",1,0.7975435,10
3,"captured","direct","incongruent",1,0.807736,13
3,"captured","fixated distracter","congruent",1,0.961314,26
3,"captured","fixated distracter","incongruent",1,0.840974,22
3,"captured","too long","congruent",1,0.80768,10
3,"captured","too long","incongruent",1,1.067635,6
3,"direct","direct","congruent",1,0.6553125,36
3,"direct","direct","incongruent",1,0.694257,44
3,"direct","fixated distracter","congruent",1,0.779674,34
3,"direct","fixated distracter","incongruent",1,0.763167,37
3,"direct","none","congruent",1,0.477854,1
3,"direct","too long","congruent",1,0.653507,14
3,"direct","too long","incongruent",1,0.774494,10
4,"captured","direct","congruent",1,1.070765,1
4,"captured","direct","incongruent",1,1.002095,6
4,"captured","fixated distracter","congruent",1,1.217446,17
4,"captured","fixated distracter","incongruent",1,1.085339,25
4,"captured","too long","congruent",1,0.989907,9
4,"captured","too long","incongruent",1,0.877613,5
4,"direct","direct","congruent",1,0.999732,45
4,"direct","direct","incongruent",1,0.9599455,38
4,"direct","fixated distracter","congruent",1,1.031559,29
4,"direct","fixated distracter","incongruent",1,0.9360145,32
4,"direct","none","incongruent",1,0.799878,1
4,"direct","too long","congruent",1,0.9429475,38
4,"direct","too long","incongruent",1,1.056394,36
5,"captured","fixated distracter","congruent",1,0.9384095,2
5,"direct","direct","congruent",1,0.591929,20
5,"direct","direct","incongruent",1,0.62823,13
5,"direct","fixated distracter","congruent",1,0.6900905,80
5,"direct","fixated distracter","incongruent",1,0.785371,98
5,"direct","too long","congruent",1,0.5812055,38
5,"direct","too long","incongruent",1,0.643371,33
6,"captured","direct","congruent",1,0.838708,5
6,"captured","direct","incongruent",1,0.935466,3
6,"captured","fixated distracter","congruent",1,1.0007775,80
6,"captured","fixated distracter","incongruent",1,1.056569,77
6,"captured","too long","congruent",1,0.897262,11
6,"captured","too long","incongruent",1,0.9202185,4
6,"direct","direct","congruent",1,0.8701555,14
6,"direct","direct","incongruent",1,0.862803,27
6,"direct","fixated distracter","congruent",1,1.06042,15
6,"direct","fixated distracter","incongruent",1,0.9394905,14
6,"direct","too long","congruent",1,0.8871745,12
6,"direct","too long","incongruent",1,0.904202,11
7,"captured","direct","congruent",1,0.5026945,40
7,"captured","direct","incongruent",1,0.608697,40
7,"captured","fixated distracter","congruent",1,0.5998525,54
7,"captured","fixated distracter","incongruent",1,0.684676,68
7,"captured","none","congruent",1,0.438737,1
7,"captured","too long","congruent",1,0.687984,14
7,"captured","too long","incongruent",1,0.584396,9
7,"direct","direct","congruent",1,0.618814,3
7,"direct","direct","incongruent",1,0.587267,4
7,"direct","fixated distracter","congruent",1,0.762047,21
7,"direct","fixated distracter","incongruent",1,0.969257,9
7,"direct","too long","congruent",1,0.741522,5
7,"direct","too long","incongruent",1,0.664332,3
8,"captured","direct","congruent",1,0.5955985,16
8,"captured","direct","incongruent",1,0.6314345,12
8,"captured","fixated distracter","congruent",1,0.616626,90
8,"captured","fixated distracter","incongruent",1,0.6273505,90
8,"captured","too long","congruent",1,0.595239,6
8,"captured","too long","incongruent",1,0.6246665,8
8,"direct","direct","congruent",1,0.607993,15
8,"direct","direct","incongruent",1,0.5976045,18
8,"direct","fixated distracter","congruent",1,0.6215315,10
8,"direct","fixated distracter","incongruent",1,0.6081025,12
8,"direct","none","congruent",1,0.517296,1
8,"direct","too long","congruent",1,0.493753,1
8,"direct","too long","incongruent",1,0.628595,2
9,"captured","direct","congruent",1,0.832038,33
9,"captured","direct","incongruent",1,0.891208,36
9,"captured","fixated distracter","congruent",1,1.001984,40
9,"captured","fixated distracter","incongruent",1,0.984891,41
9,"captured","none","incongruent",1,0.87273,2
9,"captured","too long","congruent",1,0.971036,8
9,"captured","too long","incongruent",1,0.8840335,6
9,"direct","direct","congruent",1,0.919316,31
9,"direct","direct","incongruent",1,1.00369,25
9,"direct","fixated distracter","congruent",1,0.976137,17
9,"direct","fixated distracter","incongruent",1,0.973294,18
9,"direct","none","congruent",1,0.740024,3
9,"direct","none","incongruent",1,0.8168845,4
9,"direct","too long","congruent",1,1.022304,8
9,"direct","too long","incongruent",1,1.038894,8
