observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
6, 3, 1, 3, 0, 1, -1, -1, 1.493800, 3.285668
6, 5, 1, 2, 1, 1, -1, 1, 1.387355, 1.409262
6, 6, 5, 4, 1, 1, -1, 1, 0.902816, 1.198692
6, 7, 4, 5, 1, 1, -1, 1, 0.827350, 0.680358
6, 8, 4, 1, 1, 1, 1, -1, 1.338107, 0.835709
6, 9, 4, 0, 1, 1, 1, 0, 0.931750, 1.754671
6, 11, 5, 0, 1, 1, 1, 0, 0.777220, 1.406789
6, 12, 6, 0, 1, 1, -1, 0, 1.078552, 1.435768
6, 14, 2, 0, 1, 1, 1, 0, 0.590295, 1.216864
6, 15, 4, 5, 1, 1, -1, 1, 1.073533, 1.230909
6, 16, 3, 5, 0, -1, -1, -1, 1.433150, 2.553567
6, 17, 2, 5, 1, 3, -1, 1, 1.288774, 0.000000
6, 18, 4, 1, 1, -1, 1, 1, 1.349243, 1.518091
6, 19, 5, 1, 1, 1, -1, 1, 0.941536, 0.704555
6, 21, 1, 4, 0, -1, -1, 1, 0.771481, 1.754591
6, 22, 1, 0, 1, 1, 1, 0, 0.701716, 0.882413
6, 23, 4, 0, 1, 1, -1, 0, 0.792216, 0.734139
6, 24, 1, 0, 1, 1, -1, 0, 0.902506, 0.881558
6, 25, 5, 5, 0, -1, 1, -1, 0.803422, 1.242550
6, 26, 4, 3, 1, 1, -1, 1, 0.683273, 0.715893
6, 27, 2, 0, 1, 1, 1, 0, 0.858626, 0.890075
6, 28, 2, 4, 1, 1, 1, -1, 0.943460, 0.530761
6, 29, 6, 0, 1, 1, -1, 0, 0.911360, 0.882827
6, 30, 6, 0, 1, 1, -1, 0, 0.738507, 1.190063
6, 31, 2, 3, 1, -1, 1, 1, 1.035836, 0.780798
6, 32, 5, 1, 1, 1, -1, -1, 0.690003, 0.701306
6, 33, 2, 6, 1, -1, -1, 1, 1.160163, 0.875515
6, 34, 2, 5, 1, 1, -1, -1, 0.901167, 0.491621
6, 35, 1, 0, 1, 1, -1, 0, 0.675888, 0.473734
6, 36, 3, 0, 1, 1, -1, 0, 0.820311, 0.701017
6, 37, 3, 0, 1, 3, 1, 0, 0.810751, 0.000000
6, 38, 4, 1, 1, 1, -1, 1, 0.995738, 0.849572
6, 39, 6, 5, 1, -1, -1, -1, 0.911629, 0.819047
6, 40, 5, 0, 1, 1, -1, 0, 0.724716, 0.665048
6, 41, 2, 0, 1, 1, 1, 0, 0.763457, 0.777007
6, 42, 1, 6, 1, 1, -1, 1, 0.883243, 0.685518
6, 43, 6, 0, 1, 1, -1, 0, 0.976620, 0.398144
6, 44, 5, 0, 1, 3, -1, 0, 0.769842, 0.000000
6, 45, 4, 0, 1, 1, -1, 0, 0.742558, 0.568059
6, 46, 4, 0, 1, 1, -1, 0, 0.788555, 0.508553
6, 47, 4, 4, 1, 3, -1, 1, 0.996694, 0.000000
6, 48, 2, 0, 1, 1, 1, 0, 0.712423, 0.740928
6, 49, 2, 0, 1, 1, -1, 0, 0.785164, 0.455774
6, 50, 4, 6, 1, -1, 1, 1, 1.021152, 0.969585
6, 52, 6, 0, 1, 1, 1, 0, 0.707691, 0.776437
6, 53, 5, 6, 1, -1, -1, -1, 0.748821, 1.096636
6, 54, 6, 0, 1, 1, 1, 0, 0.791103, 0.556404
6, 55, 5, 0, 1, 1, -1, 0, 0.352579, 2.272525
6, 56, 1, 0, 1, 1, -1, 0, 0.724692, 1.023370
6, 57, 4, 6, 1, -1, 1, -1, 0.969174, 0.458690
6, 58, 4, 5, 1, -1, -1, -1, 0.692115, 1.697578
6, 59, 4, 2, 1, 1, 1, -1, 0.763956, 1.353102
6, 60, 1, 1, 1, -1, -1, 1, 0.818313, 0.982507
6, 61, 6, 0, 1, 1, -1, 0, 0.493713, 1.395939
6, 62, 1, 1, 1, -1, -1, -1, 0.985397, 1.997467
6, 63, 6, 5, 1, -1, 1, -1, 1.395361, 1.000866
6, 64, 1, 0, 1, 1, 1, 0, 0.498234, 1.296991
6, 65, 4, 2, 1, 1, -1, 1, 0.666531, 0.684509
6, 66, 5, 0, 1, 1, -1, 0, 0.751314, 0.410567
6, 67, 5, 0, 1, 1, 1, 0, 0.938745, 0.795047
6, 68, 5, 1, 0, -1, 1, -1, 0.638579, 0.996626
6, 69, 3, 3, 1, 1, 1, -1, 0.838293, 0.713418
6, 70, 2, 1, 0, -1, -1, 1, 0.982318, 0.682026
6, 71, 1, 0, 1, 1, -1, 0, 0.622190, 0.756269
6, 72, 3, 0, 1, 1, -1, 0, 0.597996, 1.101570
6, 73, 4, 4, 0, 3, 1, -1, 1.041429, 0.000000
6, 74, 5, 3, 1, -1, -1, 1, 0.926126, 0.762844
6, 75, 3, 0, 1, 1, 1, 0, 0.901171, 0.525921
6, 76, 3, 1, 1, -1, -1, 1, 1.084705, 0.894470
6, 77, 5, 0, 1, 1, -1, 0, 1.128749, 0.526134
6, 78, 1, 4, 1, 1, 1, -1, 0.900535, 0.490448
6, 79, 3, 0, 1, 1, 1, 0, 0.881454, 0.502735
6, 80, 5, 0, 1, 1, 1, 0, 0.852644, 0.568199
6, 82, 2, 0, 1, 1, -1, 0, 0.763212, 0.545664
6, 83, 6, 5, 1, 3, 1, 1, 1.060420, 0.000000
6, 84, 2, 0, 1, 1, -1, 0, 0.851172, 0.540766
6, 85, 4, 0, 1, 1, 1, 0, 0.896496, 0.484193
6, 86, 2, 0, 1, 1, 1, 0, 0.862290, 0.477934
6, 87, 2, 0, 1, 1, 1, 0, 0.731167, 0.344472
6, 88, 4, 0, 1, 1, -1, 0, 0.868762, 0.561351
6, 89, 3, 0, 1, 1, -1, 0, 0.932957, 0.372687
6, 90, 1, 0, 1, 1, -1, 0, 0.979884, 0.431237
6, 91, 5, 0, 1, 1, -1, 0, 0.863410, 0.396834
6, 92, 6, 3, 1, 1, -1, 1, 0.811694, 1.283078
6, 93, 1, 0, 1, 1, 1, 0, 0.907809, 0.520238
6, 94, 4, 0, 1, 1, -1, 0, 0.824062, 0.326271
6, 95, 3, 0, 1, 1, 1, 0, 0.890852, 0.484331
6, 96, 1, 1, 1, -1, -1, 1, 0.837151, 0.982244
6, 97, 6, 0, 1, 1, -1, 0, 0.810795, 0.432888
6, 98, 6, 2, 1, -1, -1, -1, 0.692706, 0.693944
6, 99, 2, 0, 1, 1, -1, 0, 0.611938, 0.647331
6, 100, 2, 1, 1, 1, -1, -1, 0.922355, 1.653208
6, 101, 2, 3, 1, -1, 1, 1, 1.048229, 1.488142
6, 102, 4, 3, 1, -1, 1, 1, 1.070139, 1.336582
6, 103, 4, 1, 1, -1, -1, -1, 0.885744, 0.557536
6, 104, 3, 5, 0, -1, -1, 1, 1.131929, 1.322637
6, 105, 6, 0, 1, 1, 1, 0, 1.067484, 0.585159
6, 106, 6, 0, 1, 1, -1, 0, 0.570180, 0.558570
6, 107, 6, 0, 1, 1, 1, 0, 0.844496, 0.502809
6, 108, 2, 5, 1, -1, -1, 1, 1.087883, 0.586039
6, 109, 5, 3, 0, -1, 1, 1, 1.031227, 0.615763
6, 110, 5, 0, 1, 1, 1, 0, 0.749636, 0.259779
6, 111, 1, 0, 1, 1, -1, 0, 0.804871, 0.291334
6, 112, 1, 0, 1, 1, -1, 0, 0.848982, 0.333479
6, 113, 6, 4, 1, -1, -1, 1, 1.136469, 0.495980
6, 114, 5, 2, 1, 1, -1, -1, 0.930593, 0.570323
