observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
8, 1, 4, 0, 1, 1, -1, 0, 1.214574, 1.998384
8, 3, 4, 0, 1, 1, 1, 0, 0.872326, 0.686189
8, 4, 6, 0, 1, 1, 1, 0, 0.766514, 1.059345
8, 5, 3, 3, 1, -1, -1, -1, 1.253838, 0.622067
8, 6, 2, 0, 0, -1, -1, 0, 0.738336, 1.023774
8, 7, 6, 0, 1, 1, -1, 0, 0.578247, 0.774189
8, 8, 1, 4, 0, -1, -1, 1, 0.633976, 1.011965
8, 9, 1, 3, 1, -1, 1, -1, 0.963446, 1.715486
8, 10, 3, 0, 1, 1, -1, 0, 0.578315, 0.424613
8, 11, 6, 0, 1, 1, -1, 0, 0.740742, 0.690499
8, 12, 6, 0, 1, 1, 1, 0, 0.640397, 0.644623
8, 13, 1, 0, 1, 1, 1, 0, 0.570070, 0.699398
8, 14, 5, 6, 1, -1, 1, -1, 1.096754, 0.859535
8, 15, 5, 1, 1, -1, 1, -1, 0.909589, 0.583294
8, 16, 3, 6, 1, 1, 1, -1, 0.824024, 0.900511
8, 17, 3, 0, 1, 1, 1, 0, 0.664601, 0.854567
8, 18, 5, 0, 1, 1, -1, 0, 0.537923, 0.483372
8, 19, 5, 0, 1, 1, 1, 0, 0.584969, 0.493301
8, 20, 4, 3, 1, 1, 1, -1, 0.848622, 0.977025
8, 21, 6, 0, 1, 1, 1, 0, 0.571788, 0.286302
8, 22, 2, 3, 1, -1, 1, -1, 0.699143, 0.633616
8, 23, 3, 1, 1, -1, 1, 1, 0.694417, 1.410069
8, 24, 2, 0, 1, 1, 1, 0, 0.574306, 0.409692
8, 25, 1, 1, 1, -1, 1, -1, 0.845572, 0.831497
8, 26, 1, 6, 1, -1, 1, -1, 0.700979, 5.038033
8, 27, 4, 1, 1, -1, 1, -1, 0.660294, 0.606183
8, 28, 4, 2, 1, -1, 1, 1, 0.694545, 3.226232
8, 29, 5, 5, 1, -1, -1, 1, 0.699537, 0.950209
8, 30, 4, 6, 1, 1, 1, 1, 0.695530, 6.042200
8, 31, 4, 5, 1, 1, 1, -1, 0.751054, 1.493217
8, 32, 4, 1, 1, -1, -1, -1, 0.668100, 1.430451
8, 34, 3, 2, 1, 1, 1, 1, 0.665529, 2.189174
8, 35, 2, 3, 1, 1, -1, -1, 0.700191, 1.193336
8, 36, 6, 0, 1, 1, -1, 0, 0.680658, 0.845366
8, 37, 2, 0, 1, 1, 1, 0, 0.529014, 0.711552
8, 38, 3, 2, 0, -1, -1, -1, 1.091350, 2.148553
8, 39, 5, 5, 1, -1, 1, 1, 0.740326, 0.455184
8, 40, 4, 0, 1, 1, -1, 0, 0.604329, 0.517541
8, 41, 2, 0, 1, 1, -1, 0, 0.561647, 0.382721
8, 42, 4, 0, 1, 1, -1, 0, 0.622391, 0.699477
8, 43, 4, 0, 1, 1, 1, 0, 0.644159, 0.638126
8, 44, 6, 0, 1, 1, -1, 0, 0.771674, 0.562344
8, 45, 5, 0, 1, 1, -1, 0, 0.660305, 0.461333
8, 46, 3, 0, 1, 1, -1, 0, 0.979025, 0.435543
8, 47, 2, 3, 1, -1, 1, 1, 0.829478, 0.561883
8, 48, 3, 4, 1, -1, 1, -1, 0.694580, 0.541083
8, 49, 6, 0, 1, 1, 1, 0, 0.746242, 0.507469
8, 50, 4, 0, 1, 1, 1, 0, 0.536131, 0.695617
8, 51, 6, 6, 1, 1, -1, 1, 0.715069, 2.192894
8, 52, 3, 0, 1, 1, 1, 0, 0.542563, 0.518876
8, 53, 2, 0, 1, 1, -1, 0, 0.529218, 0.410614
8, 54, 4, 0, 1, 1, -1, 0, 0.577994, 0.384805
8, 55, 2, 0, 1, 1, 1, 0, 0.511254, 0.437934
8, 56, 6, 5, 1, -1, 1, 1, 0.733062, 0.460737
8, 57, 3, 1, 1, -1, -1, 1, 0.607692, 1.857674
8, 58, 4, 3, 1, 1, -1, -1, 0.581967, 1.295513
8, 59, 1, 0, 1, 1, -1, 0, 0.588521, 0.653077
8, 60, 4, 0, 1, 1, -1, 0, 0.445949, 0.324775
8, 61, 5, 2, 1, -1, 1, 1, 0.789362, 2.010017
8, 62, 1, 5, 1, 1, 1, -1, 0.510706, 2.017214
8, 63, 2, 1, 1, 1, -1, -1, 0.724979, 6.754680
8, 64, 3, 0, 1, 1, -1, 0, 0.526549, 0.352772
8, 65, 1, 0, 1, 1, 1, 0, 0.531487, 0.596784
8, 66, 3, 0, 1, 1, 1, 0, 0.556109, 0.349952
8, 67, 1, 0, 1, 1, -1, 0, 0.562695, 0.272495
8, 68, 1, 0, 1, 1, -1, 0, 0.475885, 0.251124
8, 69, 2, 0, 1, 1, -1, 0, 0.475806, 0.264611
8, 70, 1, 6, 1, 1, -1, -1, 0.615268, 0.417788
8, 71, 2, 5, 1, 1, 1, 1, 0.517296, 1.580076
8, 72, 1, 6, 1, 1, 1, 1, 0.686381, 0.561033
8, 73, 3, 5, 1, -1, -1, -1, 0.846052, 0.317198
8, 74, 1, 0, 1, 1, -1, 0, 0.476121, 0.264193
8, 75, 3, 0, 1, 1, -1, 0, 0.963715, 0.309525
8, 76, 5, 0, 1, 1, 1, 0, 0.464969, 0.278388
8, 77, 2, 0, 1, 1, 1, 0, 0.423676, 0.292826
8, 78, 4, 0, 1, 1, -1, 0, 0.385459, 0.245920
8, 79, 2, 0, 1, 1, -1, 0, 0.430064, 0.233015
8, 80, 5, 2, 1, 1, -1, 1, 0.470892, 0.286188
8, 81, 6, 1, 1, 1, -1, -1, 0.575950, 0.341893
8, 82, 5, 2, 1, 1, -1, 1, 0.600739, 0.615065
8, 83, 4, 0, 1, 1, 1, 0, 0.555451, 0.302017
8, 84, 5, 0, 1, 1, 1, 0, 0.489741, 0.291315
8, 85, 5, 3, 0, 1, 1, -1, 0.437571, 5.532237
8, 86, 5, 0, 1, 1, -1, 0, 0.518333, 0.682004
8, 87, 5, 1, 1, 1, -1, 1, 0.498099, 0.595341
8, 88, 4, 0, 1, 1, 1, 0, 0.568841, 0.494163
8, 89, 5, 6, 1, 1, -1, -1, 0.681709, 0.599816
8, 90, 3, 1, 1, -1, 1, -1, 0.578641, 0.416241
8, 91, 4, 5, 1, -1, -1, -1, 0.562646, 3.553415
8, 92, 4, 2, 1, -1, 1, -1, 0.659662, 0.377311
8, 93, 3, 3, 1, -1, 1, -1, 0.577590, 2.041989
8, 94, 6, 0, 1, 1, -1, 0, 0.489550, 0.336982
8, 95, 2, 6, 1, -1, 1, -1, 0.689330, 1.648606
8, 96, 1, 0, 1, 1, 1, 0, 0.590581, 0.325099
8, 97, 1, 2, 1, -1, -1, 1, 0.657707, 0.563054
8, 98, 2, 1, 1, -1, -1, 1, 0.558100, 0.753865
8, 99, 1, 0, 1, 1, -1, 0, 0.617970, 0.337584
8, 100, 5, 0, 1, 1, 1, 0, 0.543542, 0.264105
8, 101, 5, 0, 1, 1, 1, 0, 0.442476, 0.297693
8, 102, 2, 0, 1, 1, 1, 0, 0.449851, 0.357443
8, 103, 6, 3, 1, -1, 1, 1, 0.656516, 0.272702
8, 104, 1, 5, 1, -1, -1, -1, 0.637018, 0.312417
8, 105, 4, 0, 1, 1, 1, 0, 0.506074, 0.271239
8, 106, 2, 2, 1, -1, 1, -1, 0.493567, 0.363418
8, 107, 5, 4, 0, 1, 1, 1, 0.575219, 3.241784
8, 108, 5, 0, 1, 1, 1, 0, 0.582672, 0.298082
8, 109, 3, 0, 1, 1, -1, 0, 0.568310, 0.316009
8, 110, 4, 5, 1, 1, 1, 1, 0.652840, 1.947666
8, 111, 1, 0, 1, 1, -1, 0, 0.482552, 0.356524
8, 112, 4, 2, 1, 1, -1, 1, 0.687479, 0.302382
8, 113, 6, 4, 1, -1, -1, -1, 0.617282, 0.245133
8, 114, 5, 0, 1, 1, -1, 0, 0.496282, 0.305007
8, 115, 1, 3, 1, 1, 1, -1, 0.501535, 1.151280
8, 116, 5, 0, 1, 1, -1, 0, 0.463356, 0.264218
8, 117, 6, 0, 1, 1, 1, 0, 0.644035, 0.564775
8, 118, 1, 4, 1, -1, -1, 1, 0.618416, 0.501060
8, 119, 2, 4, 1, -1, 1, -1, 0.740897, 1.229759
8, 120, 5, 0, 1, 1, 1, 0, 0.642484, 0.960349
8, 121, 4, 3, 1, -1, -1, 1, 0.653607, 1.061126
8, 122, 2, 2, 1, -1, 1, 1, 0.650803, 0.962532
8, 123, 6, 0, 1, 1, 1, 0, 0.581082, 1.410983
8, 124, 6, 0, 1, 1, -1, 0, 0.502399, 0.898867
8, 125, 6, 6, 1, 1, -1, -1, 0.591266, 0.798765
8, 126, 1, 4, 1, 1, 1, 1, 0.462151, 0.993892
8, 127, 3, 0, 1, 1, 1, 0, 0.693551, 0.786053
8, 128, 3, 2, 1, 1, -1, 1, 0.677647, 1.066283
8, 129, 2, 6, 1, 1, -1, -1, 0.629401, 0.482713
8, 130, 1, 0, 1, 1, 1, 0, 0.515225, 0.330555
8, 131, 5, 6, 1, -1, -1, 1, 0.694635, 1.231584
8, 132, 6, 0, 1, 1, 1, 0, 0.815130, 0.978726
8, 133, 3, 5, 1, -1, -1, 1, 0.770307, 0.298419
8, 134, 1, 1, 1, -1, 1, -1, 0.785119, 0.699569
8, 135, 6, 0, 1, 1, -1, 0, 0.503135, 0.323919
8, 136, 2, 5, 1, -1, 1, -1, 0.550628, 0.477468
8, 137, 6, 0, 1, 1, -1, 0, 0.524857, 0.391174
8, 138, 5, 4, 1, 1, -1, -1, 0.493753, 0.501647
8, 139, 5, 2, 1, 1, 1, -1, 0.594470, 1.102543
8, 140, 3, 5, 1, 1, -1, 1, 0.563292, 1.034398
8, 141, 1, 4, 1, 1, -1, -1, 0.575759, 0.376910
8, 142, 1, 4, 1, -1, -1, -1, 0.602724, 0.296964
8, 143, 1, 0, 1, 1, 1, 0, 0.476426, 0.375564
8, 144, 6, 0, 1, 1, -1, 0, 0.549515, 1.005827
8, 145, 6, 0, 1, 1, 1, 0, 0.630923, 0.782111
8, 146, 5, 0, 1, 1, 1, 0, 0.724318, 0.344115
8, 147, 4, 0, 1, 1, -1, 0, 0.469558, 0.252323
8, 148, 4, 0, 1, 1, 1, 0, 0.660484, 0.269986
8, 149, 2, 0, 1, 1, 1, 0, 0.496481, 0.226670
8, 150, 1, 0, 1, 1, 1, 0, 0.416797, 0.192506
8, 151, 6, 0, 1, 1, 1, 0, 0.603693, 0.172238
8, 152, 6, 0, 1, 1, 1, 0, 0.523963, 0.205771
8, 153, 2, 0, 1, 1, 1, 0, 0.429851, 0.178721
8, 154, 4, 0, 1, 1, 1, 0, 0.615363, 0.245166
8, 155, 2, 4, 1, -1, 1, 1, 0.505622, 0.349169
8, 156, 5, 5, 1, -1, -1, -1, 0.661862, 0.441594
8, 157, 1, 4, 1, -1, 1, -1, 0.606539, 0.489045
8, 158, 4, 0, 1, 1, -1, 0, 0.477312, 0.265919
8, 159, 5, 5, 1, -1, -1, -1, 0.765342, 0.599702
8, 160, 2, 0, 1, 1, 1, 0, 0.423343, 0.331100
8, 161, 5, 0, 1, 1, 1, 0, 0.536117, 0.291284
8, 162, 5, 0, 1, 1, 1, 0, 0.700011, 0.369320
8, 163, 1, 5, 1, 1, -1, 1, 0.731679, 0.739728
8, 164, 2, 6, 1, -1, -1, 1, 0.676725, 0.317513
8, 165, 2, 0, 1, 1, 1, 0, 0.498027, 0.345463
8, 166, 6, 4, 1, -1, -1, 1, 0.799500, 0.318350
8, 167, 3, 0, 1, 1, 1, 0, 0.488370, 0.369457
8, 168, 5, 5, 1, -1, 1, -1, 0.630148, 1.051983
8, 169, 1, 0, 1, 1, -1, 0, 0.490349, 0.283685
8, 170, 3, 4, 1, -1, -1, -1, 0.642201, 0.655449
8, 171, 1, 0, 1, 1, 1, 0, 0.522699, 0.311529
