observer,trial,x,y,dur,n
98,1,949.8,543.6,1222,1
98,1,955.7,789.9,646,2
98,2,947.5,546.8,1276,1
98,2,719.7,671.5,406,2
98,3,941.5,547.3,1220,1
98,3,1193.8,689.9,366,2
98,4,944.3,550.5,254,1
98,4,943.4,537.5,974,2
98,4,1194.8,692.5,340,3
98,4,1018.7,581.6,232,4
98,5,952.3,541.5,1226,1
98,5,836.7,787,302,2
98,5,722.1,422.7,494,3
98,6,944.6,534.1,1220,1
98,6,1197.7,662.9,766,2
98,7,943.4,554.3,1234,1
98,7,967.2,287.8,408,2
98,8,943.9,541.6,1232,1
98,8,1138.1,395.6,96,2
98,8,1175.7,422.1,508,3
98,9,954.5,540.4,532,1
98,9,944.4,537.4,660,2
98,10,940.6,549.6,1220,1
98,10,1207.1,547.8,54,2
98,10,723.5,427.2,788,3
98,11,946.4,541.8,1212,1
98,11,845.4,686.7,146,2
98,11,826.3,770.5,100,3
98,11,961.3,281.9,544,4
98,12,946.5,546.8,1228,1
98,12,718.4,449.6,510,2
98,13,942.5,549.7,1236,1
98,13,961.2,317,328,2
98,14,946.5,545.8,1276,1
98,14,1069.8,399.5,88,2
98,14,716.6,675.5,796,3
98,15,946.5,547.1,1254,1
98,15,719.6,680.4,674,2
98,16,947.1,550.2,1206,1
98,16,1190.8,667.6,800,2
98,17,951.8,557,226,1
98,17,943.1,544,976,2
98,17,728.5,437.8,640,3
98,17,979.2,481.8,162,4
98,18,942.2,543.3,1224,1
98,18,1128.3,711.7,156,2
98,18,1150.2,704.4,448,3
98,19,940.6,549.7,1220,1
98,19,705.4,422.8,166,2
98,19,720.3,430.1,364,3
98,20,945.2,547,1228,1
98,20,1168,440.5,346,2
98,20,1036.2,489.7,254,3
98,21,942.9,546.2,1228,1
98,21,966.6,322.1,440,2
98,22,949.9,545.3,1252,1
98,22,999.8,714.7,48,2
98,22,736,681.2,548,3
98,23,954.8,554.9,260,1
98,23,941,559.1,1052,2
98,23,1146.7,469.4,234,3
98,24,950.6,545.2,1202,1
98,24,966.2,796.1,958,2
98,25,957.2,546.4,52,1
98,25,947.9,541.3,358,2
98,25,942.8,543.1,794,3
98,25,735,405.9,240,4
98,25,725.8,421.2,220,5
98,26,955.6,553.3,516,1
98,26,944.2,547,696,2
98,26,965.5,313.9,456,3
98,27,944.4,541.5,1212,1
98,27,974.8,795.6,342,2
98,27,1021.9,480.4,218,3
98,28,944.3,541.9,1212,1
98,28,719.9,444.1,506,2
98,29,949.4,543.3,482,1
98,29,929.4,545.6,140,2
98,29,941.8,543.5,580,3
98,29,962.2,304.7,364,4
98,29,1040.3,515.3,248,5
98,30,943,538.5,1214,1
98,30,960.6,804.1,344,2
98,31,949,554.8,544,1
98,31,947.4,545.8,710,2
98,31,1196,422.6,408,3
98,32,948.7,542.2,1220,1
98,32,961.4,337.1,384,2
98,33,942.4,545.3,1216,1
98,33,958.6,290.8,324,2
98,34,944.3,540.5,1222,1
98,34,948.9,826.5,432,2
98,35,947.7,541.1,1200,1
98,35,815.8,758.6,190,2
98,35,716.6,422.7,596,3
98,36,949.7,537.3,1188,1
98,36,952,820.2,326,2
98,36,984.9,493.3,152,3
98,37,939.3,544.1,1196,1
98,37,1063.2,333.2,128,2
98,37,964.2,303.1,854,3
98,38,949.1,543.5,1234,1
98,38,726.9,646.2,204,2
98,38,715.7,673.9,720,3
98,39,947.4,548.1,1188,1
98,39,753.2,548.4,56,2
98,39,753.4,422.3,686,3
98,40,955.9,543.4,290,1
98,40,940.1,540.3,908,2
98,40,712.5,666.4,390,3
98,41,944.1,550.5,1224,1
98,41,734.4,660.1,532,2
98,42,947.5,550.4,1192,1
98,42,1182.5,445.4,508,2
98,43,945.1,548.7,1222,1
98,43,893.1,355.7,82,2
98,43,955.5,308.7,312,3
98,43,1040.5,569.9,262,4
98,44,957.7,553.2,1214,1
98,44,1071.5,743.1,64,2
98,44,736.2,412.4,424,3
98,45,951.4,548.1,1192,1
98,45,1190.3,682.9,790,2
98,46,954,553.6,1216,1
98,46,1210.8,550,156,2
98,46,1177.7,449.5,234,3
98,46,1060.6,504.8,534,4
98,47,956.5,546.2,1204,1
98,47,1171.2,420.3,362,2
98,48,954.1,540.5,1204,1
98,48,928,818,392,2
98,49,949.8,541,1218,1
98,49,1106,655.6,86,2
98,49,1169.8,679.5,460,3
98,50,945.8,548.1,1230,1
98,50,1026.4,343,100,2
98,50,949.7,309.1,564,3
98,51,955.4,546.5,1206,1
98,51,1180.7,445.5,394,2
98,52,952.4,545.9,1256,1
98,52,758,691.5,282,2
98,52,730,680.4,388,3
98,53,945.4,549.2,1222,1
98,53,1220.5,562.3,238,2
98,53,771.8,438.8,166,3
98,53,740.3,432.1,382,4
98,54,952.2,546,1208,1
98,54,1090.7,774.5,74,2
98,54,811.9,542.3,54,3
98,54,734,418.2,496,4
98,55,945.4,548.7,1212,1
98,55,968.9,805.7,350,2
98,56,958.1,546.7,254,1
98,56,942.4,548.1,966,2
98,56,743.5,423,256,3
98,56,726.6,437.9,334,4
98,57,944,550,1212,1
98,57,960.9,301.2,280,2
98,58,950.8,543.5,1222,1
98,58,1207.8,549.5,120,2
98,58,1172.8,440.5,630,3
98,59,949.4,552.8,1194,1
98,59,949.8,305.5,336,2
98,60,955.4,541.4,1244,1
98,60,744.4,553.5,96,2
98,60,745.4,439.3,256,3
98,61,948.1,550.3,1244,1
98,61,733.6,428.5,584,2
98,62,945.6,550.7,1200,1
98,62,952.8,843.3,378,2
98,63,948.8,539.7,1218,1
98,63,955.2,293.8,362,2
98,64,941,546.3,1224,1
98,64,1045.7,751.9,66,2
98,64,750.9,688.9,552,3
98,65,948.7,545.9,1220,1
98,65,954.4,821.9,376,2
98,66,949.9,547.5,1186,1
98,66,733.6,434.8,422,2
98,67,947.7,548.9,1198,1
98,67,1195.8,528.9,136,2
98,67,1165.9,435,560,3
98,68,952.8,544.4,430,1
98,68,939.3,546.3,776,2
98,68,908.8,760.8,112,3
