observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
5, 2, 4, 0, 1, 1, 1, 0, 1.255261, 5.374736
5, 3, 5, 0, 1, 1, -1, 0, 0.828220, 3.410462
5, 4, 1, 1, 1, 3, -1, -1, 0.911642, 2.405424
5, 5, 4, 3, 1, -1, 1, 1, 1.189377, 2.762693
5, 6, 4, 1, 1, -1, 1, -1, 0.458669, 1.264794
5, 7, 5, 0, 1, 1, 1, 0, 0.682166, 3.537499
5, 8, 2, 0, 1, 1, 1, 0, 0.889310, 2.068573
5, 10, 2, 0, 1, -1, -1, 0, 0.725365, 2.993683
5, 11, 5, 4, 1, -1, 1, -1, 0.708857, 2.027868
5, 12, 1, 4, 1, -1, 1, -1, 1.481453, 1.730373
5, 13, 2, 0, 1, 1, 1, 0, 0.681761, 3.266687
5, 14, 6, 5, 0, 3, -1, -1, 1.384731, 0.000000
5, 15, 3, 0, 1, 1, 1, 0, 0.677021, 2.584384
5, 16, 3, 0, 0, -1, -1, 0, 0.571523, 3.424270
5, 17, 6, 4, 1, -1, -1, 1, 1.158943, 1.962136
5, 18, 3, 5, 1, -1, 1, 1, 0.506202, 0.964553
5, 19, 3, 1, 0, 3, 1, 1, 0.518469, 0.000000
5, 20, 2, 4, 1, -1, 1, 1, 0.668872, 2.237747
5, 21, 1, 0, 0, -1, 1, 0, 1.170042, 2.029142
5, 22, 5, 0, 1, 1, 1, 0, 0.591281, 2.199906
5, 23, 2, 0, 1, 1, 1, 0, 0.557784, 1.293755
5, 24, 2, 1, 1, -1, -1, -1, 0.649125, 1.774180
5, 25, 6, 2, 1, -1, 1, 1, 0.584903, 2.301736
5, 26, 3, 0, 1, 1, 1, 0, 0.390721, 2.474587
5, 27, 3, 0, 1, -1, 1, 0, 0.364409, 2.124975
5, 28, 3, 1, 0, -1, -1, 1, 0.405203, 1.842453
5, 29, 5, 0, 1, -1, -1, 0, 0.763185, 1.338088
5, 30, 1, 0, 1, 1, 1, 0, 0.552053, 2.009512
5, 31, 6, 5, 1, -1, 1, 1, 0.770917, 2.427266
5, 32, 3, 0, 1, -1, 1, 0, 0.445203, 2.460166
5, 33, 3, 1, 0, 3, -1, 1, 0.780460, 0.000000
5, 35, 1, 0, 0, 3, 1, 0, 0.473050, 0.756884
5, 36, 5, 5, 0, -1, -1, 1, 0.505602, 1.735624
5, 37, 5, 6, 1, -1, 1, -1, 1.094235, 1.382433
5, 38, 1, 0, 1, 1, -1, 0, 0.529714, 1.625223
5, 39, 6, 0, 1, 1, -1, 0, 0.526567, 1.618501
5, 40, 3, 0, 1, 1, 1, 0, 0.459037, 1.968567
5, 41, 5, 2, 1, 1, 1, -1, 0.563639, 1.978397
5, 42, 1, 0, 1, 1, 1, 0, 0.578016, 1.235681
5, 43, 4, 0, 0, -1, -1, 0, 0.420425, 1.990693
5, 44, 5, 0, 1, -1, 1, 0, 0.511051, 1.688952
5, 45, 3, 5, 0, -1, -1, -1, 0.483308, 0.857864
5, 46, 1, 5, 1, -1, 1, 1, 0.706210, 1.142134
5, 47, 1, 0, 0, -1, 1, 0, 0.754035, 1.086263
5, 48, 6, 3, 0, -1, -1, -1, 0.650628, 1.818260
5, 49, 5, 0, 1, 1, -1, 0, 0.715518, 6.257523
5, 50, 4, 0, 1, 1, -1, 0, 0.800934, 2.575635
5, 51, 5, 0, 1, 1, -1, 0, 0.728876, 2.364579
5, 52, 6, 0, 1, 1, -1, 0, 0.764447, 2.237369
5, 53, 3, 0, 1, -1, -1, 0, 0.862643, 1.625610
5, 54, 5, 0, 1, 1, 1, 0, 0.578361, 1.851777
5, 55, 4, 0, 1, 1, 1, 0, 0.498094, 1.764737
5, 56, 3, 0, 1, 1, 1, 0, 0.580570, 1.752967
5, 57, 6, 0, 1, -1, 1, 0, 0.687841, 1.818539
5, 58, 1, 0, 1, 1, -1, 0, 0.469941, 5.811752
5, 59, 5, 0, 1, 1, 1, 0, 0.359451, 2.205378
5, 60, 3, 6, 1, -1, -1, -1, 0.902565, 1.587953
5, 61, 2, 0, 1, 1, -1, 0, 0.544767, 2.361232
5, 62, 3, 1, 1, -1, 1, 1, 0.643006, 1.394671
5, 63, 1, 2, 1, -1, 1, -1, 0.772971, 2.122150
5, 64, 2, 2, 1, -1, -1, 1, 0.567677, 3.252768
5, 65, 5, 1, 1, -1, 1, 1, 0.629291, 5.041745
5, 66, 1, 4, 0, -1, -1, 1, 0.576340, 1.011673
5, 67, 5, 0, 1, 1, -1, 0, 0.576534, 1.916623
5, 68, 1, 0, 1, 1, -1, 0, 0.692336, 2.807525
5, 69, 5, 0, 1, 1, 1, 0, 0.516281, 2.905672
5, 70, 2, 3, 1, -1, -1, 1, 0.754108, 2.798180
5, 71, 3, 2, 1, -1, -1, -1, 0.769336, 1.653157
5, 72, 4, 0, 1, 1, 1, 0, 0.473030, 1.618700
5, 73, 1, 3, 1, -1, 1, 1, 0.814789, 1.541225
5, 74, 6, 0, 1, 1, -1, 0, 0.519610, 1.353767
5, 75, 4, 0, 1, 1, 1, 0, 0.607656, 1.930085
5, 76, 4, 0, 1, 1, 1, 0, 0.365415, 1.439353
5, 77, 4, 0, 1, 1, 1, 0, 0.404202, 1.360549
5, 78, 6, 0, 1, 1, -1, 0, 0.577840, 1.418188
5, 79, 1, 4, 1, -1, -1, -1, 0.642516, 1.394584
5, 80, 3, 0, 1, 1, 1, 0, 0.491878, 1.635430
5, 81, 2, 0, 1, 1, -1, 0, 0.511637, 2.055621
5, 83, 2, 5, 1, -1, -1, -1, 0.852205, 2.771303
5, 84, 2, 6, 1, -1, 1, -1, 0.602813, 4.812995
5, 85, 2, 0, 1, 1, 1, 0, 0.522700, 1.652422
5, 86, 6, 0, 0, -1, 1, 0, 0.539058, 0.809610
5, 87, 2, 0, 1, -1, -1, 0, 0.529661, 0.973051
5, 88, 1, 1, 1, -1, 1, -1, 1.301695, 1.851325
5, 89, 3, 0, 1, 1, 1, 0, 0.457311, 1.881338
5, 90, 5, 5, 1, -1, 1, -1, 0.714723, 0.874871
5, 91, 6, 6, 1, -1, -1, 1, 1.154024, 1.407177
5, 92, 6, 6, 1, -1, 1, -1, 0.691695, 0.837108
5, 93, 6, 1, 1, -1, -1, 1, 0.774703, 0.537521
5, 94, 1, 4, 0, -1, -1, 1, 0.764383, 0.891418
5, 95, 5, 1, 0, 3, -1, -1, 0.903285, 0.552068
5, 96, 6, 0, 1, 1, -1, 0, 0.715882, 2.547869
5, 97, 4, 6, 1, -1, -1, 1, 1.203621, 1.102709
5, 98, 1, 0, 1, 1, -1, 0, 0.531642, 3.179572
5, 99, 1, 4, 1, -1, 1, 1, 0.725584, 2.158139
5, 100, 3, 0, 1, 1, 1, 0, 0.479275, 3.096287
5, 101, 6, 6, 1, -1, 1, 1, 1.137808, 1.511487
5, 102, 3, 1, 1, -1, 1, -1, 0.728283, 1.903646
5, 103, 6, 0, 1, 1, -1, 0, 0.522861, 1.427701
5, 104, 3, 2, 1, -1, -1, 1, 1.099521, 1.945259
5, 105, 4, 5, 1, -1, -1, -1, 0.844820, 1.145459
5, 106, 1, 6, 1, -1, -1, -1, 0.792648, 1.954137
5, 107, 6, 2, 1, -1, -1, 1, 1.392793, 2.418392
5, 108, 5, 2, 1, -1, 1, 1, 0.758045, 0.951079
5, 109, 1, 6, 1, -1, -1, -1, 0.603794, 0.645109
5, 110, 3, 0, 1, -1, -1, 0, 1.148226, 0.570419
5, 111, 5, 6, 1, -1, -1, 1, 1.092252, 1.000001
5, 113, 3, 2, 1, -1, 1, 1, 0.643410, 0.983640
5, 114, 6, 1, 1, -1, -1, -1, 0.788109, 2.677167
5, 115, 1, 0, 0, 1, 1, 0, 0.583255, 1.707313
5, 116, 4, 0, 1, 1, -1, 0, 0.690049, 1.380806
