observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
6, 1, 1, 4, 1, -1, 1, -1, 8.294814, 4.446305
6, 2, 3, 4, 1, 1, -1, -1, 3.779176, 1.793032
6, 3, 1, 3, 1, 1, -1, -1, 1.717728, 2.002837
6, 4, 5, 0, 1, 1, 1, 0, 1.544526, 1.448787
6, 5, 1, 2, 1, -1, -1, 1, 2.438281, 1.112171
6, 6, 5, 4, 1, -1, -1, 1, 1.339944, 1.499748
6, 7, 4, 5, 1, 1, -1, 1, 2.443671, 6.368528
6, 8, 4, 1, 1, 1, 1, -1, 1.613696, 0.780262
6, 9, 4, 0, 1, 1, 1, 0, 1.159596, 0.598611
6, 10, 1, 1, 1, 1, 1, -1, 1.583229, 0.531305
6, 11, 5, 0, 1, 1, 1, 0, 1.146037, 0.567003
6, 12, 6, 0, 1, 1, -1, 0, 1.175194, 0.001025
6, 13, 4, 2, 1, 1, 1, 1, 0.932975, 0.684951
6, 14, 2, 0, 1, 1, 1, 0, 0.964456, 0.686233
6, 15, 4, 5, 1, -1, -1, 1, 0.900686, 0.494583
6, 16, 3, 5, 0, -1, -1, -1, 0.546312, 1.788883
6, 17, 2, 5, 1, 1, -1, 1, 0.877500, 0.599432
6, 18, 4, 1, 1, 1, 1, 1, 0.636859, 0.487659
6, 19, 5, 1, 1, -1, -1, 1, 0.919773, 0.535753
6, 20, 6, 4, 1, -1, 1, -1, 1.515162, 0.346601
6, 21, 1, 4, 1, 1, -1, 1, 0.916858, 0.353237
6, 22, 1, 0, 1, 1, 1, 0, 0.751233, 0.559846
6, 23, 4, 0, 1, 1, -1, 0, 0.754987, 0.260241
6, 24, 1, 0, 1, -1, -1, 0, 1.111045, 0.001054
6, 25, 5, 5, 0, -1, 1, -1, 1.233987, 0.686056
6, 26, 4, 3, 1, 1, -1, 1, 0.897766, 0.371769
6, 27, 2, 0, 1, 1, 1, 0, 0.679354, 0.194935
6, 28, 2, 4, 1, 1, 1, -1, 0.920082, 0.001074
6, 29, 6, 0, 1, 1, -1, 0, 0.738465, 0.200318
6, 30, 6, 0, 1, 1, -1, 0, 0.725882, 0.127921
6, 31, 2, 3, 1, 1, 1, 1, 0.720382, 0.174353
6, 32, 5, 1, 1, 1, -1, -1, 0.795485, 0.412543
6, 33, 2, 6, 1, -1, -1, 1, 0.891141, 0.548536
6, 34, 2, 5, 1, 1, -1, -1, 0.760274, 0.400985
6, 35, 1, 0, 1, 1, -1, 0, 0.663882, 0.106999
6, 36, 3, 0, 1, 1, -1, 0, 0.699631, 0.106892
6, 37, 3, 0, 1, 1, 1, 0, 0.445413, 0.312559
6, 38, 4, 1, 1, 1, -1, 1, 0.970969, 0.167364
6, 39, 6, 5, 1, 1, -1, -1, 1.069359, 0.299784
6, 40, 5, 0, 1, 1, -1, 0, 0.692090, 0.213244
6, 41, 2, 0, 1, 1, 1, 0, 0.634390, 0.334207
6, 42, 1, 6, 1, 1, -1, 1, 0.953990, 0.267873
6, 43, 6, 0, 1, 1, -1, 0, 0.668617, 0.181000
6, 44, 5, 0, 1, 1, -1, 0, 0.787608, 0.453608
6, 45, 4, 0, 1, 1, -1, 0, 0.612591, 0.074191
6, 46, 4, 0, 1, 1, -1, 0, 0.685985, 0.074230
6, 47, 4, 4, 1, 1, -1, 1, 0.897975, 0.100034
6, 48, 2, 0, 0, -1, 1, 0, 0.419579, 0.596348
6, 49, 2, 0, 1, 1, -1, 0, 0.694852, 0.193878
6, 50, 4, 6, 1, 1, 1, 1, 0.652437, 0.281035
6, 51, 6, 4, 1, 1, 1, 1, 1.304677, 0.413128
6, 52, 6, 0, 1, 1, 1, 0, 0.667398, 0.534234
6, 53, 5, 6, 1, 1, -1, -1, 0.679846, 0.805729
6, 54, 6, 0, 1, 1, 1, 0, 0.659554, 0.146743
6, 55, 5, 0, 1, 1, -1, 0, 0.740713, 0.120920
6, 56, 1, 0, 1, 1, -1, 0, 0.573146, 0.100210
6, 57, 4, 6, 1, 1, 1, -1, 0.832299, 0.154030
6, 58, 4, 5, 1, 1, -1, -1, 0.680772, 0.380826
6, 59, 4, 2, 1, 1, 1, -1, 0.525389, 0.074108
6, 60, 1, 1, 1, -1, -1, 1, 1.031607, 0.717320
6, 61, 6, 0, 1, 1, -1, 0, 0.725848, 0.160460
6, 62, 1, 1, 1, -1, -1, -1, 0.631969, 0.267117
6, 63, 6, 5, 1, 1, 1, -1, 0.821887, 0.067987
6, 64, 1, 0, 1, 1, 1, 0, 0.660381, 0.167973
6, 65, 4, 2, 1, 1, -1, 1, 0.630866, 0.114395
6, 66, 5, 0, 1, 1, -1, 0, 0.792947, 0.133099
6, 67, 5, 0, 1, 1, 1, 0, 0.598748, 0.047296
6, 68, 5, 1, 1, 1, 1, -1, 0.611881, 0.040780
6, 69, 3, 3, 1, -1, 1, -1, 0.619791, 0.305441
