observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
3, 1, 1, 0, 1, 1, -1, 0, 2.154513, 3.345274
3, 2, 3, 0, 1, 1, 1, 0, 8.944528, 7.543562
3, 3, 3, 0, 1, 1, -1, 0, 1.488993, 1.683543
3, 4, 6, 4, 1, -1, 1, 1, 4.972621, 0.513668
3, 5, 5, 0, 1, 1, -1, 0, 1.337385, 2.338462
3, 6, 2, 5, 1, 1, -1, 1, 2.248951, 2.017935
3, 7, 2, 0, 1, 1, 1, 0, 1.081122, 2.014931
3, 8, 5, 3, 1, 1, 1, -1, 1.855991, 2.749951
3, 9, 1, 1, 1, 1, -1, -1, 1.968635, 2.030108
3, 10, 3, 0, 1, 1, -1, 0, 1.096179, 1.242793
3, 11, 1, 5, 1, 1, -1, 1, 1.799408, 2.152493
3, 12, 2, 0, 1, 1, 1, 0, 1.077300, 1.320537
3, 13, 6, 0, 1, 1, -1, 0, 0.987746, 1.286812
3, 14, 1, 5, 1, 1, 1, 1, 1.401643, 2.092955
3, 15, 1, 0, 1, 1, -1, 0, 1.081427, 1.450532
3, 16, 5, 0, 1, 1, 1, 0, 0.964060, 1.606365
3, 17, 6, 0, 1, 1, 1, 0, 0.978334, 1.102527
3, 18, 3, 0, 1, 1, -1, 0, 0.914225, 0.948486
3, 19, 4, 1, 1, 1, -1, -1, 2.384460, 2.137761
3, 20, 4, 1, 1, 1, 1, -1, 1.577787, 1.515053
3, 21, 1, 6, 1, 1, -1, -1, 1.360007, 1.443630
3, 22, 4, 4, 1, 1, 1, 1, 1.471054, 1.159657
3, 23, 4, 6, 1, 1, -1, 1, 2.142782, 1.197551
3, 24, 5, 3, 1, 1, 1, 1, 1.381447, 1.531709
3, 25, 1, 3, 1, 1, 1, 1, 1.823216, 1.143330
3, 26, 4, 2, 1, 1, 1, -1, 1.668281, 2.391800
3, 27, 1, 0, 1, 1, -1, 0, 0.974679, 1.035281
3, 28, 5, 4, 1, 1, -1, -1, 1.186146, 0.923701
3, 29, 5, 4, 1, 1, -1, 1, 1.279472, 1.160157
3, 30, 6, 3, 1, 1, -1, 1, 1.172518, 0.803390
3, 31, 6, 1, 1, 1, 1, 1, 1.419481, 1.554412
3, 32, 3, 2, 1, 1, -1, -1, 1.419282, 0.724090
3, 33, 5, 0, 1, 1, 1, 0, 0.955650, 1.393086
3, 34, 6, 2, 1, 1, -1, 1, 1.261508, 0.926238
3, 35, 2, 0, 1, 1, -1, 0, 0.817056, 1.061364
3, 36, 1, 0, 1, 1, -1, 0, 0.784406, 1.133221
3, 37, 5, 3, 1, 1, 1, -1, 1.515664, 1.404030
3, 38, 3, 0, 1, 1, 1, 0, 1.035889, 0.915186
3, 39, 5, 3, 1, -1, -1, 1, 1.927303, 2.756602
3, 40, 1, 0, 1, 1, -1, 0, 1.025694, 1.027796
3, 41, 1, 2, 1, 1, 1, 1, 1.650189, 0.998022
3, 42, 4, 1, 1, 1, -1, 1, 1.678847, 0.882289
3, 43, 5, 0, 1, 1, 1, 0, 1.056525, 0.923318
3, 44, 5, 6, 1, 1, 1, -1, 1.187844, 1.022582
3, 45, 5, 4, 1, 1, 1, -1, 1.140110, 0.857201
3, 46, 6, 5, 1, 1, -1, -1, 1.218849, 0.596562
3, 47, 6, 1, 1, 1, 1, -1, 1.144726, 0.830486
