observer,trial,x,y,dur,onset,offset,n
1,1,904.8,486.5,116,0,1085909,1
1,1,885.5,463.5,198,224,1086215,2
1,1,1102.6,381.1,214,462,1086469,3
1,1,892.9,296,192,718,1086703,4
1,1,742.2,454.4,352,946,1087091,5
1,1,1169,550.8,160,1350,1087303,6
1,1,1164.1,607.1,1222,1532,1088547,7
1,2,921.5,495.5,584,0,1098271,1
1,2,1106.8,584.2,238,620,1098545,2
1,2,1131.7,609.8,162,1068,1098917,3
1,2,1193.6,531.8,464,1252,1099403,4
1,2,1026.3,405.3,214,1754,1099655,5
1,2,1244.4,550.8,186,2004,1099877,6
1,3,929.9,501.9,228,0,1108349,1
1,3,947.9,390.6,270,252,1108643,2
1,3,996.6,563.2,244,556,1108921,3
1,3,943.1,532,472,814,1109407,4
1,3,929.3,288.7,168,1326,1109615,5
1,3,934.9,244.4,794,1508,1110423,6
1,3,898.3,570.3,226,2384,1110731,7
1,4,926.7,483.5,242,0,1117379,1
1,4,978.4,362.8,272,270,1117679,2
1,4,1000.4,466.8,124,568,1117829,3
1,4,1196.8,618.8,320,738,1118195,4
1,4,996.5,443.8,210,1102,1118449,5
1,4,1178.8,617.2,752,1344,1119233,6
1,5,912.4,498.4,344,0,1129447,1
1,5,933.1,505.2,930,354,1130387,2
1,5,939.4,754.1,712,1322,1131137,3
1,6,933.6,507.2,502,0,1138109,1
1,6,999.8,668.7,226,540,1138373,2
1,6,1064,551.8,436,804,1138847,3
1,6,1088.1,723.4,148,1272,1139027,4
1,6,683.7,637.7,344,1476,1139427,5
1,7,922.7,496.8,708,0,1145231,1
1,7,1090.6,605.6,196,746,1145465,2
1,7,917.3,522.7,334,976,1145833,3
1,7,679.7,512,104,1356,1145983,4
1,7,1186.7,640.9,580,1528,1146631,5
1,8,933.8,510.2,250,0,1153109,1
1,8,1151.9,593.7,272,288,1153419,2
1,8,921.8,547.9,208,600,1153667,3
1,8,932.6,514.5,506,822,1154187,4
1,8,739.1,427.7,136,1368,1154363,5
1,8,686.5,389.5,334,1520,1154713,6
1,9,934.1,502.3,986,0,1163011,1
1,9,1081.2,590.6,324,1020,1163369,2
