observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
18, 1, 4, 6, 1, -1, 1, -1, 6.528066, 3.318861
18, 2, 2, 0, 1, 1, 1, 0, 1.715747, 2.207159
18, 3, 5, 0, 1, 1, 1, 0, 2.643444, 1.865787
18, 4, 6, 4, 1, 1, 1, 1, 2.259939, 1.609377
18, 5, 2, 2, 0, -1, -1, -1, 2.001810, 6.515350
18, 6, 5, 2, 1, 1, 1, 1, 1.823284, 2.244632
18, 7, 4, 2, 1, 1, -1, 1, 2.529089, 1.451005
18, 8, 2, 0, 1, 1, -1, 0, 1.935807, 1.530429
18, 9, 4, 0, 1, 1, 1, 0, 2.295674, 1.708232
18, 10, 2, 0, 1, 1, -1, 0, 1.477979, 0.721275
18, 11, 4, 3, 1, 1, 1, 1, 3.314063, 1.271098
18, 12, 6, 5, 1, -1, 1, -1, 2.698396, 1.721704
18, 13, 2, 3, 1, 1, -1, -1, 2.149730, 2.397129
18, 14, 5, 0, 1, 1, 1, 0, 1.972610, 1.365232
18, 15, 4, 4, 1, 1, 1, -1, 1.645337, 1.197078
18, 16, 5, 0, 1, 1, -1, 0, 1.610879, 1.122748
18, 17, 2, 1, 1, -1, -1, -1, 2.688067, 1.205177
18, 18, 3, 3, 1, 1, -1, -1, 3.023323, 1.358234
18, 19, 1, 0, 1, 1, -1, 0, 1.965836, 1.143436
18, 20, 2, 0, 1, 1, 1, 0, 1.458996, 1.040157
18, 21, 1, 0, 1, 1, -1, 0, 1.646253, 0.809769
18, 22, 3, 6, 1, 1, 1, 1, 3.145229, 1.441327
18, 23, 1, 4, 1, 1, 1, 1, 2.348087, 1.144499
18, 24, 2, 3, 1, 1, 1, -1, 3.284520, 2.776792
18, 25, 3, 4, 1, 1, -1, -1, 2.346052, 2.481271
18, 26, 1, 1, 1, -1, -1, -1, 1.981056, 1.559499
18, 27, 4, 4, 1, 1, 1, 1, 2.161365, 1.311903
18, 28, 5, 6, 1, 1, 1, 1, 2.242942, 0.990542
