observer,trial,x,y,dur,onset,n
1,1,961,559.5,1319,0,1
1,1,1124.2,620.1,351,388,2
1,2,954.2,553.6,1401,0,1
1,2,948.3,339.7,337,372,2
1,2,954,296.7,772,1160,3
1,3,967.2,543.3,2377,0,1
1,4,962.1,543.1,247,0,1
1,4,959,453.6,395,418,2
1,4,966.7,332.6,565,1007,3
1,4,1162.7,706.9,599,1653,4
1,5,970.5,549.1,1275,0,1
1,5,1000.8,854.2,807,856,2
1,6,969.8,545.8,1285,0,1
1,6,1061.5,713.2,107,140,2
1,6,752.5,675.6,93,283,3
1,7,952.1,551,1233,0,1
1,7,702.9,548.4,164,201,2
1,7,1187.1,674.3,425,684,3
1,8,956.6,554.7,1246,0,1
1,8,772.1,480,141,175,2
1,8,721.1,426.1,379,576,3
1,9,956.2,545.2,1219,0,1
1,9,1184.1,697.3,538,575,2
1,10,977.7,567.2,475,0,1
1,10,950,532.1,726,743,2
1,10,689.5,547.4,137,915,3
1,10,723.1,692.6,411,1356,4
1,11,967.9,553.3,1221,0,1
1,11,1223.5,574.8,115,150,2
1,11,944.5,314.7,319,527,3
1,11,952.4,288.2,112,653,4
1,12,963.9,546.2,1231,0,1
1,12,738.1,633,450,487,2
1,13,955.4,537.5,390,0,1
1,13,977,693.3,23,50,2
1,13,950.4,549.5,758,847,3
1,13,1178,688.7,409,1295,4
1,14,948.5,560.6,1988,0,1
1,15,948.4,554.6,1221,0,1
1,15,1197.9,564.2,107,142,2
1,15,925.6,304.2,403,588,3
1,15,936.6,291,274,872,4
1,16,939.1,549,1193,0,1
1,16,719.8,432.6,1193,1230,2
1,17,950.6,544.6,244,0,1
1,17,942.6,565.8,819,1009,2
1,17,974.3,836.4,465,1511,3
1,17,966.4,865.3,814,2335,4
1,18,955.1,575.9,1273,0,1
1,18,839.2,748.6,109,139,2
1,18,1171.4,418.3,853,1039,3
1,19,947.9,564.9,563,0,1
1,19,933.7,550.2,666,674,2
1,19,963.9,839.4,189,900,3
1,19,973.5,891.2,1202,2119,4
1,20,937.5,556.4,1220,0,1
1,20,719.4,647.4,531,564,2
1,21,947.1,554.1,1215,0,1
1,21,732.7,650.9,516,549,2
1,22,947.5,558.9,1244,0,1
1,22,1162.1,677.2,376,413,2
1,23,944.6,571.3,1217,0,1
1,23,809.2,407.4,260,293,2
1,23,705.1,419.4,1020,1336,3
1,24,936.3,570.5,1310,0,1
1,24,731.4,666.7,254,292,2
1,24,701.5,694,183,490,3
1,25,939.4,574.1,1190,0,1
1,25,693.2,696.9,576,615,2
1,26,939.8,562.7,1227,0,1
1,26,1106.9,694,172,198,2
1,26,1189.5,696.2,354,573,3
1,27,931.2,548.4,1230,0,1
1,27,755,435.5,207,241,2
1,27,699.2,429,462,719,3
1,28,932.7,550.9,1418,0,1
