observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
5, 2, 4, 0, 0, -1, 1, 0, 0.545924, 8.288917
5, 3, 5, 0, 1, 1, -1, 0, 0.924009, 1.734780
5, 5, 4, 3, 1, -1, 1, 1, 0.745009, 1.233802
5, 7, 5, 0, 1, 1, 1, 0, 0.580178, 2.809044
5, 8, 2, 0, 1, 1, 1, 0, 0.495047, 0.856354
5, 10, 2, 0, 1, 1, -1, 0, 1.012864, 1.589312
5, 11, 5, 4, 1, 1, 1, -1, 1.221465, 0.833404
5, 12, 1, 4, 1, 1, 1, -1, 0.680203, 0.870986
5, 13, 2, 0, 1, 1, 1, 0, 0.582659, 0.743525
5, 14, 6, 5, 1, 1, -1, -1, 0.931497, 0.625799
5, 15, 3, 0, 1, 1, 1, 0, 0.771696, 0.825834
5, 16, 3, 0, 1, 1, -1, 0, 0.672716, 1.129943
5, 17, 6, 4, 1, 1, -1, 1, 1.060639, 0.633265
5, 19, 3, 1, 1, 1, 1, 1, 1.015593, 0.950137
5, 20, 2, 4, 1, 3, 1, 1, 0.670995, 0.000000
5, 21, 1, 0, 0, 1, 1, 0, 0.154660, 0.835964
5, 22, 5, 0, 1, 1, 1, 0, 0.608689, 0.665267
5, 23, 2, 0, 1, 1, 1, 0, 0.453062, 0.506304
5, 24, 2, 1, 1, 1, -1, -1, 0.494264, 0.430711
5, 26, 3, 0, 1, 1, 1, 0, 0.533977, 0.759144
5, 27, 3, 0, 1, 1, 1, 0, 0.506859, 0.565013
5, 28, 3, 1, 1, 1, -1, 1, 0.879742, 0.538212
5, 29, 5, 0, 1, 1, -1, 0, 0.660108, 0.418560
5, 30, 1, 0, 1, 1, 1, 0, 0.573080, 0.773136
5, 31, 6, 5, 1, 1, 1, 1, 0.756569, 0.600239
5, 32, 3, 0, 1, 1, 1, 0, 0.505123, 0.431667
5, 33, 3, 1, 1, 1, -1, 1, 1.161461, 0.551996
5, 34, 4, 4, 1, 1, -1, 1, 0.786189, 0.472956
5, 35, 1, 0, 1, 1, 1, 0, 0.519389, 0.466517
5, 36, 5, 5, 1, 1, -1, 1, 0.790389, 0.513957
5, 37, 5, 6, 1, 1, 1, -1, 0.769027, 0.529663
5, 38, 1, 0, 1, 1, -1, 0, 0.613444, 0.440031
5, 39, 6, 0, 1, 1, -1, 0, 0.767109, 0.518757
5, 40, 3, 0, 1, 1, 1, 0, 0.737932, 0.477455
5, 41, 5, 2, 1, 1, 1, -1, 1.085192, 0.636985
5, 42, 1, 0, 1, 1, 1, 0, 0.640160, 0.590350
5, 43, 4, 0, 1, 1, -1, 0, 0.551883, 0.530645
5, 44, 5, 0, 1, 1, 1, 0, 0.729671, 0.661628
5, 45, 3, 5, 1, 1, -1, -1, 0.697045, 0.701068
5, 46, 1, 5, 1, 1, 1, 1, 0.725446, 0.628088
5, 47, 1, 0, 1, 1, 1, 0, 0.696537, 0.501646
5, 48, 6, 3, 1, 1, -1, -1, 0.759136, 0.470130
5, 49, 5, 0, 1, 1, -1, 0, 0.659333, 0.505761
5, 50, 4, 0, 1, 1, -1, 0, 0.661347, 0.668279
5, 51, 5, 0, 1, 1, -1, 0, 0.715395, 0.744349
5, 52, 6, 0, 1, 1, -1, 0, 0.619439, 0.869226
5, 53, 3, 0, 1, 1, -1, 0, 0.640748, 0.765563
5, 54, 5, 0, 1, 1, 1, 0, 0.653553, 0.755573
5, 55, 4, 0, 1, 1, 1, 0, 0.667400, 0.648960
5, 56, 3, 0, 1, 1, 1, 0, 0.658107, 0.937932
5, 57, 6, 0, 1, 1, 1, 0, 0.581400, 0.972392
5, 58, 1, 0, 1, 1, -1, 0, 0.714036, 0.659931
5, 59, 5, 0, 1, 1, 1, 0, 0.632369, 0.666198
5, 60, 3, 6, 1, 1, -1, -1, 0.854352, 1.094094
5, 61, 2, 0, 1, 1, -1, 0, 0.772491, 0.598722
