observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
98, 1, 6, 5, 1, 1, -1, -1, 0.708722, 0.511557
98, 2, 5, 0, 1, 1, 1, 0, 0.662552, 0.212832
98, 3, 1, 0, 1, 1, -1, 0, 0.664386, 0.059718
98, 4, 1, 0, 1, 1, -1, 0, 0.664807, 0.040952
98, 5, 4, 2, 1, -1, -1, 1, 1.181703, 0.477921
98, 6, 1, 5, 1, 1, -1, 1, 0.858070, 1.778840
98, 7, 3, 0, 1, 1, 1, 0, 0.759060, 0.093764
98, 8, 2, 1, 1, 1, 1, 1, 0.809536, 0.152571
98, 9, 5, 0, 1, 1, -1, 0, 0.637768, 0.054135
98, 10, 4, 4, 1, 1, 1, 1, 1.068474, 0.372124
98, 11, 3, 3, 1, -1, -1, -1, 1.148921, 0.253731
98, 12, 4, 0, 1, 1, -1, 0, 0.897038, 0.040701
98, 13, 3, 0, 1, 1, -1, 0, 0.749862, 0.054055
98, 14, 5, 4, 1, 1, 1, 1, 1.014336, 0.106989
98, 15, 5, 0, 1, 3, 1, 0, 0.765335, 0.080625
98, 16, 1, 1, 1, 1, -1, 1, 0.842198, 0.652090
98, 17, 4, 0, 1, 1, 1, 0, 0.876602, 0.047600
98, 18, 1, 1, 1, 1, -1, -1, 0.858156, 0.093951
98, 19, 4, 0, 1, 1, -1, 0, 0.724269, 0.074321
98, 20, 2, 0, 1, 1, -1, 0, 0.698343, 0.034017
98, 21, 3, 0, 1, 1, 1, 0, 0.751361, 0.047526
98, 22, 5, 2, 1, 1, 1, 1, 0.796534, 0.359400
98, 23, 2, 0, 1, 1, -1, 0, 0.650940, 0.020870
98, 24, 6, 0, 1, 1, 1, 0, 1.202579, 0.180741
98, 25, 4, 2, 1, 1, 1, -1, 0.705192, 0.047355
98, 26, 3, 3, 1, 1, -1, 1, 0.671152, 0.054313
98, 27, 6, 3, 1, 1, -1, -1, 0.664213, 0.054192
98, 28, 4, 4, 1, 1, -1, 1, 0.689744, 0.073270
98, 29, 3, 0, 1, 1, 1, 0, 0.679015, 0.054156
98, 30, 6, 0, 1, 1, -1, 0, 0.610797, 0.073885
98, 31, 2, 3, 1, 1, -1, -1, 0.750256, 0.020866
98, 32, 3, 2, 1, 1, -1, -1, 0.611477, 0.033611
98, 33, 3, 0, 1, 1, -1, 0, 0.623892, 0.020852
98, 34, 6, 3, 1, 1, -1, -1, 0.638386, 0.054165
98, 35, 4, 2, 1, -1, -1, 1, 1.075068, 0.519323
98, 36, 6, 0, 1, 1, -1, 0, 0.671474, 0.007552
98, 37, 3, 6, 1, -1, -1, -1, 1.130436, 1.484759
98, 38, 5, 4, 1, 1, -1, 1, 0.991604, 1.196345
98, 39, 4, 2, 1, 1, 1, 1, 0.844365, 0.318136
98, 40, 5, 0, 1, 1, -1, 0, 0.577273, 0.027798
98, 41, 5, 5, 1, 1, -1, 1, 0.618368, 0.146956
98, 42, 2, 0, 1, 1, 1, 0, 0.709503, 0.074337
98, 43, 3, 1, 1, 1, 1, -1, 0.744976, 0.073963
98, 44, 4, 3, 1, 1, 1, 1, 0.691519, 0.026993
98, 45, 1, 1, 1, 1, 1, -1, 0.845879, 0.811392
98, 46, 2, 6, 1, -1, 1, 1, 1.201056, 0.504607
98, 47, 2, 0, 1, 1, 1, 0, 0.637953, 0.174260
98, 48, 6, 0, 1, 1, 1, 0, 0.662960, 0.027465
98, 49, 1, 4, 1, 1, 1, 1, 0.691014, 0.073612
98, 50, 3, 6, 1, 1, 1, -1, 0.776599, 0.279614
98, 51, 2, 0, 1, 1, -1, 0, 0.683079, 0.046566
98, 52, 5, 5, 1, 1, 1, 1, 0.883708, 0.211834
98, 53, 4, 4, 1, -1, -1, 1, 1.095978, 1.395959
98, 54, 4, 3, 0, -1, 1, -1, 0.843359, 1.335412
98, 55, 6, 0, 1, 1, 1, 0, 0.665229, 0.047278
98, 56, 4, 2, 1, 1, -1, -1, 0.863309, 0.725010
98, 57, 3, 0, 1, 1, -1, 0, 0.636089, 0.047541
98, 58, 2, 6, 1, -1, 1, -1, 0.863530, 0.233501
98, 59, 3, 0, 1, 1, 1, 0, 0.612190, 0.060770
98, 60, 4, 1, 1, 1, 1, -1, 0.648576, 0.512374
98, 61, 4, 3, 1, 1, -1, -1, 0.826463, 0.200013
98, 62, 6, 0, 1, 1, -1, 0, 0.657314, 0.027041
98, 63, 3, 0, 1, 1, 1, 0, 0.697429, 0.054059
98, 64, 5, 2, 1, 1, -1, 1, 0.742112, 0.080236
98, 65, 6, 0, 1, 1, 1, 0, 0.705949, 0.087633
98, 66, 4, 0, 1, 1, 1, 0, 0.650278, 0.197729
98, 67, 2, 6, 1, -1, 1, -1, 0.764843, 0.140715
98, 68, 6, 6, 1, 1, 1, -1, 1.116855, 2.019346
98, 69, 3, 0, 1, 1, -1, 0, 0.683750, 0.365650
98, 70, 1, 0, 1, 1, 1, 0, 0.672157, 0.220776
98, 71, 4, 4, 1, 1, 1, -1, 0.665488, 0.067381
98, 72, 6, 0, 1, 1, 1, 0, 0.658721, 0.093909
98, 73, 4, 6, 1, 1, -1, -1, 0.729846, 0.093920
98, 74, 6, 6, 1, 1, -1, -1, 0.763365, 0.139656
98, 75, 3, 0, 1, 1, 1, 0, 0.625485, 0.113902
98, 76, 2, 0, 1, 1, -1, 0, 0.864076, 0.054141
98, 77, 3, 0, 1, 1, -1, 0, 0.684096, 0.080079
98, 78, 3, 0, 1, 1, 1, 0, 0.626509, 0.086784
98, 79, 3, 5, 1, -1, -1, 1, 0.786264, 0.126797
98, 80, 2, 0, 1, 1, 1, 0, 0.706003, 0.100519
98, 81, 5, 0, 1, 1, -1, 0, 0.584881, 0.060608
98, 82, 1, 0, 1, 1, -1, 0, 0.592317, 0.067514
98, 83, 6, 0, 1, 1, -1, 0, 0.624474, 0.054143
98, 84, 5, 1, 1, 1, -1, 1, 0.649639, 0.054445
98, 85, 6, 0, 1, 1, 1, 0, 0.671333, 0.067489
98, 86, 4, 3, 1, 1, -1, -1, 0.658794, 0.054111
98, 87, 2, 0, 1, 1, -1, 0, 0.611267, 0.067398
98, 88, 1, 2, 1, -1, -1, 1, 1.041725, 0.570246
98, 89, 3, 0, 1, 1, 1, 0, 0.732822, 0.087762
98, 90, 6, 0, 1, 1, -1, 0, 0.596513, 0.484893
98, 91, 3, 6, 1, 1, -1, 1, 0.731107, 0.093235
98, 92, 5, 0, 1, 1, 1, 0, 0.657512, 0.100700
98, 93, 6, 5, 1, 1, 1, -1, 0.765137, 0.073952
98, 94, 4, 6, 1, 1, 1, -1, 0.665170, 0.147079
98, 95, 3, 0, 1, 1, -1, 0, 0.665001, 0.047443
98, 96, 4, 0, 1, 1, 1, 0, 0.558751, 0.067863
98, 97, 1, 0, 1, 1, 1, 0, 0.625691, 0.061019
98, 98, 4, 6, 1, 1, 1, 1, 0.585481, 0.100080
98, 99, 4, 5, 1, 1, 1, -1, 0.718115, 0.086904
98, 100, 4, 0, 1, 1, 1, 0, 0.641915, 0.087417
98, 101, 1, 0, 1, 1, -1, 0, 0.618658, 0.067411
98, 102, 1, 4, 1, 1, -1, -1, 0.683616, 0.080625
98, 103, 1, 0, 1, 1, -1, 0, 0.590881, 0.040965
98, 104, 5, 0, 1, 1, 1, 0, 0.578375, 0.073721
98, 105, 3, 5, 1, -1, 1, 1, 1.380522, 0.266913
98, 106, 4, 5, 1, 1, 1, 1, 0.877403, 0.267499
98, 107, 3, 0, 1, 1, 1, 0, 0.611620, 0.047563
98, 108, 1, 4, 1, -1, -1, 1, 0.969401, 0.160097
98, 109, 5, 4, 1, 1, 1, 1, 1.048196, 0.451878
98, 110, 6, 0, 1, 1, 1, 0, 0.584837, 0.040418
98, 111, 3, 0, 1, 1, -1, 0, 0.619507, 0.054064
98, 112, 4, 0, 1, 1, 1, 0, 0.571857, 0.087479
98, 113, 5, 0, 1, 1, -1, 0, 0.670482, 0.106913
98, 114, 3, 0, 1, 1, 1, 0, 0.579415, 0.080176
98, 115, 3, 4, 1, -1, -1, -1, 1.023798, 0.140630
98, 116, 6, 0, 1, 1, -1, 0, 1.157066, 0.139556
98, 117, 4, 1, 1, -1, -1, 1, 0.870789, 0.213914
98, 118, 5, 0, 1, 1, -1, 0, 0.703918, 0.053339
98, 119, 6, 3, 1, 1, 1, 1, 0.843703, 0.067332
98, 120, 5, 0, 1, 1, 1, 0, 0.612231, 0.054133
98, 121, 6, 0, 1, 1, 1, 0, 0.578336, 0.114249
98, 122, 4, 0, 1, 1, -1, 0, 0.597453, 0.093961
98, 123, 1, 6, 1, 1, 1, -1, 0.772475, 0.100847
98, 124, 3, 4, 1, 1, -1, 1, 1.055755, 0.166330
98, 125, 6, 0, 1, 1, -1, 0, 0.638896, 0.060959
98, 126, 3, 1, 1, 1, -1, -1, 0.675250, 0.020853
98, 127, 2, 4, 1, 1, 1, -1, 0.706732, 0.093412
98, 128, 5, 0, 1, 1, 1, 0, 0.584202, 0.080985
98, 129, 3, 6, 1, -1, 1, -1, 0.765045, 0.312766
98, 130, 5, 0, 1, 1, 1, 0, 0.538746, 0.060906
98, 131, 3, 0, 1, 1, 1, 0, 0.551164, 0.054109
98, 132, 2, 0, 1, 1, 1, 0, 0.538798, 0.087690
98, 133, 4, 5, 1, 1, -1, 1, 0.724737, 0.253141
98, 134, 2, 3, 1, 1, 1, -1, 1.095647, 0.060558
98, 135, 6, 5, 1, 1, 1, -1, 0.612131, 0.100227
98, 136, 3, 5, 1, 1, -1, -1, 0.783329, 0.537880
98, 137, 5, 3, 1, 1, -1, -1, 0.984662, 0.093401
98, 138, 1, 0, 1, 1, -1, 0, 0.724422, 0.067769
98, 139, 6, 0, 1, 1, -1, 0, 0.645217, 0.046977
98, 140, 5, 0, 1, 1, -1, 0, 0.710320, 0.060756
98, 141, 2, 4, 1, 1, -1, 1, 0.784530, 0.047073
98, 142, 6, 4, 1, 1, -1, -1, 0.703782, 0.100792
98, 143, 1, 3, 1, 1, -1, -1, 0.651139, 0.060598
98, 144, 6, 0, 1, 1, 1, 0, 0.644469, 0.073343
98, 145, 6, 0, 1, 1, 1, 0, 0.698793, 0.087630
98, 146, 6, 2, 1, 1, 1, 1, 0.579197, 0.053831
98, 147, 3, 0, 1, 1, -1, 0, 0.678032, 0.027550
98, 148, 6, 0, 1, 1, -1, 0, 0.637386, 0.074022
98, 149, 3, 0, 1, 1, -1, 0, 0.630322, 0.040970
98, 150, 5, 0, 1, 1, 1, 0, 0.755458, 0.132598
98, 151, 3, 3, 1, 1, -1, 1, 0.712495, 0.041072
98, 152, 3, 0, 1, 1, 1, 0, 0.672213, 0.020873
98, 153, 5, 0, 1, 1, -1, 0, 0.738280, 0.020911
98, 154, 4, 3, 1, -1, 1, 1, 0.866084, 0.206204
98, 155, 3, 0, 1, 1, 1, 0, 0.644918, 0.000982
98, 156, 2, 2, 1, -1, -1, 1, 1.037107, 2.929549
98, 157, 3, 1, 1, 1, -1, 1, 1.043705, 0.306640
98, 158, 1, 0, 1, 1, 1, 0, 0.588031, 0.000000
98, 159, 4, 0, 1, 1, 1, 0, 0.551707, 0.041139
98, 160, 5, 3, 1, 1, 1, 1, 0.637865, 0.000000
98, 161, 5, 0, 1, 1, -1, 0, 0.565407, 0.007631
98, 162, 2, 2, 1, 1, 1, 1, 0.723892, 0.027198
98, 163, 2, 0, 1, 1, -1, 0, 0.577863, 0.020926
98, 164, 6, 0, 1, 1, -1, 0, 0.603840, 0.034334
98, 165, 1, 3, 1, 1, 1, 1, 0.855692, 0.079238
98, 166, 2, 2, 1, 1, 1, -1, 0.652319, 0.040880
98, 167, 5, 5, 1, 1, 1, 1, 0.949733, 0.902059
98, 168, 2, 0, 1, 1, -1, 0, 0.570878, 0.027668
98, 169, 2, 1, 1, 1, -1, 1, 0.930369, 0.079949
98, 170, 2, 0, 1, 1, 1, 0, 0.604108, 0.027082
98, 171, 3, 0, 1, 1, -1, 0, 0.890450, 0.046911
98, 172, 6, 0, 1, 1, -1, 0, 0.665199, 0.020989
98, 173, 5, 3, 1, -1, 1, -1, 0.791837, 0.406583
98, 174, 2, 4, 1, -1, 1, 1, 0.884598, 0.565235
98, 175, 6, 4, 1, 1, 1, 1, 0.705625, 0.087473
98, 176, 2, 5, 1, -1, -1, 1, 1.102198, 1.115353
98, 177, 1, 0, 1, 1, 1, 0, 0.618243, 0.027517
98, 178, 5, 6, 1, 1, -1, -1, 1.233599, 0.227359
98, 179, 1, 0, 1, 1, -1, 0, 0.651355, 0.034326
98, 180, 4, 0, 1, 1, -1, 0, 0.666093, 0.000000
98, 181, 6, 1, 1, 1, -1, -1, 0.749882, 0.040868
98, 182, 4, 0, 1, 1, 1, 0, 0.652418, 0.107224
98, 183, 6, 2, 1, 1, 1, -1, 0.917380, 0.053808
98, 184, 5, 0, 1, 3, 1, 0, 0.518339, 0.207661
98, 185, 2, 0, 1, 1, 1, 0, 0.552190, 0.060300
98, 186, 1, 1, 1, 1, 1, 1, 0.762784, 0.027338
98, 187, 1, 2, 0, 1, 1, -1, 0.851910, 0.080505
98, 188, 1, 0, 1, 1, -1, 0, 0.671737, 0.047496
98, 189, 1, 1, 1, 1, 1, -1, 0.817479, 0.054340
98, 190, 2, 6, 1, -1, -1, 1, 0.962999, 0.166884
98, 191, 4, 3, 1, 1, 1, -1, 1.207760, 1.162243
98, 192, 6, 5, 1, 1, 1, 1, 0.645232, 0.000000
98, 193, 5, 0, 1, 1, 1, 0, 0.564546, 0.040845
98, 194, 3, 5, 1, 1, 1, -1, 0.818001, 0.074411
98, 195, 6, 4, 1, 1, -1, 1, 0.671891, 0.040915
98, 196, 4, 2, 1, 1, -1, -1, 0.871140, 0.014253
98, 197, 1, 3, 1, 1, 1, 1, 0.671178, 0.226645
98, 198, 6, 0, 1, 1, 1, 0, 0.572955, 0.034294
98, 199, 2, 4, 1, 1, 1, -1, 0.719522, 0.020830
98, 200, 4, 0, 1, 1, -1, 0, 0.572495, 0.014247
98, 201, 2, 1, 1, 1, -1, -1, 1.215061, 0.186039
98, 202, 1, 2, 1, 1, 1, 1, 0.681782, 0.060567
98, 203, 4, 0, 1, 1, -1, 0, 0.616620, 0.027509
98, 204, 4, 1, 1, 1, 1, 1, 1.156595, 0.530660
98, 205, 6, 0, 1, 1, 1, 0, 0.590201, 0.060911
98, 206, 5, 1, 1, 1, 1, -1, 0.789665, 0.040488
98, 207, 2, 2, 1, 1, -1, 1, 0.858807, 0.007600
98, 208, 5, 6, 1, 1, 1, 1, 0.756624, 0.047710
98, 209, 6, 0, 1, 1, -1, 0, 0.638895, 0.007572
98, 210, 6, 0, 1, 1, 1, 0, 0.704144, 0.014299
98, 211, 5, 3, 1, 1, 1, 1, 0.745308, 0.020441
98, 212, 1, 5, 1, -1, 1, 1, 0.967622, 0.086997
98, 213, 1, 0, 1, 1, -1, 0, 0.659837, 0.047614
98, 214, 6, 6, 1, 1, 1, 1, 0.744945, 0.000000
