"observer","trial","x","y","dur","onset","n","aoi"
"1",1,2.60000000000002,2.60000000000002,1301,0,1,"c"
"1",1,179.4,-84.6,157,195,2,"c"
"1",1,217,-105.2,957,1167,3,"c"
"1",1,234.2,-102.2,928,2112,4,"c"
"1",1,-531.9,-1573.9,268,2507,5,"c"
"1",1,-431.7,-1584.6,83,2613,6,"c"
"1",2,-4.20000000000005,6.39999999999998,1267,0,1,"c"
"1",2,219.2,-19,100,137,2,"c"
"1",2,31.1,192.4,96,287,3,"c"
"1",2,269.8,-35.1,88,433,4,"c"
"1",2,257,-15.5,68,518,5,"c"
"1",2,27.8,271.4,190,806,6,"c"
"1",2,-3,271.4,1039,1866,7,"c"
"1",2,-15.3,269.3,189,2063,8,"c"
"1",2,117.7,178.7,68,2171,9,"c"
"1",2,224.5,21.3,327,2546,10,"c"
"1",2,77.5999999999999,331.9,104,3097,11,"c"
"1",2,-0.399999999999977,256.6,862,3987,12,"c"
"1",2,-26.5,171.8,119,5496,13,"c"
"1",3,2.10000000000002,-4.5,1381,0,1,"c"
"1",3,6.89999999999998,192.5,30,85,2,"c"
"1",3,-1.79999999999995,272.6,977,1101,3,"c"
"1",3,-385.9,-1569.6,359,2524,4,"c"
"1",3,-320.2,-1583.4,123,2665,5,"c"
"1",3,-55.4,200.5,140,2969,6,"c"
"1",4,-1.70000000000005,2.89999999999998,1293,0,1,"c"
"1",4,115.9,-218.9,207,255,2,"c"
"1",4,135.5,-209,354,617,3,"c"
"1",4,239.4,-114.1,1379,2020,4,"c"
"1",4,237.2,-124.2,365,2532,5,"c"
"1",4,-273.2,-1589.9,31,2693,6,"c"
"1",5,-6,-7.20000000000005,500,0,1,"c"
"1",5,8,1.79999999999995,132,350,2,"c"
"1",5,-9.89999999999998,-3.60000000000002,372,730,3,"c"
"1",5,-3.39999999999998,-249.7,1035,1813,4,"c"
"1",5,0.799999999999955,-266,162,1983,5,"c"
"1",5,-345.7,-1519.5,120,2211,6,"c"
"1",6,-5.39999999999998,-7,1258,0,1,"c"
"1",6,121.5,-188.1,112,152,2,"c"
"1",6,-141.4,-130.5,154,358,3,"c"
"1",6,137.2,-207.1,200,608,4,"c"
"1",6,-211.1,-108.4,321,990,5,"c"
"1",6,-231.2,-123.6,347,1345,6,"c"
"1",6,-317.1,-1534.2,106,1556,7,"c"
"1",7,-3.89999999999998,-5.79999999999995,1269,0,1,"c"
"1",7,-148.5,-12.7,24,58,2,"c"
"1",7,173.9,-114.1,177,287,3,"c"
"1",7,225.8,-117.6,1870,2175,4,"c"
"1",7,-228.3,-1564.5,104,2385,5,"c"
"1",8,-5.70000000000005,-3.89999999999998,1194,0,1,"c"
"1",8,-201.9,91.8,129,178,2,"c"
"1",8,-230.3,116.9,185,380,3,"c"
"1",8,-228.7,132.1,3103,3496,4,"c"
"1",9,-7.60000000000002,-0.700000000000045,1255,0,1,"c"
"1",9,193.7,-130.6,226,273,2,"c"
"1",9,225.9,-115.3,905,1188,3,"c"
"1",9,-327.1,-1592.9,21,1336,4,"c"
"1",10,-8.29999999999995,-4.20000000000005,1225,0,1,"c"
"1",10,-239.2,-28.7,171,221,2,"c"
"1",10,-258.3,-8.60000000000002,635,867,3,"c"
"1",10,-234.9,-111.2,1664,2556,4,"c"
"1",10,-322.9,-1558.3,97,2836,5,"c"
"1",10,-237.5,-1603.4,232,3792,6,"c"
"1",10,-101.1,-1230.7,249,4115,7,"c"
"1",11,-6.5,-2,1232,0,1,"c"
"1",11,237.1,-7.5,760,806,2,"c"
"1",11,5.70000000000005,244.4,167,1025,3,"c"
"1",11,-10.6,268.2,597,1632,4,"c"
"1",11,-18.1,246.2,1227,2989,5,"c"
"1",12,-13.4,-4.60000000000002,1200,0,1,"c"
"1",13,-6.29999999999995,4.60000000000002,1231,0,1,"c"
"1",13,220.3,-115.8,623,673,2,"c"
"1",13,-306.1,-1255.8,146,912,3,"c"
"1",13,-261.4,-1251.7,409,1340,4,"c"
"1",13,23,-24.2,76,2143,5,"c"
"1",14,-11,-2,1205,0,1,"c"
"1",14,-261.2,-3.29999999999995,382,435,2,"c"
"1",14,186.8,118.9,505,1002,3,"c"
"1",14,-291.1,-1579.1,77,1240,4,"c"
"1",14,-304.4,-1266.7,123,1537,5,"c"
"1",14,-243.3,-1242.9,189,1741,6,"c"
"1",14,-252.7,-1595.6,89,1884,7,"c"
"1",15,-18.9,-4.39999999999998,1207,0,1,"c"
"1",15,220.8,-24.1,184,231,2,"c"
"1",15,237.7,0,191,433,3,"c"
"1",15,126.1,123,204,680,4,"c"
"1",15,-12,277.1,3458,4177,5,"c"
"1",15,-223.9,-1075.1,81,4450,6,"c"
"1",15,-234.9,-1268.8,185,4664,7,"c"
"1",16,-11.3,-3,1216,0,1,"c"
"1",16,-184.2,91.7,144,183,2,"c"
"1",16,-222.3,129.4,631,831,3,"c"
"1",16,-277,-1238.7,350,1661,4,"c"
"1",17,-14.4,-4.60000000000002,1199,0,1,"c"
"1",17,-5.10000000000002,-272.8,86,140,2,"c"
"1",17,-12.1,-236,839,998,3,"c"
"1",17,-207.6,-1389.3,139,1218,4,"c"
"1",17,-250.6,-1282.7,130,1375,5,"c"
"1",17,-27.4,-119.9,124,2080,6,"c"
"1",18,-11.4,-7.79999999999995,1231,0,1,"c"
"1",18,102.3,30.6,118,148,2,"c"
"1",18,181.8,108.9,243,418,3,"c"
"1",18,206.3,119.7,838,1267,4,"c"
"1",18,212.5,72.9,140,1621,5,"c"
"1",18,207,99.1,470,2105,6,"c"
"1",19,-11.2,-1,1254,0,1,"c"
"1",19,-2.20000000000005,-183,145,183,2,"c"
"1",19,-9.29999999999995,-238.7,792,997,3,"c"
"1",19,-221.4,-1308.1,158,1240,4,"c"
"1",19,-272.2,-1294.9,175,1429,5,"c"
"1",19,-293.2,-1545.1,229,1686,6,"c"
"1",20,-14.7,-8.39999999999998,1193,0,1,"c"
"1",20,-217.7,-117.3,899,948,2,"c"
"1",21,-13.2,-11.1,1198,0,1,"c"
"1",22,-16.7,-11.4,1274,0,1,"c"
"1",22,190.6,-108.2,288,329,2,"c"
"1",22,214.2,-120.2,302,650,3,"c"
"1",23,-16,-13.6,1206,0,1,"c"
"1",23,-137.7,209.8,99,154,2,"c"
"1",23,-222.9,132.5,1658,1840,3,"c"
"1",23,-348.8,-1559.1,279,2262,4,"c"
"1",24,-15.9,-12.8,1202,0,1,"c"
"1",24,-228.1,-114.6,1617,1668,2,"c"
"1",24,-248.1,-120.3,503,2179,3,"c"
"1",24,-292.9,-1500.4,1020,3720,4,"c"
"1",24,-292.3,-1057.7,116,3895,5,"c"
"1",25,-12.8,-6.5,1203,0,1,"c"
"1",25,-218.6,-107.1,465,515,2,"c"
"1",26,-14.6,-2.29999999999995,1192,0,1,"c"
"1",26,163,-206,137,188,2,"c"
"1",26,211,-124.7,853,1071,3,"c"
"1",26,-287.1,-1513.1,179,1374,4,"c"
"1",27,-9.39999999999998,-5.79999999999995,1240,0,1,"c"
"1",27,-158.4,62.4,90,129,2,"c"
"1",27,76.7,233.1,219,399,3,"c"
"1",27,-222.4,122.8,451,906,4,"c"
"1",27,-310.5,-1433.6,197,1292,5,"c"
"1",27,-320.6,-1499.5,217,1516,6,"c"
"1",28,-14.5,5,79,0,1,"c"
"1",28,-7.89999999999998,-1.39999999999998,1104,1121,2,"c"
"1",28,193.3,92.3,152,1325,3,"c"
"1",28,201.8,110.6,659,1994,4,"c"
"1",28,-336.7,-1415.7,113,2221,5,"c"
"1",29,-11.7,-2.10000000000002,1234,0,1,"c"
"1",29,109.7,-217.2,38,91,2,"c"
"1",29,-22.8,247.5,158,312,3,"c"
"1",29,-13.7,276.1,681,1008,4,"c"
"1",29,-275.7,-1418.8,114,1320,5,"c"
"1",29,-274.9,-1485.3,134,1465,6,"c"
"1",30,-13.2,-7.29999999999995,1199,0,1,"c"
"1",30,69.9000000000001,-210.6,134,181,2,"c"
"1",30,-7.60000000000002,-247.4,643,848,3,"c"
"1",30,-276.1,-1561.6,180,1137,4,"c"
"1",30,-297,-1531.1,234,1558,5,"c"
"1",31,-12.3,-8.10000000000002,1210,0,1,"c"
"1",31,-232.8,-127.8,645,695,2,"c"
"1",31,-305.2,-1459.8,195,990,3,"c"
"1",31,-302.1,-1530.2,315,1322,4,"c"
"1",32,-12.8,-4.79999999999995,1211,0,1,"c"
"1",32,179.9,98.6,165,204,2,"c"
"1",32,195.3,111.3,468,682,3,"c"
"1",33,-14.7,-9.89999999999998,604,0,1,"c"
"1",33,-16.2,-17,570,729,2,"c"
"1",33,-210.2,118,201,982,3,"c"
"1",33,-226.7,133.7,668,1662,4,"c"
"1",33,-326.2,-1491.3,162,1955,5,"c"
"1",34,-13.8,-5,1229,0,1,"c"
"1",34,-210,-14.5,121,170,2,"c"
"1",34,-255.3,0.5,387,573,3,"c"
"1",34,-245.8,133.2,2966,3583,4,"c"
"1",34,-251.3,109.7,369,4115,5,"c"
"1",34,-238.4,113.6,161,4285,6,"c"
"1",34,-290.8,-1430.9,124,4528,7,"c"
