observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
4, 1, 4, 0, 1, 1, -1, 0, 8.784322, 3.912222
4, 2, 1, 2, 1, -1, 1, 1, 8.162304, 3.711253
4, 3, 6, 0, 0, 1, -1, 0, 5.424126, 2.278466
4, 4, 2, 5, 1, -1, -1, -1, 7.818637, 2.735745
4, 5, 2, 0, 0, 1, 1, 0, 3.127515, 1.691340
4, 6, 4, 0, 1, 1, -1, 0, 5.006050, 0.001045
4, 7, 5, 1, 1, 1, -1, 1, 6.702948, 1.197088
4, 8, 3, 6, 1, 1, -1, -1, 3.673607, 1.473393
4, 9, 2, 2, 1, 1, -1, -1, 5.524057, 0.737192
4, 10, 5, 2, 1, 1, 1, -1, 3.257515, 0.001025
4, 11, 4, 6, 0, 1, -1, -1, 3.444453, 0.291713
4, 12, 6, 4, 1, 1, 1, 1, 3.755674, 0.339389
4, 13, 3, 0, 0, 1, 1, 0, 3.079104, 0.772300
4, 14, 4, 0, 1, 1, 1, 0, 3.356087, 0.000976
4, 15, 3, 0, 1, 1, 1, 0, 3.367158, 0.198954
4, 16, 3, 0, 1, 1, 1, 0, 2.370021, 0.239469
4, 17, 5, 3, 1, -1, -1, 1, 1.837680, 2.571829
4, 18, 4, 0, 1, 1, -1, 0, 3.135837, 0.200229
4, 19, 3, 5, 1, 1, -1, -1, 3.757437, 0.590796
4, 20, 5, 0, 1, 1, -1, 0, 2.090603, 0.351469
4, 21, 1, 4, 1, -1, -1, -1, 4.585212, 0.710522
4, 22, 2, 5, 1, 1, -1, -1, 3.128405, 0.760891
4, 23, 4, 0, 1, 1, -1, 0, 2.773279, 0.531597
4, 24, 2, 1, 1, 1, 1, 1, 3.058863, 0.278402
4, 25, 1, 3, 1, 1, -1, 1, 2.992783, 0.345729
4, 26, 5, 4, 0, -1, 1, -1, 2.151823, 4.454435
4, 27, 6, 6, 1, 1, 1, -1, 2.314032, 0.171920
4, 28, 1, 6, 1, 1, 1, 1, 2.005561, 0.359532
4, 29, 4, 0, 1, 1, -1, 0, 1.764994, 0.159512
4, 30, 5, 1, 1, 1, -1, -1, 3.166676, 0.325619
4, 31, 6, 0, 1, 1, 1, 0, 1.882051, 0.114289
4, 32, 2, 0, 1, 1, -1, 0, 1.646110, 0.154536
4, 33, 4, 0, 1, 1, 1, 0, 1.608431, 0.147312
4, 34, 2, 0, 1, 1, -1, 0, 1.431133, 0.114044
4, 35, 1, 0, 1, 1, -1, 0, 1.248244, 0.054198
4, 36, 4, 1, 1, 1, -1, 1, 2.972826, 0.416179
4, 37, 5, 1, 1, -1, -1, -1, 2.583649, 1.060345
4, 38, 3, 0, 1, 1, -1, 0, 1.784940, 0.160604
4, 39, 3, 4, 0, -1, 1, 1, 2.321957, 0.870988
4, 40, 1, 1, 1, 1, 1, -1, 2.848465, 0.372695
4, 41, 6, 0, 1, 1, 1, 0, 2.282860, 0.505403
4, 42, 3, 0, 1, 1, 1, 0, 1.318043, 0.253161
4, 43, 5, 0, 1, 1, -1, 0, 0.981132, 1.355845
4, 44, 5, 0, 1, 1, 1, 0, 1.448133, 0.187333
4, 45, 5, 0, 1, 1, -1, 0, 1.232653, 0.318383
4, 46, 3, 0, 1, 1, -1, 0, 1.288705, 0.213299
4, 47, 3, 0, 1, 1, -1, 0, 1.263349, 0.185506
4, 48, 6, 6, 1, 1, -1, 1, 1.311305, 0.001026
4, 49, 3, 5, 1, 1, -1, 1, 2.068614, 0.180238
4, 50, 6, 2, 0, 1, 1, 1, 1.533155, 0.179713
4, 51, 3, 0, 1, 1, 1, 0, 0.153389, 0.001004
4, 52, 1, 5, 1, 1, 1, -1, 2.063170, 0.140295
4, 53, 6, 4, 1, 1, -1, 1, 2.221278, 0.279197
4, 54, 3, 0, 1, 1, 1, 0, 1.353669, 0.484018
4, 55, 6, 0, 1, 1, -1, 0, 0.147250, 0.373772
4, 56, 3, 2, 1, 1, -1, -1, 1.841870, 0.001033
4, 57, 4, 5, 1, 1, -1, 1, 2.298248, 0.292363
4, 58, 5, 2, 1, 1, -1, -1, 0.146754, 0.212276
4, 59, 3, 4, 1, 1, 1, 1, 1.841534, 0.404322
4, 60, 1, 0, 1, 1, 1, 0, 1.759448, 0.192708
4, 61, 1, 4, 1, 1, -1, 1, 0.067491, 0.186853
4, 62, 6, 4, 1, 1, -1, -1, 1.402227, 0.160774
4, 63, 5, 5, 1, -1, -1, -1, 2.998142, 1.097726
4, 64, 2, 6, 1, 1, 1, 1, 0.100285, 0.225408
4, 65, 6, 6, 1, 1, -1, -1, 1.636977, 0.373884
4, 66, 4, 0, 1, 1, 1, 0, 1.330416, 0.877311
4, 67, 2, 3, 1, 1, 1, 1, 1.695730, 0.166156
4, 68, 5, 2, 1, -1, -1, 1, 2.040501, 0.781178
4, 69, 2, 0, 1, 1, -1, 0, 3.026229, 0.526058
4, 70, 4, 4, 1, 1, -1, 1, 1.810571, 0.364537
4, 71, 2, 0, 1, 1, -1, 0, 2.135066, 0.166778
4, 72, 1, 0, 1, 1, 1, 0, 1.547736, 0.166601
4, 73, 6, 0, 1, 1, 1, 0, 1.717200, 0.370747
4, 74, 4, 0, 1, 1, -1, 0, 1.474305, 0.475564
4, 75, 2, 2, 1, 1, -1, -1, 1.880067, 0.185671
4, 76, 1, 5, 1, 1, 1, -1, 2.059529, 0.211874
4, 77, 1, 0, 1, 1, -1, 0, 1.615666, 0.391274
4, 78, 3, 0, 1, 1, -1, 0, 1.452198, 0.678979
4, 79, 3, 0, 1, 1, -1, 0, 1.443013, 0.127565
4, 80, 1, 2, 0, -1, 1, -1, 2.564653, 0.326966
4, 81, 4, 1, 1, -1, -1, -1, 2.181439, 2.523945
4, 82, 6, 0, 1, 1, 1, 0, 1.776541, 0.186613
4, 83, 4, 0, 1, 1, -1, 0, 1.617115, 0.352500
4, 84, 2, 2, 1, 1, -1, 1, 1.622935, 0.212504
4, 85, 1, 3, 1, 1, 1, 1, 1.688577, 0.185716
4, 86, 3, 2, 1, 1, 1, -1, 1.553676, 0.179811
4, 87, 5, 6, 1, 1, 1, -1, 0.140314, 0.100474
