observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap
20, 1, 6, 2, -1, -1
20, 2, 5, 0, -1, -1
20, 3, 6, 0, -1, -1
20, 4, 2, 3, 1, 1
20, 5, 1, 0, 1, 1
20, 6, 2, 0, 1, 1
20, 7, 6, 0, 1, 1
20, 8, 5, 0, 1, 1
20, 9, 1, 3, -1, -1
20, 10, 6, 5, 1, 1
20, 11, 6, 0, 1, 1
20, 12, 3, 4, 1, 1
20, 13, 6, 3, 1, 1
20, 14, 6, 4, 1, 1
20, 15, 4, 5, 1, 1
20, 16, 1, 0, 1, 1
20, 17, 2, 0, 1, 1
20, 18, 2, 0, 1, 1
20, 19, 6, 0, 1, 1
20, 20, 2, 0, 1, 1
20, 21, 2, 4, 1, 1
20, 22, 2, 0, 1, 1
20, 23, 4, 2, 1, 1
20, 24, 4, 1, 1, 1
20, 25, 5, 0, 1, 1
20, 26, 4, 5, 1, 1
20, 27, 2, 0, 1, 1
20, 28, 1, 6, 1, 1
20, 29, 2, 6, 1, 1
20, 30, 4, 0, 1, 1
20, 31, 1, 4, 1, 1
20, 32, 4, 0, 1, 1
20, 33, 1, 0, 1, 1
20, 34, 5, 0, 1, 1
20, 35, 2, 1, 1, 1
20, 36, 4, 0, 1, 1
20, 37, 2, 2, 1, 1
20, 38, 2, 0, 1, 1
20, 39, 6, 0, 1, 1
20, 40, 4, 3, -1, -1
20, 41, 4, 0, 1, 1
20, 42, 1, 1, 1, 1
20, 43, 3, 3, 1, 1
20, 44, 3, 0, 1, 1
20, 45, 1, 5, 1, 1
20, 46, 1, 2, 1, 1
20, 47, 2, 0, 1, 1
20, 48, 6, 2, -1, -1
20, 49, 1, 5, 1, 1
20, 50, 6, 0, 1, 1
20, 51, 4, 0, 1, 1
20, 52, 3, 0, 1, 1
20, 53, 4, 0, 1, 1
20, 54, 4, 1, 1, 1
20, 55, 4, 0, 1, 1
20, 56, 2, 0, 1, 1
20, 57, 1, 0, 1, 1
20, 58, 3, 1, 1, 1
20, 59, 4, 4, -1, -1
20, 60, 3, 6, 1, 1
20, 61, 3, 5, 1, 1
20, 62, 1, 1, 1, 1
20, 63, 6, 1, 1, 1
20, 64, 1, 3, 1, 1
20, 65, 6, 0, 1, 1
20, 66, 3, 0, 1, 1
20, 67, 4, 2, 1, 1
20, 68, 5, 0, 1, 1
20, 69, 3, 3, -1, -1
20, 70, 5, 3, 1, 1
20, 71, 5, 0, 1, 1
20, 72, 2, 0, 1, 1
20, 73, 4, 0, -1, -1
20, 74, 3, 1, 1, 1
20, 75, 3, 0, 1, 1
20, 76, 4, 0, 1, 1
20, 77, 5, 5, 1, 1
20, 78, 3, 2, -1, -1
20, 79, 5, 4, -1, -1
20, 80, 3, 5, 1, 1
20, 81, 5, 3, 1, 1
20, 82, 6, 0, -1, -1
20, 83, 3, 0, 1, 1
20, 84, 5, 0, 1, 1
20, 85, 4, 0, 1, 1
20, 86, 1, 0, 1, 1
20, 87, 5, 5, 1, 1
20, 88, 3, 6, 1, 1
20, 89, 1, 1, 1, 1
20, 90, 2, 0, 1, 1
20, 91, 3, 0, -1, -1
20, 92, 3, 0, 1, 1
20, 93, 6, 0, 1, 1
20, 94, 5, 4, 1, 1
20, 95, 2, 0, 1, 1
20, 96, 4, 0, 1, 1
20, 97, 5, 6, -1, -1
20, 98, 2, 6, 1, 1
20, 99, 3, 0, 1, 1
20, 100, 1, 2, 1, 1
20, 101, 1, 0, -1, -1
20, 102, 4, 0, 1, 1
20, 103, 5, 0, 1, 1
20, 104, 6, 1, 1, 1
20, 105, 6, 3, -1, -1
20, 106, 4, 0, 1, 1
20, 107, 2, 5, 1, 1
20, 108, 2, 4, 1, 1
20, 109, 3, 0, 1, 1
20, 110, 4, 4, -1, -1
20, 111, 5, 2, -1, -1
20, 112, 1, 0, 1, 1
20, 113, 5, 2, 1, 1
20, 114, 4, 6, 1, 1
20, 115, 1, 2, 1, 1
20, 116, 6, 0, 1, 1
20, 117, 2, 1, 1, 1
20, 118, 6, 0, 1, 1
20, 119, 4, 0, 1, 1
20, 120, 5, 1, 1, 1
20, 121, 3, 0, 1, 1
20, 122, 6, 5, -1, -1
20, 123, 6, 0, 1, 1
20, 124, 3, 2, -1, -1
20, 125, 5, 4, 1, 1
20, 126, 2, 5, 1, 1
20, 127, 3, 2, -1, -1
20, 128, 1, 3, 1, 1
20, 129, 1, 0, 1, 1
20, 130, 4, 3, -1, -1
20, 131, 4, 0, 1, 1
20, 132, 5, 3, 1, 1
20, 133, 2, 3, -1, -1
20, 134, 1, 4, -1, -1
20, 135, 3, 1, 1, 1
20, 136, 2, 0, 1, 1
20, 137, 3, 3, 1, 1
20, 138, 1, 0, 1, 1
20, 139, 5, 5, -1, -1
20, 140, 1, 4, 1, 1
20, 141, 4, 0, 1, 1
20, 142, 1, 0, 1, 1
20, 143, 6, 0, 1, 1
20, 144, 5, 6, 1, 1
20, 145, 1, 6, 1, 1
20, 146, 4, 0, -1, -1
20, 147, 5, 6, 1, 1
20, 148, 4, 2, 1, 1
20, 149, 4, 6, 1, 1
20, 150, 5, 0, 1, 1
20, 151, 6, 0, 1, 1
20, 152, 4, 4, -1, -1
20, 153, 1, 5, -1, -1
20, 154, 6, 6, 1, 1
20, 155, 1, 0, 1, 1
20, 156, 2, 0, 1, 1
20, 157, 2, 1, 1, 1
20, 158, 1, 0, 1, 1
20, 159, 5, 0, 1, 1
20, 160, 3, 4, 1, 1
20, 161, 3, 0, 1, 1
20, 162, 3, 5, -1, -1
20, 163, 3, 0, 1, 1
20, 164, 2, 0, 1, 1
20, 165, 6, 0, 1, 1
20, 166, 5, 0, 1, 1
20, 167, 3, 0, 1, 1
20, 168, 2, 0, 1, 1
20, 169, 5, 1, -1, -1
20, 170, 6, 2, -1, -1
20, 171, 6, 5, -1, -1
20, 172, 4, 6, 1, 1
20, 173, 6, 0, 1, 1
20, 174, 5, 0, 1, 1
20, 175, 5, 0, 1, 1
20, 176, 4, 3, -1, -1
20, 177, 1, 0, 1, 1
20, 178, 6, 4, -1, -1
20, 179, 6, 3, 1, 1
20, 180, 3, 0, 1, 1
20, 181, 5, 0, 1, 1
20, 182, 6, 0, 1, 1
20, 183, 5, 0, 1, 1
20, 184, 2, 2, -1, -1
20, 185, 3, 0, 1, 1
20, 186, 3, 4, 1, 1
20, 187, 6, 1, -1, -1
20, 188, 2, 0, 1, 1
20, 189, 2, 3, 1, 1
20, 190, 3, 0, -1, -1
20, 191, 1, 0, 1, 1
20, 192, 1, 0, 1, 1
20, 193, 6, 6, 1, 1
20, 194, 2, 5, 1, 1
20, 195, 1, 0, 1, 1
20, 196, 1, 0, 1, 1
20, 197, 2, 2, 1, 1
20, 198, 1, 0, 1, 1
20, 199, 4, 5, -1, -1
20, 200, 2, 0, 1, 1
20, 201, 5, 1, 1, 1
20, 202, 5, 0, 1, 1
20, 203, 3, 0, 1, 1
20, 204, 6, 6, -1, -1
20, 205, 6, 0, -1, -1
20, 206, 2, 4, 1, 1
20, 207, 3, 6, -1, -1
20, 208, 3, 0, 1, 1
20, 209, 2, 6, -1, -1
20, 210, 4, 1, -1, -1
20, 211, 1, 6, 1, 1
20, 212, 5, 2, -1, -1
20, 213, 5, 0, 1, 1
20, 214, 4, 0, 1, 1
20, 215, 6, 4, -1, -1
20, 216, 5, 0, 1, 1
