observer, trial, targLoc, distLoc, targDiscrim, thoughtNoAttCap, tc, dc, RT, TrialTypeRT
2, 1, 6, 3, 1, 1, 1, 1, 10.819592, 5.443724
2, 2, 3, 3, 1, 1, 1, -1, 7.215444, 2.599560
2, 3, 4, 0, 1, 1, -1, 0, 2.346616, 1.576148
2, 4, 5, 6, 1, 1, 1, -1, 4.082819, 1.531902
2, 5, 4, 3, 0, -1, 1, -1, 4.450054, 1.420934
2, 6, 4, 0, 1, 1, 1, 0, 1.992357, 2.051048
2, 7, 5, 1, 1, 1, -1, 1, 2.800578, 1.610246
2, 8, 1, 0, 1, 1, -1, 0, 2.662803, 1.532135
2, 9, 3, 0, 1, 1, -1, 0, 2.260415, 2.262984
2, 10, 1, 5, 1, 1, 1, 1, 4.628772, 1.745694
2, 11, 4, 0, 1, 1, -1, 0, 1.891605, 1.719645
2, 12, 4, 4, 1, 1, 1, -1, 3.179487, 1.069549
2, 13, 1, 4, 1, -1, -1, 1, 4.180648, 0.729395
2, 14, 1, 0, 1, 1, 1, 0, 2.881224, 1.646842
2, 15, 5, 2, 1, 1, 1, 1, 4.518747, 1.120255
2, 16, 6, 0, 1, 1, -1, 0, 0.001099, 0.528784
2, 17, 2, 0, 1, 1, 1, 0, 1.925888, 0.001004
2, 18, 1, 2, 1, -1, 1, -1, 3.486798, 0.820609
2, 19, 1, 0, 1, 1, 1, 0, 2.307957, 4.642562
2, 20, 1, 1, 1, -1, -1, 1, 4.806460, 0.724917
2, 21, 5, 0, 1, 1, -1, 0, 1.796357, 1.719987
2, 22, 2, 2, 1, -1, -1, 1, 2.748272, 0.446137
2, 23, 3, 0, 1, 1, 1, 0, 2.182029, 1.060296
2, 24, 1, 3, 1, -1, -1, -1, 2.407882, 0.617546
2, 25, 3, 3, 1, 1, 1, 1, 1.910755, 1.312892
2, 26, 2, 0, 1, 1, 1, 0, 3.272410, 1.170638
2, 27, 1, 2, 1, 1, 1, -1, 4.211980, 1.575192
2, 28, 6, 2, 1, 1, 1, 1, 1.700179, 1.561298
2, 29, 6, 1, 1, 1, -1, 1, 3.592091, 0.931755
2, 30, 6, 0, 1, 1, 1, 0, 1.283876, 0.785400
2, 31, 1, 5, 1, 1, 1, -1, 1.393072, 0.432281
